workload,model,variant,label,cls,lat_sla,mean_lat,cost_vcpu_h,cost_usd,scales,run_hours,n_steps,n_reps
cpu,hpa,baseline,HPA,HPA,100.0,5.6,0.5,88.0,1.0,1.99,120.0,3
cpu,gpt-oss-120b,zero_shot,gpt-oss-120b_zero_shot,LLM,100.0,5.6,0.6,96.0,5.7,2.02,120.0,3
cpu,gpt-oss-120b,history_5,gpt-oss-120b_history_5,LLM,100.0,5.6,0.9,148.0,34.0,2.0233333333333334,120.0,3
cpu,mistral-small4,zero_shot,mistral-small4_zero_shot,LLM,100.0,5.6,1.2,215.0,0.3,2.0233333333333334,120.0,3
cpu,mistral-small4,history_5,mistral-small4_history_5,LLM,100.0,5.5,1.3,234.0,0.3,2.02,120.0,3
cpu,llama-70b,zero_shot,llama-70b_zero_shot,LLM,100.0,5.6,10.1,263.0,0.0,13.436666666666667,120.0,3
cpu,llama-8b,zero_shot,llama-8b_zero_shot,LLM,100.0,6.2,1.5,263.0,0.0,2.0,120.0,3
cpu,llama-8b,domain,llama-8b_domain,LLM,100.0,6.3,1.5,263.0,0.0,2.0,120.0,3
cpu,llama-8b,cot,llama-8b_cot,LLM,100.0,6.2,1.5,263.0,0.0,2.0066666666666664,120.0,3
cpu,gpt-oss-120b,cot,gpt-oss-120b_cot,LLM,65.0,604.7,2.8,465.0,92.0,2.1366666666666667,120.0,3
cpu,llama-70b,domain,llama-70b_domain,LLM,94.2,125.3,5.7,505.0,18.7,3.966666666666667,120.0,3
cpu,llama-70b,cot,llama-70b_cot,LLM,97.5,75.1,15.9,548.0,5.7,11.696666666666667,120.0,3
cpu,gpt-oss-120b,domain,gpt-oss-120b_domain,LLM,88.9,116.9,3.6,618.0,36.3,2.0533333333333332,120.0,3
cpu,llama-70b,history_5,llama-70b_history_5,LLM,100.0,5.9,12.7,632.0,24.3,6.913333333333334,120.0,3
cpu,mistral-small4,domain,mistral-small4_domain,LLM,95.0,94.1,3.8,653.0,21.7,2.0366666666666666,120.0,3
cpu,llama-8b,history_5,llama-8b_history_5,LLM,100.0,6.4,3.9,692.0,14.7,2.0,120.0,3
cpu,rl-ppo,baseline,PPO,PPO,100.0,5.8,4.0,701.0,1.0,1.99,120.0,3
cpu,mistral-small4,cot,mistral-small4_cot,LLM,97.5,84.9,4.8,825.0,4.0,2.0433333333333334,120.0,3
cpu,rl-dqn,baseline,DQN,DQN,100.0,6.5,5.6,981.0,11.0,1.99,120.0,3
cpu,keda,baseline,KEDA,KEDA,98.3,71.6,6.8,1188.0,22.0,2.0033333333333334,120.0,3
