workload,model,variant,label,cls,mean_p50,mean_p90,mean_p99,sla_p50,sla_p90,sla_p99,mean_mean,n_steps,n_reps,tail_ratio
cpu,rl-ppo,baseline,PPO,PPO,5.9,12.6,20.8,100.0,100.0,100.0,7.4,120.0,3,3.53
cpu,mistral-small4,zero_shot,mistral-small4_zero_shot,LLM,5.9,13.0,20.9,100.0,100.0,100.0,7.5,120.0,3,3.54
cpu,mistral-small4,history_5,mistral-small4_history_5,LLM,5.9,13.4,20.9,100.0,100.0,100.0,7.5,120.0,3,3.54
cpu,gpt-oss-120b,zero_shot,gpt-oss-120b_zero_shot,LLM,12.1,17.3,22.3,100.0,100.0,100.0,12.8,120.0,3,1.84
cpu,llama-70b,history_5,llama-70b_history_5,LLM,12.5,18.2,22.5,100.0,100.0,100.0,13.3,120.0,3,1.8
cpu,llama-70b,zero_shot,llama-70b_zero_shot,LLM,13.7,18.8,22.6,100.0,100.0,100.0,13.9,120.0,3,1.65
cpu,hpa,baseline,HPA,HPA,15.7,20.7,23.5,100.0,100.0,100.0,16.2,120.0,3,1.5
cpu,gpt-oss-120b,history_5,gpt-oss-120b_history_5,LLM,22.7,23.2,23.8,100.0,100.0,100.0,21.6,120.0,3,1.05
cpu,llama-8b,domain,llama-8b_domain,LLM,6.9,15.8,24.0,100.0,100.0,100.0,8.8,120.0,3,3.48
cpu,llama-8b,zero_shot,llama-8b_zero_shot,LLM,11.7,18.6,24.7,100.0,100.0,100.0,12.6,120.0,3,2.11
cpu,llama-8b,cot,llama-8b_cot,LLM,9.9,18.0,24.9,100.0,100.0,100.0,11.2,120.0,3,2.52
cpu,llama-8b,history_5,llama-8b_history_5,LLM,7.6,17.6,24.9,100.0,100.0,100.0,9.7,120.0,3,3.28
cpu,rl-dqn,baseline,DQN,DQN,12.2,22.8,26.1,100.0,100.0,100.0,13.5,120.0,3,2.14
cpu,keda,baseline,KEDA,KEDA,42.3,81.2,147.0,100.0,100.0,90.6,51.1,120.0,3,3.48
cpu,mistral-small4,cot,mistral-small4_cot,LLM,42.6,81.0,157.7,100.0,100.0,86.4,51.4,120.0,3,3.7
cpu,mistral-small4,domain,mistral-small4_domain,LLM,42.6,83.0,164.2,100.0,99.7,84.7,52.0,120.0,3,3.85
cpu,llama-70b,cot,llama-70b_cot,LLM,42.2,86.3,171.3,100.0,99.7,79.5,52.7,120.0,3,4.06
cpu,gpt-oss-120b,domain,gpt-oss-120b_domain,LLM,42.2,110.3,240.1,100.0,98.4,60.8,59.6,120.0,3,5.69
cpu,llama-70b,domain,llama-70b_domain,LLM,67.9,195.3,352.3,98.1,94.2,63.9,95.0,120.0,3,5.19
cpu,gpt-oss-120b,cot,gpt-oss-120b_cot,LLM,339.3,977.4,1343.8,89.5,75.3,11.4,431.2,120.0,3,3.96
