step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,12,3,127.5,91.8,551,0.9163,3.0,1,15.5,1.2,0,9,dqn,rl_v2,0,0
1,12,9,10.7,48.1,520,1.0,7.5,0,14.8,0.9,0,3,dqn,rl_v2,0,0
2,12,12,11.6,37.8,499,1.0,13.5,0,13.2,0.8,0,0,dqn,rl_v2,0,0
3,7,7,8.0,44.2,513,1.0,17.0,1,13.7,1.4,0,0,dqn,rl_v2,0,0
4,7,7,8.3,37.1,519,1.0,20.5,0,13.7,1.5,0,0,dqn,rl_v2,0,0
5,6,6,26.6,47.6,571,1.0,23.5,1,13.9,1.9,0,0,dqn,rl_v2,0,0
6,5,5,100.8,79.5,795,0.941,26.0,1,15.0,2.6,0,0,dqn,rl_v2,0,0
7,12,5,128.0,93.3,933,0.9134,28.5,1,15.5,3.1,0,7,dqn,rl_v2,0,0
8,12,9,43.1,69.2,913,0.9986,33.0,0,15.5,2.0,0,3,dqn,rl_v2,0,0
9,12,10,18.5,60.6,848,1.0,38.0,0,14.0,1.7,0,2,dqn,rl_v2,0,0
10,12,12,10.7,43.6,890,1.0,44.0,0,13.8,1.5,0,0,dqn,rl_v2,0,0
11,8,8,50.4,60.1,889,0.9889,48.0,1,14.1,2.2,0,0,dqn,rl_v2,0,0
12,11,8,30.5,48.0,768,1.0,52.0,1,14.0,1.9,0,3,dqn,rl_v2,0,0
13,12,9,17.8,46.5,782,1.0,56.5,1,13.9,1.7,0,3,dqn,rl_v2,0,0
14,12,12,9.9,40.3,774,1.0,62.5,0,13.8,1.3,0,0,dqn,rl_v2,0,0
15,12,12,9.3,38.7,790,1.0,68.5,0,13.5,1.3,0,0,dqn,rl_v2,0,0
16,8,8,34.4,50.0,800,1.0,72.5,1,14.0,2.0,0,0,dqn,rl_v2,0,0
17,11,8,49.3,56.0,896,0.988,76.5,1,14.1,2.2,0,3,dqn,rl_v2,0,0
18,12,10,25.5,52.1,917,1.0,81.5,1,14.4,1.8,0,2,dqn,rl_v2,0,0
19,12,11,17.2,50.7,933,1.0,87.0,0,13.9,1.7,0,1,dqn,rl_v2,0,0
20,12,12,9.4,41.4,894,1.0,93.0,0,13.8,1.5,0,0,dqn,rl_v2,0,0
21,12,12,9.1,38.8,885,1.0,99.0,0,13.8,1.4,0,0,dqn,rl_v2,0,0
22,12,12,9.0,34.1,818,1.0,105.0,0,13.8,1.3,0,0,dqn,rl_v2,0,0
23,12,12,8.8,33.0,793,1.0,111.0,0,13.4,1.3,0,0,dqn,rl_v2,0,0
24,12,12,9.8,32.9,789,1.0,117.0,0,13.3,1.3,0,0,dqn,rl_v2,0,0
25,12,12,9.2,33.7,809,1.0,123.0,0,13.4,1.3,0,0,dqn,rl_v2,0,0
26,12,12,9.1,33.7,808,1.0,129.0,0,13.5,1.3,0,0,dqn,rl_v2,0,0
27,12,12,9.0,35.8,860,1.0,135.0,0,13.5,1.4,0,0,dqn,rl_v2,0,0
28,12,12,9.2,31.2,750,1.0,141.0,0,13.4,1.2,0,0,dqn,rl_v2,0,0
29,12,12,8.0,31.3,751,1.0,147.0,0,13.5,1.2,0,0,dqn,rl_v2,0,0
30,12,12,9.9,34.3,823,1.0,153.0,0,13.5,1.3,0,0,dqn,rl_v2,0,0
31,12,12,9.5,33.0,792,1.0,159.0,0,13.2,1.3,0,0,dqn,rl_v2,0,0
32,12,12,8.3,28.4,681,1.0,165.0,0,13.3,1.1,0,0,dqn,rl_v2,0,0
33,12,12,8.5,28.2,678,1.0,171.0,0,13.2,1.1,0,0,dqn,rl_v2,0,0
34,7,7,20.9,45.6,638,1.0,174.5,1,13.9,1.8,0,0,dqn,rl_v2,0,0
35,7,7,18.3,43.4,608,1.0,178.0,0,13.6,1.7,0,0,dqn,rl_v2,0,0
36,12,7,10.4,40.8,571,1.0,181.5,1,13.6,1.6,0,5,dqn,rl_v2,0,0
37,12,8,10.0,42.5,629,1.0,185.5,0,13.8,1.5,0,4,dqn,rl_v2,0,0
38,12,12,10.7,34.1,614,1.0,191.5,0,13.7,1.0,0,0,dqn,rl_v2,0,0
39,7,7,16.3,43.9,615,1.0,195.0,1,13.7,1.7,0,0,dqn,rl_v2,0,0
40,7,7,29.6,48.4,678,1.0,198.5,0,13.8,1.9,0,0,dqn,rl_v2,0,0
41,12,7,52.2,57.8,809,0.9844,202.0,1,14.2,2.3,0,5,dqn,rl_v2,0,0
42,12,8,21.8,48.9,724,1.0,206.0,0,14.1,1.8,0,4,dqn,rl_v2,0,0
43,12,9,14.3,48.5,756,1.0,210.5,0,14.2,1.7,0,3,dqn,rl_v2,0,0
44,12,11,9.5,39.8,732,1.0,216.0,0,13.9,1.3,0,1,dqn,rl_v2,0,0
45,12,12,10.5,36.2,738,1.0,222.0,0,13.4,1.2,0,0,dqn,rl_v2,0,0
46,7,7,33.9,49.8,697,1.0,225.5,1,13.9,2.0,0,0,dqn,rl_v2,0,0
47,7,7,36.7,52.3,732,0.9954,229.0,0,14.2,2.1,0,0,dqn,rl_v2,0,0
48,12,7,58.4,58.2,815,0.9836,232.5,1,14.3,2.3,0,5,dqn,rl_v2,0,0
49,12,9,24.0,52.5,819,1.0,237.0,0,14.5,1.8,0,3,dqn,rl_v2,0,0
50,12,11,9.9,48.6,836,1.0,242.5,0,13.9,1.5,0,1,dqn,rl_v2,0,0
51,12,11,10.8,41.9,822,1.0,248.0,0,13.5,1.5,0,1,dqn,rl_v2,0,0
52,12,12,9.2,31.0,707,1.0,254.0,0,13.5,1.2,0,0,dqn,rl_v2,0,0
53,12,12,8.4,29.5,673,1.0,260.0,0,13.6,1.1,0,0,dqn,rl_v2,0,0
54,7,7,22.8,45.2,633,1.0,263.5,1,13.7,1.8,0,0,dqn,rl_v2,0,0
55,7,7,21.0,45.7,640,1.0,267.0,0,13.8,1.8,0,0,dqn,rl_v2,0,0
56,12,7,21.0,44.5,623,1.0,270.5,1,13.8,1.7,0,5,dqn,rl_v2,0,0
57,12,9,8.9,44.7,698,1.0,275.0,0,13.8,1.5,0,3,dqn,rl_v2,0,0
58,12,12,10.3,32.8,590,1.0,281.0,0,13.4,1.0,0,0,dqn,rl_v2,0,0
59,12,12,10.4,29.6,604,1.0,287.0,0,13.2,1.0,0,0,dqn,rl_v2,0,0
60,7,7,33.7,50.3,704,0.9994,290.5,1,13.8,2.0,0,0,dqn,rl_v2,0,0
61,6,6,59.4,59.9,719,0.9802,293.5,1,14.1,2.4,0,0,dqn,rl_v2,0,0
62,12,6,56.3,62.1,745,0.9758,296.5,1,14.1,2.4,0,6,dqn,rl_v2,0,0
63,12,10,8.8,52.3,795,1.0,301.5,0,14.8,1.6,0,2,dqn,rl_v2,0,0
64,12,11,9.9,49.6,793,1.0,307.0,0,14.0,1.4,0,1,dqn,rl_v2,0,0
65,12,12,9.6,34.0,734,1.0,313.0,0,13.7,1.2,0,0,dqn,rl_v2,0,0
66,8,8,20.6,44.5,712,1.0,317.0,1,13.7,1.7,0,0,dqn,rl_v2,0,0
67,7,7,33.1,50.1,702,0.9997,320.5,1,13.8,2.0,0,0,dqn,rl_v2,0,0
68,12,7,42.0,52.1,730,0.9957,324.0,1,14.1,2.1,0,5,dqn,rl_v2,0,0
69,12,9,9.5,40.1,625,1.0,328.5,0,14.0,1.4,0,3,dqn,rl_v2,0,0
70,12,12,9.7,38.6,695,1.0,334.5,0,13.7,1.1,0,0,dqn,rl_v2,0,0
71,7,7,18.3,44.1,618,1.0,338.0,1,14.2,1.7,0,0,dqn,rl_v2,0,0
72,7,7,8.8,39.7,556,1.0,341.5,0,14.0,1.6,0,0,dqn,rl_v2,0,0
73,12,7,13.0,42.1,589,1.0,345.0,1,13.6,1.7,0,5,dqn,rl_v2,0,0
74,12,10,10.6,31.9,523,1.0,350.0,0,13.4,1.0,0,2,dqn,rl_v2,0,0
75,12,11,10.3,35.3,607,1.0,355.5,0,13.3,1.1,0,1,dqn,rl_v2,0,0
76,6,5,101.7,79.4,794,0.9412,358.0,1,15.0,2.6,0,1,dqn,rl_v2,0,0
77,12,6,87.4,82.4,890,0.9517,361.0,1,15.0,2.4,0,6,dqn,rl_v2,0,0
78,12,10,44.3,73.9,1034,0.9966,366.0,0,15.1,1.7,0,2,dqn,rl_v2,0,0
79,12,12,62.8,78.8,1323,0.9898,372.0,0,14.6,2.2,0,0,dqn,rl_v2,0,0
80,11,11,46.8,58.8,1152,0.9953,377.5,1,13.9,2.1,0,0,dqn,rl_v2,0,0
81,12,11,22.4,44.6,982,1.0,383.0,1,13.9,1.8,0,1,dqn,rl_v2,0,0
82,12,11,9.3,38.5,847,1.0,388.5,0,13.8,1.5,0,1,dqn,rl_v2,0,0
83,12,11,9.5,37.4,823,1.0,394.0,0,13.7,1.5,0,1,dqn,rl_v2,0,0
84,12,12,9.4,38.1,868,1.0,400.0,0,13.4,1.4,0,0,dqn,rl_v2,0,0
85,12,12,20.2,46.3,1056,1.0,406.0,0,13.7,1.7,0,0,dqn,rl_v2,0,0
86,12,12,11.8,40.8,980,1.0,412.0,0,13.9,1.6,0,0,dqn,rl_v2,0,0
87,12,12,8.5,38.2,916,1.0,418.0,0,13.5,1.5,0,0,dqn,rl_v2,0,0
88,12,12,11.9,41.0,985,1.0,424.0,0,13.6,1.6,0,0,dqn,rl_v2,0,0
89,12,12,9.0,39.9,958,1.0,430.0,0,13.8,1.6,0,0,dqn,rl_v2,0,0
90,12,12,15.2,42.1,1011,1.0,436.0,0,13.7,1.7,0,0,dqn,rl_v2,0,0
91,12,12,16.2,42.6,1023,1.0,442.0,0,13.9,1.7,0,0,dqn,rl_v2,0,0
92,12,12,15.9,43.0,1031,1.0,448.0,0,13.9,1.7,0,0,dqn,rl_v2,0,0
93,12,12,29.2,47.5,1140,1.0,454.0,0,13.7,1.9,0,0,dqn,rl_v2,0,0
94,12,12,15.8,42.3,1015,1.0,460.0,0,13.7,1.7,0,0,dqn,rl_v2,0,0
95,12,12,12.4,41.2,989,1.0,466.0,0,13.7,1.6,0,0,dqn,rl_v2,0,0
96,12,12,9.5,35.8,858,1.0,472.0,0,13.5,1.4,0,0,dqn,rl_v2,0,0
97,12,12,9.4,34.3,824,1.0,478.0,0,13.6,1.4,0,0,dqn,rl_v2,0,0
98,12,12,9.3,36.5,875,1.0,484.0,0,13.8,1.4,0,0,dqn,rl_v2,0,0
99,12,12,9.2,37.8,906,1.0,490.0,0,13.7,1.5,0,0,dqn,rl_v2,0,0
100,12,12,10.0,32.8,788,1.0,496.0,0,13.5,1.3,0,0,dqn,rl_v2,0,0
101,12,12,10.1,31.4,754,1.0,502.0,0,13.3,1.2,0,0,dqn,rl_v2,0,0
102,12,12,9.5,29.0,697,1.0,508.0,0,13.4,1.1,0,0,dqn,rl_v2,0,0
103,12,12,10.3,30.4,729,1.0,514.0,0,13.5,1.2,0,0,dqn,rl_v2,0,0
104,7,7,71.8,64.9,908,0.9703,517.5,1,14.4,2.6,0,0,dqn,rl_v2,0,0
105,12,7,66.6,62.1,870,0.9757,521.0,1,14.5,2.4,0,5,dqn,rl_v2,0,0
106,12,9,18.4,50.2,783,1.0,525.5,0,14.1,1.7,0,3,dqn,rl_v2,0,0
107,12,12,10.4,43.8,788,1.0,531.5,0,13.8,1.3,0,0,dqn,rl_v2,0,0
108,12,12,9.7,39.3,802,1.0,537.5,0,13.7,1.3,0,0,dqn,rl_v2,0,0
109,8,8,33.8,50.1,802,0.9998,541.5,1,14.0,2.0,0,0,dqn,rl_v2,0,0
110,11,8,46.8,54.1,866,0.9918,545.5,1,13.9,2.1,0,3,dqn,rl_v2,0,0
111,12,9,32.8,52.6,884,1.0,550.0,1,14.3,1.9,0,3,dqn,rl_v2,0,0
112,12,11,9.7,44.0,810,1.0,555.5,0,14.0,1.4,0,1,dqn,rl_v2,0,0
113,12,12,10.0,40.4,824,1.0,561.5,0,13.5,1.4,0,0,dqn,rl_v2,0,0
114,12,12,9.7,36.9,841,1.0,567.5,0,13.5,1.4,0,0,dqn,rl_v2,0,0
115,11,11,8.7,35.6,783,1.0,573.0,1,13.6,1.4,0,0,dqn,rl_v2,0,0
116,12,11,9.2,35.7,785,1.0,578.5,1,14.0,1.4,0,1,dqn,rl_v2,0,0
117,12,11,9.0,33.5,736,1.0,584.0,0,13.5,1.3,0,1,dqn,rl_v2,0,0
118,12,11,9.0,35.1,772,1.0,589.5,0,13.6,1.4,0,1,dqn,rl_v2,0,0
119,12,11,9.5,32.7,720,1.0,595.0,0,13.3,1.3,0,1,dqn,rl_v2,0,0
120,12,12,9.7,38.1,868,1.0,601.0,0,13.4,1.4,0,0,dqn,rl_v2,0,0
121,12,12,13.0,43.2,984,1.0,607.0,0,13.9,1.6,0,0,dqn,rl_v2,0,0
122,12,12,9.0,37.3,896,1.0,613.0,0,13.9,1.5,0,0,dqn,rl_v2,0,0
123,12,12,8.8,35.9,861,1.0,619.0,0,13.6,1.4,0,0,dqn,rl_v2,0,0
124,12,12,9.3,36.0,864,1.0,625.0,0,13.7,1.4,0,0,dqn,rl_v2,0,0
125,12,12,9.2,39.1,938,1.0,631.0,0,13.8,1.5,0,0,dqn,rl_v2,0,0
126,12,12,13.6,41.5,997,1.0,637.0,0,13.8,1.6,0,0,dqn,rl_v2,0,0
127,12,12,9.1,35.4,849,1.0,643.0,0,13.8,1.4,0,0,dqn,rl_v2,0,0
128,12,12,8.8,33.2,798,1.0,649.0,0,13.8,1.3,0,0,dqn,rl_v2,0,0
129,12,12,9.3,31.1,747,1.0,655.0,0,13.4,1.2,0,0,dqn,rl_v2,0,0
130,12,12,9.0,36.0,863,1.0,661.0,0,13.7,1.4,0,0,dqn,rl_v2,0,0
131,12,12,9.9,39.5,948,1.0,667.0,0,13.9,1.6,0,0,dqn,rl_v2,0,0
132,12,12,15.1,42.0,1008,1.0,673.0,0,13.9,1.7,0,0,dqn,rl_v2,0,0
133,12,12,15.4,42.6,1023,1.0,679.0,0,13.9,1.7,0,0,dqn,rl_v2,0,0
134,12,12,31.9,47.7,1145,1.0,685.0,0,14.0,1.9,0,0,dqn,rl_v2,0,0
135,12,12,29.7,46.7,1121,1.0,691.0,0,13.8,1.8,0,0,dqn,rl_v2,0,0
136,12,12,44.6,53.9,1293,0.9922,697.0,0,14.1,2.1,0,0,dqn,rl_v2,0,0
137,12,12,44.4,53.6,1287,0.9928,703.0,0,14.0,2.1,0,0,dqn,rl_v2,0,0
138,12,12,61.8,57.4,1377,0.9852,709.0,0,14.2,2.3,0,0,dqn,rl_v2,0,0
139,12,12,66.8,60.8,1459,0.9784,715.0,0,14.4,2.4,0,0,dqn,rl_v2,0,0
140,12,12,93.7,70.7,1696,0.9587,721.0,0,14.5,2.8,0,0,dqn,rl_v2,0,0
141,12,12,102.0,71.7,1720,0.9567,727.0,0,14.5,2.8,0,0,dqn,rl_v2,0,0
142,12,12,109.2,79.3,1904,0.9413,733.0,0,14.9,3.1,0,0,dqn,rl_v2,0,0
143,12,12,156.3,95.1,2283,0.9097,739.0,0,15.6,3.7,0,0,dqn,rl_v2,0,0
144,12,12,583.9,100.0,2668,0.882,745.0,0,15.8,4.4,0,0,dqn,rl_v2,0,0
145,12,12,1073.3,100.0,2882,0.8658,751.0,0,16.1,4.7,0,0,dqn,rl_v2,0,0
146,6,6,5000.0,100.0,3211,0.5,754.0,1,20.7,8.8,0,0,dqn,rl_v2,0,0
147,6,6,5000.0,100.0,3461,0.5,757.0,0,21.3,9.5,0,0,dqn,rl_v2,0,0
148,6,6,5000.0,100.0,3607,0.5,760.0,0,21.2,9.8,0,0,dqn,rl_v2,0,0
149,6,6,5000.0,100.0,3659,0.5,763.0,0,21.5,10.0,0,0,dqn,rl_v2,0,0
150,6,6,5000.0,100.0,3823,0.5,766.0,0,21.6,10.4,0,0,dqn,rl_v2,0,0
151,6,6,5000.0,100.0,3866,0.5,769.0,0,22.6,10.6,0,0,dqn,rl_v2,0,0
152,6,6,5000.0,100.0,3775,0.5,772.0,0,21.8,10.3,0,0,dqn,rl_v2,0,0
153,6,6,5000.0,100.0,3550,0.5,775.0,0,21.3,9.7,0,0,dqn,rl_v2,0,0
154,6,6,5000.0,100.0,3373,0.5,778.0,0,20.8,9.2,0,0,dqn,rl_v2,0,0
155,6,6,5000.0,100.0,3268,0.5,781.0,0,21.0,8.9,0,0,dqn,rl_v2,0,0
156,6,6,5000.0,100.0,3112,0.5,784.0,0,20.2,8.5,0,0,dqn,rl_v2,0,0
157,6,6,5000.0,100.0,2955,0.5,787.0,0,19.7,8.1,0,0,dqn,rl_v2,0,0
158,6,6,5000.0,100.0,2880,0.5,790.0,0,19.3,7.9,0,0,dqn,rl_v2,0,0
