step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,6,3,27.6,48.7,292,1.0,3.0,1,13.9,0.6,0,3,dqn,rl_v2,0,0
1,12,5,9.1,34.1,259,1.0,5.5,1,13.8,0.5,0,7,dqn,rl_v2,0,0
2,12,8,10.2,20.0,200,1.0,9.5,0,12.8,0.4,0,4,dqn,rl_v2,0,0
3,12,11,10.3,13.9,205,1.0,15.0,0,12.9,0.4,0,1,dqn,rl_v2,0,0
4,5,4,8.0,27.8,222,1.0,17.0,1,12.9,0.5,0,1,dqn,rl_v2,0,0
5,5,5,8.1,32.5,286,1.0,19.5,0,13.8,0.6,0,0,dqn,rl_v2,0,0
6,5,5,54.8,65.3,575,0.985,22.0,0,14.3,1.1,0,0,dqn,rl_v2,0,0
7,5,5,111.7,77.6,776,0.9448,24.5,0,14.6,1.5,0,0,dqn,rl_v2,0,0
8,12,5,97.5,74.6,746,0.9508,27.0,1,14.9,1.5,0,7,dqn,rl_v2,0,0
9,12,9,10.6,48.4,639,1.0,31.5,0,14.4,1.4,0,3,dqn,rl_v2,0,0
10,12,10,9.6,51.9,727,1.0,36.5,0,13.9,1.4,0,2,dqn,rl_v2,0,0
11,12,12,9.3,33.6,686,1.0,42.5,0,13.5,1.1,0,0,dqn,rl_v2,0,0
12,8,8,8.5,35.1,561,1.0,46.5,1,13.7,1.4,0,0,dqn,rl_v2,0,0
13,7,7,11.5,41.2,577,1.0,50.0,1,13.4,1.4,0,0,dqn,rl_v2,0,0
14,6,6,25.3,47.9,575,1.0,53.0,1,14.2,1.3,0,0,dqn,rl_v2,0,0
15,6,6,31.8,49.2,590,1.0,56.0,0,13.6,1.3,0,0,dqn,rl_v2,0,0
16,12,6,33.9,50.3,604,0.9993,59.0,1,14.1,1.3,0,6,dqn,rl_v2,0,0
