step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,12,3,5000.0,100.0,1437,0.5,3.0,1,19.9,3.1,0,9,dqn,rl_v2,0,0
1,12,9,1603.6,100.0,1535,0.8485,7.5,0,19.8,2.8,0,3,dqn,rl_v2,0,0
2,12,12,22.7,78.1,1031,1.0,13.5,0,14.1,1.7,0,0,dqn,rl_v2,0,0
3,12,12,24.4,53.3,1088,1.0,19.5,0,13.8,1.8,0,0,dqn,rl_v2,0,0
4,8,8,95.0,75.9,1214,0.9483,23.5,1,14.8,3.0,0,0,dqn,rl_v2,0,0
5,11,8,8.4,18.4,295,1.0,27.5,1,13.1,0.7,0,3,dqn,rl_v2,0,0
6,12,9,123.9,88.9,1494,0.934,32.0,1,15.2,3.3,0,3,dqn,rl_v2,0,0
7,5,3,5000.0,100.0,1194,0.5,33.5,1,21.5,2.6,0,2,dqn,rl_v2,0,0
8,12,3,5000.0,100.0,1552,0.5,35.0,1,20.4,3.4,0,9,dqn,rl_v2,0,0
9,12,5,5000.0,100.0,1818,0.5,37.5,0,21.5,3.6,0,7,dqn,rl_v2,0,0
10,12,9,10.6,49.9,539,1.0,42.0,0,14.2,1.0,0,3,dqn,rl_v2,0,0
11,12,10,1263.0,100.0,1830,0.8615,47.0,0,15.3,3.0,0,2,dqn,rl_v2,0,0
12,12,12,755.9,100.0,2374,0.8749,53.0,0,15.9,3.9,0,0,dqn,rl_v2,0,0
13,12,12,83.4,73.6,1590,0.9675,59.0,0,14.4,2.6,0,0,dqn,rl_v2,0,0
14,12,12,28.1,47.6,1142,1.0,65.0,0,13.9,1.9,0,0,dqn,rl_v2,0,0
15,12,12,41.3,53.7,1289,0.9926,71.0,0,13.9,2.1,0,0,dqn,rl_v2,0,0
16,12,12,70.4,60.8,1459,0.9784,77.0,0,14.4,2.4,0,0,dqn,rl_v2,0,0
17,12,12,20.3,44.0,1056,1.0,83.0,0,13.7,1.7,0,0,dqn,rl_v2,0,0
18,12,12,79.9,69.8,1674,0.9605,89.0,0,14.6,2.7,0,0,dqn,rl_v2,0,0
19,12,12,20.5,44.2,1061,1.0,95.0,0,14.0,1.7,0,0,dqn,rl_v2,0,0
20,12,12,62.0,57.2,1372,0.9857,101.0,0,14.2,2.2,0,0,dqn,rl_v2,0,0
21,12,12,90.8,67.0,1609,0.9659,107.0,0,14.3,2.6,0,0,dqn,rl_v2,0,0
22,12,12,41.5,51.3,1231,0.9974,113.0,0,13.9,2.0,0,0,dqn,rl_v2,0,0
23,12,12,51.6,55.4,1330,0.9892,119.0,0,14.0,2.2,0,0,dqn,rl_v2,0,0
24,12,12,32.2,49.3,1184,1.0,125.0,0,13.9,1.9,0,0,dqn,rl_v2,0,0
25,12,12,18.5,42.7,1024,1.0,131.0,0,13.8,1.7,0,0,dqn,rl_v2,0,0
26,12,12,60.7,57.1,1370,0.9858,137.0,0,13.9,2.2,0,0,dqn,rl_v2,0,0
27,12,12,111.5,80.9,1941,0.9383,143.0,0,14.9,3.2,0,0,dqn,rl_v2,0,0
28,12,12,8.2,38.2,917,1.0,149.0,0,13.3,1.5,0,0,dqn,rl_v2,0,0
29,12,12,69.1,62.9,1510,0.9742,155.0,0,14.3,2.5,0,0,dqn,rl_v2,0,0
30,12,12,70.5,65.1,1563,0.9698,161.0,0,14.5,2.6,0,0,dqn,rl_v2,0,0
31,12,12,90.2,69.5,1667,0.9611,167.0,0,14.4,2.7,0,0,dqn,rl_v2,0,0
32,12,12,47.4,54.5,1307,0.9911,173.0,0,14.1,2.1,0,0,dqn,rl_v2,0,0
33,12,12,68.5,61.4,1473,0.9772,179.0,0,14.2,2.4,0,0,dqn,rl_v2,0,0
34,12,12,90.8,75.1,1803,0.9497,185.0,0,14.6,3.0,0,0,dqn,rl_v2,0,0
35,12,12,102.5,75.9,1822,0.9482,191.0,0,14.9,3.0,0,0,dqn,rl_v2,0,0
36,12,12,109.5,81.3,1951,0.9374,197.0,0,15.0,3.2,0,0,dqn,rl_v2,0,0
37,12,12,39.0,49.8,1196,1.0,203.0,0,14.1,2.0,0,0,dqn,rl_v2,0,0
38,12,12,49.2,54.3,1303,0.9914,209.0,0,14.0,2.1,0,0,dqn,rl_v2,0,0
39,12,12,87.6,70.4,1689,0.9593,215.0,0,14.8,2.8,0,0,dqn,rl_v2,0,0
40,12,12,40.1,51.7,1241,0.9966,221.0,0,14.1,2.0,0,0,dqn,rl_v2,0,0
41,12,12,109.5,74.0,1777,0.9519,227.0,0,14.6,2.9,0,0,dqn,rl_v2,0,0
