step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,12,3,136.1,91.8,551,0.9163,3.0,1,15.5,1.2,0,9,ppo,rl_v2,0,0
1,12,9,9.1,48.1,520,1.0,7.5,0,15.0,0.9,0,3,ppo,rl_v2,0,0
2,12,12,11.5,37.8,499,1.0,13.5,0,13.2,0.8,0,0,ppo,rl_v2,0,0
3,9,9,9.6,35.6,513,1.0,18.0,1,13.4,1.1,0,0,ppo,rl_v2,0,0
4,8,8,8.5,32.4,519,1.0,22.0,1,13.4,1.3,0,0,ppo,rl_v2,0,0
5,8,8,8.7,35.7,571,1.0,26.0,0,13.5,1.4,0,0,ppo,rl_v2,0,0
6,8,8,31.3,49.7,795,1.0,30.0,0,14.1,2.0,0,0,ppo,rl_v2,0,0
7,8,8,59.0,58.3,933,0.9834,34.0,0,14.5,2.3,0,0,ppo,rl_v2,0,0
8,9,8,55.4,57.1,913,0.9859,38.0,1,14.0,2.2,0,1,ppo,rl_v2,0,0
9,12,8,40.3,53.0,848,0.994,42.0,1,14.4,2.1,0,4,ppo,rl_v2,0,0
10,12,10,21.1,50.6,890,1.0,47.0,0,14.1,1.7,0,2,ppo,rl_v2,0,0
11,9,7,73.1,63.5,889,0.973,50.5,1,14.5,2.5,0,2,ppo,rl_v2,0,0
12,9,8,30.2,51.9,768,1.0,54.5,0,14.1,1.9,0,1,ppo,rl_v2,0,0
13,12,9,19.5,50.1,782,1.0,59.0,1,14.1,1.7,0,3,ppo,rl_v2,0,0
14,9,7,50.1,60.5,774,0.9894,62.5,1,14.2,2.2,0,2,ppo,rl_v2,0,0
15,9,9,21.0,54.9,790,1.0,67.0,0,14.1,1.7,0,0,ppo,rl_v2,0,0
16,9,9,21.9,51.3,800,1.0,71.5,0,13.7,1.7,0,0,ppo,rl_v2,0,0
17,9,9,33.7,49.8,896,1.0,76.0,0,14.1,2.0,0,0,ppo,rl_v2,0,0
18,9,9,33.9,50.9,917,0.9981,80.5,0,13.9,2.0,0,0,ppo,rl_v2,0,0
19,9,9,37.9,51.8,933,0.9963,85.0,0,13.8,2.0,0,0,ppo,rl_v2,0,0
