step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,9,3,31.3,48.7,292,1.0,3.0,1,13.7,0.6,0,6,ppo,rl_v2,0,0
1,9,7,10.1,28.2,259,1.0,6.5,0,13.9,0.5,0,2,ppo,rl_v2,0,0
2,9,9,9.5,18.5,200,1.0,11.0,0,12.7,0.4,0,0,ppo,rl_v2,0,0
3,8,8,9.8,15.1,205,1.0,15.0,1,12.7,0.3,0,0,ppo,rl_v2,0,0
4,8,8,9.1,13.9,222,1.0,19.0,0,12.8,0.4,0,0,ppo,rl_v2,0,0
5,8,8,9.0,17.9,286,1.0,23.0,0,12.9,0.5,0,0,ppo,rl_v2,0,0
6,8,8,8.2,35.9,575,1.0,27.0,0,13.7,0.9,0,0,ppo,rl_v2,0,0
7,8,8,31.8,48.5,776,1.0,31.0,0,14.0,1.3,0,0,ppo,rl_v2,0,0
8,8,8,26.5,46.6,746,1.0,35.0,0,13.9,1.2,0,0,ppo,rl_v2,0,0
9,9,8,8.2,39.9,639,1.0,39.0,1,13.8,1.0,0,1,ppo,rl_v2,0,0
10,9,9,10.8,43.3,727,1.0,43.5,0,14.0,1.3,0,0,ppo,rl_v2,0,0
11,8,8,17.4,42.9,686,1.0,47.5,1,14.0,1.1,0,0,ppo,rl_v2,0,0
12,9,8,8.1,35.1,561,1.0,51.5,1,13.5,0.9,0,1,ppo,rl_v2,0,0
13,9,9,8.5,34.3,577,1.0,56.0,0,13.6,1.1,0,0,ppo,rl_v2,0,0
14,8,8,8.5,35.9,575,1.0,60.0,1,13.8,0.9,0,0,ppo,rl_v2,0,0
15,8,8,8.6,36.9,590,1.0,64.0,0,13.4,1.0,0,0,ppo,rl_v2,0,0
16,8,8,8.0,37.8,604,1.0,68.0,0,13.8,1.0,0,0,ppo,rl_v2,0,0
17,8,8,19.8,45.6,729,1.0,72.0,0,13.9,1.2,0,0,ppo,rl_v2,0,0
18,8,8,28.6,47.5,760,1.0,76.0,0,14.0,1.2,0,0,ppo,rl_v2,0,0
19,9,8,31.4,47.7,763,1.0,80.0,1,13.8,1.3,0,1,ppo,rl_v2,0,0
