step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,12,3,4088.6,100.0,914,0.7125,3.0,1,17.2,2.0,0,9,ppo,rl_v2,0,0
1,12,9,50.1,91.6,989,0.9901,7.5,0,17.3,1.8,0,3,ppo,rl_v2,0,0
2,12,12,12.5,73.3,967,1.0,13.5,0,14.0,1.6,0,0,ppo,rl_v2,0,0
3,12,12,9.9,44.2,902,1.0,19.5,0,13.7,1.5,0,0,ppo,rl_v2,0,0
4,12,12,10.4,36.8,884,1.0,25.5,0,13.5,1.4,0,0,ppo,rl_v2,0,0
5,9,9,39.7,51.3,923,0.9974,30.0,1,14.1,2.0,0,0,ppo,rl_v2,0,0
6,8,8,84.5,70.2,1123,0.9596,34.0,1,14.7,2.8,0,0,ppo,rl_v2,0,0
7,9,8,96.1,71.6,1145,0.9569,38.0,1,14.7,2.8,0,1,ppo,rl_v2,0,0
8,12,9,67.8,64.6,1085,0.9794,42.5,1,14.6,2.4,0,3,ppo,rl_v2,0,0
9,12,9,92.5,74.0,1244,0.9618,47.0,0,14.4,2.7,0,3,ppo,rl_v2,0,0
10,12,11,41.7,57.5,1127,0.9975,52.5,0,14.4,2.0,0,1,ppo,rl_v2,0,0
11,12,11,17.3,48.3,946,1.0,58.0,0,13.8,1.7,0,1,ppo,rl_v2,0,0
12,9,9,61.4,62.7,1054,0.9829,62.5,1,14.4,2.3,0,0,ppo,rl_v2,0,0
13,9,9,46.9,57.4,964,0.9929,67.0,0,14.0,2.1,0,0,ppo,rl_v2,0,0
14,12,9,59.7,61.3,1104,0.9773,71.5,1,14.4,2.4,0,3,ppo,rl_v2,0,0
15,12,11,29.4,53.9,1056,1.0,77.0,0,14.2,1.9,0,1,ppo,rl_v2,0,0
16,12,12,10.0,43.6,889,1.0,83.0,0,13.5,1.5,0,0,ppo,rl_v2,0,0
17,9,9,36.4,49.4,890,1.0,87.5,1,14.1,1.9,0,0,ppo,rl_v2,0,0
18,9,9,30.6,48.9,881,1.0,92.0,0,13.9,1.9,0,0,ppo,rl_v2,0,0
19,9,9,46.6,53.9,970,0.9922,96.5,0,14.1,2.1,0,0,ppo,rl_v2,0,0
20,9,9,23.3,46.3,834,1.0,101.0,0,13.9,1.8,0,0,ppo,rl_v2,0,0
21,9,9,33.6,49.8,896,1.0,105.5,0,14.1,2.0,0,0,ppo,rl_v2,0,0
22,9,9,23.8,45.3,815,1.0,110.0,0,14.0,1.8,0,0,ppo,rl_v2,0,0
23,9,9,20.4,44.3,797,1.0,114.5,0,13.7,1.7,0,0,ppo,rl_v2,0,0
24,9,9,33.6,50.3,905,0.9994,119.0,0,14.2,2.0,0,0,ppo,rl_v2,0,0
25,9,9,37.5,50.1,901,0.9999,123.5,0,13.8,2.0,0,0,ppo,rl_v2,0,0
26,9,9,38.1,52.7,948,0.9947,128.0,0,14.0,2.1,0,0,ppo,rl_v2,0,0
27,9,9,73.1,61.5,1107,0.977,132.5,0,14.1,2.4,0,0,ppo,rl_v2,0,0
28,9,9,85.0,67.0,1206,0.966,137.0,0,14.4,2.6,0,0,ppo,rl_v2,0,0
29,12,9,96.9,74.1,1333,0.9519,141.5,1,14.6,2.9,0,3,ppo,rl_v2,0,0
30,12,11,101.2,76.7,1503,0.9634,147.0,0,14.9,2.7,0,1,ppo,rl_v2,0,0
31,12,12,87.3,79.6,1623,0.9647,153.0,0,14.4,2.7,0,0,ppo,rl_v2,0,0
32,12,12,105.9,77.4,1765,0.9529,159.0,0,14.7,2.9,0,0,ppo,rl_v2,0,0
33,12,12,89.1,75.0,1800,0.95,165.0,0,14.6,2.9,0,0,ppo,rl_v2,0,0
34,12,12,112.8,78.7,1889,0.9426,171.0,0,14.9,3.1,0,0,ppo,rl_v2,0,0
35,12,12,109.1,77.1,1851,0.9457,177.0,0,14.6,3.0,0,0,ppo,rl_v2,0,0
36,12,12,80.7,68.9,1654,0.9622,183.0,0,14.5,2.7,0,0,ppo,rl_v2,0,0
37,12,12,80.1,67.5,1621,0.9649,189.0,0,14.4,2.7,0,0,ppo,rl_v2,0,0
38,12,12,51.3,56.2,1349,0.9876,195.0,0,14.1,2.2,0,0,ppo,rl_v2,0,0
39,12,12,45.4,52.5,1261,0.9949,201.0,0,14.0,2.1,0,0,ppo,rl_v2,0,0
40,9,9,66.9,63.8,1148,0.9724,205.5,1,14.2,2.5,0,0,ppo,rl_v2,0,0
41,9,9,56.2,57.1,1028,0.9858,210.0,0,14.4,2.2,0,0,ppo,rl_v2,0,0
42,12,9,30.1,49.4,889,1.0,214.5,1,14.2,1.9,0,3,ppo,rl_v2,0,0
43,12,12,9.8,40.1,819,1.0,220.5,0,13.8,1.3,0,0,ppo,rl_v2,0,0
44,9,9,25.5,46.9,845,1.0,225.0,1,14.2,1.8,0,0,ppo,rl_v2,0,0
45,9,9,37.1,49.7,894,1.0,229.5,0,13.9,2.0,0,0,ppo,rl_v2,0,0
46,9,9,23.4,45.5,819,1.0,234.0,0,13.8,1.8,0,0,ppo,rl_v2,0,0
47,9,9,9.0,39.1,704,1.0,238.5,0,13.8,1.5,0,0,ppo,rl_v2,0,0
48,9,9,8.2,38.7,697,1.0,243.0,0,14.2,1.5,0,0,ppo,rl_v2,0,0
49,8,8,24.8,46.4,742,1.0,247.0,1,13.8,1.8,0,0,ppo,rl_v2,0,0
50,8,8,48.9,57.2,916,0.9855,251.0,0,14.1,2.3,0,0,ppo,rl_v2,0,0
51,9,8,39.3,50.4,806,0.9992,255.0,1,14.0,2.0,0,1,ppo,rl_v2,0,0
52,9,8,27.9,47.8,764,1.0,259.0,0,13.9,1.9,0,1,ppo,rl_v2,0,0
53,9,8,28.0,49.0,784,1.0,263.0,0,14.4,1.9,0,1,ppo,rl_v2,0,0
54,9,9,15.6,44.8,753,1.0,267.5,0,14.1,1.6,0,0,ppo,rl_v2,0,0
55,9,9,23.4,48.5,815,1.0,272.0,0,14.1,1.8,0,0,ppo,rl_v2,0,0
56,9,9,20.0,43.5,783,1.0,276.5,0,13.7,1.7,0,0,ppo,rl_v2,0,0
57,9,9,23.3,45.9,826,1.0,281.0,0,13.7,1.8,0,0,ppo,rl_v2,0,0
58,9,9,14.7,42.8,770,1.0,285.5,0,14.0,1.7,0,0,ppo,rl_v2,0,0
59,9,9,8.6,40.1,722,1.0,290.0,0,14.0,1.6,0,0,ppo,rl_v2,0,0
60,9,9,10.6,40.7,732,1.0,294.5,0,13.8,1.6,0,0,ppo,rl_v2,0,0
61,9,9,10.4,41.1,740,1.0,299.0,0,14.0,1.6,0,0,ppo,rl_v2,0,0
62,9,9,19.8,44.3,798,1.0,303.5,0,13.8,1.7,0,0,ppo,rl_v2,0,0
63,9,9,24.9,46.2,831,1.0,308.0,0,13.8,1.8,0,0,ppo,rl_v2,0,0
64,9,9,36.1,50.4,908,0.9991,312.5,0,13.7,2.0,0,0,ppo,rl_v2,0,0
65,9,9,42.9,52.7,949,0.9946,317.0,0,14.2,2.1,0,0,ppo,rl_v2,0,0
66,9,9,34.7,50.6,911,0.9988,321.5,0,13.8,2.0,0,0,ppo,rl_v2,0,0
67,9,9,31.9,49.2,885,1.0,326.0,0,14.0,1.9,0,0,ppo,rl_v2,0,0
68,9,9,26.4,47.9,863,1.0,330.5,0,14.0,1.9,0,0,ppo,rl_v2,0,0
69,9,9,30.3,48.9,881,1.0,335.0,0,13.9,1.9,0,0,ppo,rl_v2,0,0
70,9,9,37.7,50.6,910,0.9989,339.5,0,13.8,2.0,0,0,ppo,rl_v2,0,0
71,9,9,25.3,46.6,838,1.0,344.0,0,13.8,1.8,0,0,ppo,rl_v2,0,0
72,9,9,23.2,45.8,825,1.0,348.5,0,13.7,1.8,0,0,ppo,rl_v2,0,0
73,9,9,24.9,46.6,838,1.0,353.0,0,14.2,1.8,0,0,ppo,rl_v2,0,0
74,9,9,19.2,42.8,770,1.0,357.5,0,13.9,1.7,0,0,ppo,rl_v2,0,0
75,9,9,43.5,52.9,953,0.9941,362.0,0,14.1,2.1,0,0,ppo,rl_v2,0,0
76,9,9,39.1,50.0,900,1.0,366.5,0,14.0,2.0,0,0,ppo,rl_v2,0,0
77,9,9,29.6,48.1,866,1.0,371.0,0,14.1,1.9,0,0,ppo,rl_v2,0,0
78,9,9,21.1,44.9,809,1.0,375.5,0,13.7,1.8,0,0,ppo,rl_v2,0,0
79,9,9,28.3,47.7,858,1.0,380.0,0,14.0,1.9,0,0,ppo,rl_v2,0,0
80,9,9,22.3,45.1,812,1.0,384.5,0,13.8,1.8,0,0,ppo,rl_v2,0,0
81,9,9,35.4,49.9,899,1.0,389.0,0,14.2,2.0,0,0,ppo,rl_v2,0,0
82,9,9,35.5,49.7,894,1.0,393.5,0,13.9,2.0,0,0,ppo,rl_v2,0,0
83,9,9,28.9,47.0,846,1.0,398.0,0,14.2,1.8,0,0,ppo,rl_v2,0,0
84,9,9,21.5,44.4,799,1.0,402.5,0,14.1,1.7,0,0,ppo,rl_v2,0,0
85,9,9,22.1,45.2,814,1.0,407.0,0,14.0,1.8,0,0,ppo,rl_v2,0,0
