step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,memory_pct,network_pct,oom_kills,pending_pods,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,12,3,5000.0,100.0,1437,0.5,3.0,1,19.8,3.1,0,9,ppo,rl_v2,0,0
1,12,9,1447.1,100.0,1535,0.8485,7.5,0,20.0,2.8,0,3,ppo,rl_v2,0,0
2,12,12,21.7,78.1,1031,1.0,13.5,0,14.1,1.7,0,0,ppo,rl_v2,0,0
3,12,12,25.8,53.3,1088,1.0,19.5,0,13.9,1.8,0,0,ppo,rl_v2,0,0
4,12,12,43.3,50.6,1214,0.9988,25.5,0,13.9,2.0,0,0,ppo,rl_v2,0,0
5,9,9,9.1,16.4,295,1.0,30.0,1,13.1,0.6,0,0,ppo,rl_v2,0,0
6,9,9,116.4,83.0,1494,0.934,34.5,0,15.1,3.3,0,0,ppo,rl_v2,0,0
7,8,8,104.6,74.6,1194,0.9507,38.5,1,14.8,2.9,0,0,ppo,rl_v2,0,0
8,12,8,164.4,97.0,1552,0.906,42.5,1,15.4,3.8,0,4,ppo,rl_v2,0,0
9,12,8,657.6,100.0,1818,0.8777,46.5,0,15.7,4.5,0,4,ppo,rl_v2,0,0
10,12,11,9.0,29.3,539,1.0,52.0,0,13.6,1.0,0,1,ppo,rl_v2,0,0
11,12,11,124.3,99.5,1830,0.9336,57.5,0,15.0,3.3,0,1,ppo,rl_v2,0,0
12,8,8,5000.0,100.0,2374,0.6229,61.5,1,17.3,5.8,0,0,ppo,rl_v2,0,0
13,12,8,350.9,100.0,1590,0.8895,65.5,1,15.5,3.9,0,4,ppo,rl_v2,0,0
14,12,10,57.9,64.9,1142,0.9858,70.5,0,14.7,2.2,0,2,ppo,rl_v2,0,0
15,12,12,54.8,67.1,1289,0.9926,76.5,0,14.3,2.1,0,0,ppo,rl_v2,0,0
16,12,12,72.4,67.5,1459,0.9784,82.5,0,14.1,2.4,0,0,ppo,rl_v2,0,0
17,12,12,17.1,44.0,1056,1.0,88.5,0,14.0,1.7,0,0,ppo,rl_v2,0,0
18,12,12,79.3,69.8,1674,0.9605,94.5,0,14.6,2.7,0,0,ppo,rl_v2,0,0
19,9,9,57.0,58.9,1061,0.9821,99.0,1,14.2,2.3,0,0,ppo,rl_v2,0,0
20,12,9,101.8,76.2,1372,0.9476,103.5,1,15.0,3.0,0,3,ppo,rl_v2,0,0
21,12,9,136.1,89.4,1609,0.9212,108.0,0,15.1,3.5,0,3,ppo,rl_v2,0,0
22,12,10,63.2,65.5,1231,0.9769,113.0,0,14.7,2.4,0,2,ppo,rl_v2,0,0
23,12,12,54.0,65.2,1330,0.9892,119.0,0,14.4,2.2,0,0,ppo,rl_v2,0,0
24,12,12,38.6,54.8,1184,1.0,125.0,0,13.9,1.9,0,0,ppo,rl_v2,0,0
25,12,12,16.6,42.7,1024,1.0,131.0,0,13.7,1.7,0,0,ppo,rl_v2,0,0
26,9,9,105.5,76.1,1370,0.9478,135.5,1,14.8,3.0,0,0,ppo,rl_v2,0,0
27,9,9,443.4,100.0,1941,0.8876,140.0,0,15.6,4.2,0,0,ppo,rl_v2,0,0
28,12,9,35.6,50.9,917,0.9981,144.5,1,13.7,2.0,0,3,ppo,rl_v2,0,0
29,12,10,106.2,80.3,1510,0.949,149.5,0,15.0,3.0,0,2,ppo,rl_v2,0,0
30,9,8,307.1,100.0,1563,0.8959,153.5,1,15.9,3.8,0,1,ppo,rl_v2,0,0
31,12,8,599.3,100.0,1667,0.8795,157.5,1,15.1,4.1,0,4,ppo,rl_v2,0,0
32,12,10,79.0,74.3,1307,0.9693,162.5,0,15.0,2.6,0,2,ppo,rl_v2,0,0
33,12,12,79.1,76.7,1473,0.9772,168.5,0,14.5,2.4,0,0,ppo,rl_v2,0,0
34,12,12,102.4,83.5,1803,0.9497,174.5,0,14.6,3.0,0,0,ppo,rl_v2,0,0
35,12,12,107.3,75.9,1822,0.9482,180.5,0,14.5,3.0,0,0,ppo,rl_v2,0,0
36,12,12,132.3,81.3,1951,0.9374,186.5,0,14.7,3.2,0,0,ppo,rl_v2,0,0
37,12,12,32.9,49.8,1196,1.0,192.5,0,13.9,2.0,0,0,ppo,rl_v2,0,0
38,12,12,47.7,54.3,1303,0.9914,198.5,0,14.1,2.1,0,0,ppo,rl_v2,0,0
39,9,9,145.2,93.8,1689,0.9123,203.0,1,15.2,3.7,0,0,ppo,rl_v2,0,0
40,9,9,86.5,68.9,1241,0.9621,207.5,0,14.7,2.7,0,0,ppo,rl_v2,0,0
41,12,9,169.3,98.7,1777,0.9026,212.0,1,15.5,3.9,0,3,ppo,rl_v2,0,0
42,12,11,63.5,66.1,1295,0.9823,217.5,0,14.6,2.3,0,1,ppo,rl_v2,0,0
43,12,12,10.1,18.9,385,1.0,223.5,0,13.1,0.6,0,0,ppo,rl_v2,0,0
44,12,12,133.3,86.2,1965,0.9363,229.5,0,15.2,3.2,0,0,ppo,rl_v2,0,0
