llm_model,llm_variant,mean_replicas,std_replicas,mean_latency,p95_latency,p99_latency,max_latency,mean_cpu,mean_success,sla_violations,total_vcpu,scale_events,total_tokens,mean_llm_lat,steps,mean_rps,sla_pct
dqn,rl,11.385648148148148,2.861125791196629,36.084583333333335,135.5,438.5780000000015,5242.0,48.29479166666667,0.9975378703703703,178,8197.5,819,0,0.0,4320,1043.2888888888888,95.88
gpt-oss-120b,cot,1.7118055555555556,1.5643259156027038,2424.9164583333336,5548.44,5720.722999999999,6006.1,94.30326388888889,0.7544413194444445,912,2594.0,1361,1047318,2601.865625,1440,1052.3041666666666,36.67
gpt-oss-120b,domain,3.8159722222222223,4.181782576479616,2250.4118750000002,5542.425,5732.1759999999995,6017.3,82.21881944444445,0.7849959027777778,706,3595.5,736,1077043,784.8733333333334,1440,1052.3041666666666,50.97
gpt-oss-120b,history_5,1.8298611111111112,1.8545655723864038,2680.0516666666667,5552.1900000000005,5744.909999999998,6134.9,91.82631944444444,0.7400372916666668,851,2579.0,1104,1260769,2288.508194444444,1440,1052.3041666666666,40.9
gpt-oss-120b,zero_shot,3.213888888888889,2.9326612303070103,1613.7529861111109,5476.0,5684.526,5878.9,81.74180555555556,0.8455849305555555,559,3919.0,1289,871571,2682.128888888889,1440,1052.3041666666666,61.18
hpa,baseline,10.543055555555556,3.100284745105444,14.208402777777776,16.7,30.06099999999999,175.1,48.20118055555555,1.0,0,7802.5,711,0,0.0,1440,1052.3041666666666,100.0
keda,baseline,5.61875,1.9453431055911867,125.67180555555555,320.54499999999996,452.1319999999999,1379.7,90.08652777777777,0.9953017361111112,275,4156.5,428,0,0.0,1440,1052.3041666666666,80.9
llama-70b,cot,7.566666666666666,2.8865025811177047,74.43555555555555,131.51999999999998,573.3839999999765,5539.2,69.07458333333332,0.9952884722222223,53,5648.0,191,918335,37924.844305555554,1440,1052.3041666666666,96.32
llama-70b,domain,11.74236111111111,2.9658018347049993,14.430069444444444,18.904999999999994,60.166999999999526,160.1,46.33840277777778,1.0,0,6835.5,64,491153,13542.977430555555,1440,1110.5305555555556,100.0
llama-70b,history_5,15.920833333333333,3.480010923117535,12.099097222222223,14.604999999999995,42.62699999999993,983.9,33.114374999999995,0.999834236111111,2,11661.0,242,538836,16080.53125,1440,1052.3041666666666,99.86
llama-70b,zero_shot,11.55486111111111,1.728167891568119,16.057152777777777,29.3,87.24299999999937,395.7,45.44284722222222,0.9999490277777778,4,8326.5,12,294448,5748.0945833333335,1440,1052.3041666666666,99.72
llama-8b,cot,18.9,3.2891254268668817,11.697083333333333,14.6,56.35599999999904,591.8,28.971180555555556,0.9998752083333334,3,13610.5,13,385088,480.85770833333333,1440,1052.3041666666666,99.79
llama-8b,domain,19.693055555555556,1.4889751328285357,10.335625,12.8,32.30099999999959,161.9,26.874166666666667,1.0,0,14179.0,12,494525,463.5352777777778,1440,1052.3041666666666,100.0
llama-8b,history_5,19.013194444444444,2.0441188891665885,10.887638888888889,13.4,39.5199999999998,271.1,27.799583333333334,0.9999943055555556,2,13826.5,315,557526,485.18819444444443,1440,1052.3041666666666,99.86
llama-8b,zero_shot,18.98263888888889,3.104678929038064,10.669791666666667,13.8,39.34399999999996,175.3,28.582708333333333,1.0,0,13667.5,15,298685,471.91180555555553,1440,1052.3041666666666,100.0
llama4-scout,cot,5.711111111111111,2.8185603230733745,249.72708333333333,658.5499999999994,5170.324,5554.7,77.24090277777778,0.9761312499999999,325,5835.0,1132,1012188,1488.2031944444445,1440,1052.3041666666666,77.43
llama4-scout,domain,16.319444444444443,2.585448072236029,14.987847222222221,16.404999999999994,74.26199999999858,1435.7,33.09076388888889,0.9993294444444445,7,11756.5,21,458997,343.66284722222224,1440,1052.3041666666666,99.51
llama4-scout,history_5,13.146527777777777,2.6290305617945577,15.644166666666665,17.0,67.04299999999937,1262.7,39.89013888888889,0.9993697916666666,4,9557.0,223,523805,582.9039583333333,1440,1052.3041666666666,99.72
llama4-scout,zero_shot,12.584027777777777,1.7261896802763301,15.565138888888889,27.1,99.76599999999995,409.9,42.199305555555554,0.9998289583333333,7,9068.0,21,266767,206.10500000000002,1440,1052.3041666666666,99.51
mistral-small4,cot,12.917361111111111,3.502522269188109,17.038194444444443,40.824999999999974,98.22199999999998,284.1,43.91375,0.9999870138888889,3,9312.0,25,394728,452.25,1440,1052.3041666666666,99.79
mistral-small4,domain,16.468055555555555,2.1066971134870522,11.104513888888889,15.3,34.15399999999986,175.4,32.170902777777776,1.0,0,11860.0,19,519633,426.42604166666666,1440,1052.3041666666666,100.0
mistral-small4,history_5,10.409027777777778,2.856065639543206,15.110069444444445,19.3,52.70799999999972,243.8,49.26347222222222,1.0,1,7662.0,381,575342,489.1590277777778,1440,1052.3041666666666,99.93
mistral-small4,zero_shot,15.151388888888889,1.9939096327326309,13.73763888888889,18.6,69.88399999999857,1255.2,35.07944444444445,0.9996736111111111,3,10917.5,12,298037,401.82256944444447,1440,1052.3041666666666,99.79
ppo,rl,7.967592592592593,2.1047726317116435,45.74928240740741,133.16000000000022,468.9200000000008,5242.0,64.52652777777777,0.9969290972222221,174,6418.5,1292,0,0.0,4320,1043.2888888888888,95.97
qwen3-80b,cot,12.313194444444445,3.1749704441840634,16.389027777777777,28.704999999999995,95.13299999999947,365.8,44.65423611111111,0.9999233333333333,6,8873.0,19,387685,768.66875,1440,1052.3041666666666,99.58
qwen3-80b,domain,10.920833333333333,2.9003576257407473,15.435555555555556,19.804999999999996,87.3489999999999,292.1,47.87027777777777,0.9999755555555555,2,7929.5,85,507722,674.9897916666667,1440,1052.3041666666666,99.86
qwen3-80b,history_5,6.9319444444444445,1.7389241591000606,43.25868055555556,139.70499999999998,395.8959999999996,901.5,67.91902777777777,0.9980654861111111,59,5552.0,1118,561288,699.7936805555556,1440,1052.3041666666666,95.9
qwen3-80b,zero_shot,10.868055555555555,3.32874800442554,24.70826388888889,68.61499999999998,186.64799999999832,703.0,51.91520833333333,0.9997147916666668,13,7869.0,125,287024,1360.6172222222222,1440,1052.3041666666666,99.1
