step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-19 16:25:18,3,3,58,36,292,91.0,1.0,6,1,keda,zero_shot,0,0,CPU-intensive
1,2026-06-19 16:26:19,6,6,252,69,259,136.1,1.0,6,0,keda,zero_shot,0,0,CPU-intensive
2,2026-06-19 16:27:20,6,6,189,69,200,44.8,1.0,4,1,keda,zero_shot,0,0,CPU-intensive
3,2026-06-19 16:28:21,4,4,166,47,205,51.2,1.0,5,1,keda,zero_shot,0,0,CPU-intensive
4,2026-06-19 16:29:21,5,5,187,58,222,69.8,1.0,5,0,keda,zero_shot,0,0,CPU-intensive
5,2026-06-19 16:30:22,5,5,189,58,286,36.2,1.0,6,1,keda,zero_shot,0,0,CPU-intensive
6,2026-06-19 16:31:23,6,6,260,69,575,36.5,1.0,12,1,keda,zero_shot,0,0,CPU-intensive
7,2026-06-19 16:32:23,12,12,525,135,776,91.8,1.0,16,1,keda,zero_shot,0,0,CPU-intensive
8,2026-06-19 16:33:24,16,16,530,179,746,36.8,1.0,15,1,keda,zero_shot,0,0,CPU-intensive
9,2026-06-19 16:34:25,15,15,509,168,639,95.4,1.0,13,1,keda,zero_shot,0,0,CPU-intensive
10,2026-06-19 16:35:26,13,13,479,147,727,36.6,1.0,15,1,keda,zero_shot,0,0,CPU-intensive
11,2026-06-19 16:36:26,15,15,552,168,686,82.1,1.0,14,1,keda,zero_shot,0,0,CPU-intensive
12,2026-06-19 16:37:27,14,14,472,157,561,37.5,1.0,12,1,keda,zero_shot,0,0,CPU-intensive
13,2026-06-19 16:38:28,12,12,434,135,577,82.7,1.0,12,0,keda,zero_shot,0,0,CPU-intensive
14,2026-06-19 16:39:28,12,12,433,135,575,77.6,1.0,12,0,keda,zero_shot,0,0,CPU-intensive
15,2026-06-19 16:40:29,12,12,411,135,590,51.7,1.0,12,0,keda,zero_shot,0,0,CPU-intensive
16,2026-06-19 16:41:29,12,12,448,135,604,73.9,1.0,13,1,keda,zero_shot,0,0,CPU-intensive
17,2026-06-19 16:42:30,13,13,536,146,729,51.3,1.0,15,1,keda,zero_shot,0,0,CPU-intensive
18,2026-06-19 16:43:31,15,15,526,168,760,110.4,1.0,16,1,keda,zero_shot,0,0,CPU-intensive
19,2026-06-19 16:44:31,16,16,525,180,763,50.6,1.0,16,0,keda,zero_shot,0,0,CPU-intensive
20,2026-06-19 16:45:32,16,16,488,179,735,36.3,1.0,15,1,keda,zero_shot,0,0,CPU-intensive
21,2026-06-19 16:46:33,15,15,519,169,718,37.2,1.0,15,0,keda,zero_shot,0,0,CPU-intensive
22,2026-06-19 16:47:33,15,15,477,169,623,64.3,1.0,13,1,keda,zero_shot,0,0,CPU-intensive
23,2026-06-19 16:48:34,13,13,439,146,559,79.9,1.0,12,1,keda,zero_shot,0,0,CPU-intensive
24,2026-06-19 16:49:35,12,12,416,135,569,80.7,1.0,12,0,keda,zero_shot,0,0,CPU-intensive
25,2026-06-19 16:50:35,12,12,410,136,640,47.9,1.0,13,1,keda,zero_shot,0,0,CPU-intensive
26,2026-06-19 16:51:36,13,13,439,146,640,89.8,1.0,13,0,keda,zero_shot,0,0,CPU-intensive
27,2026-06-19 16:52:37,13,13,463,147,688,36.2,1.0,14,1,keda,zero_shot,0,0,CPU-intensive
28,2026-06-19 16:53:37,14,14,433,158,545,162.0,1.0,11,1,keda,zero_shot,0,0,CPU-intensive
29,2026-06-19 16:54:38,11,11,445,124,550,60.5,1.0,11,0,keda,zero_shot,0,0,CPU-intensive
30,2026-06-19 16:55:39,11,11,539,124,643,36.7,1.0,13,1,keda,zero_shot,0,0,CPU-intensive
31,2026-06-19 16:56:39,13,13,461,146,592,51.2,1.0,12,1,keda,zero_shot,0,0,CPU-intensive
32,2026-06-19 16:57:40,12,12,411,135,443,35.9,1.0,9,1,keda,zero_shot,0,0,CPU-intensive
33,2026-06-19 16:58:41,9,9,355,102,442,87.2,1.0,9,0,keda,zero_shot,0,0,CPU-intensive
34,2026-06-19 16:59:41,9,9,359,102,401,42.7,1.0,9,0,keda,zero_shot,0,0,CPU-intensive
35,2026-06-19 17:00:42,9,9,349,103,378,83.8,1.0,8,1,keda,zero_shot,0,0,CPU-intensive
36,2026-06-19 17:01:42,8,8,247,91,296,38.4,1.0,6,1,keda,zero_shot,0,0,CPU-intensive
37,2026-06-19 17:02:43,6,6,303,69,381,103.3,1.0,8,1,keda,zero_shot,0,0,CPU-intensive
38,2026-06-19 17:03:44,8,8,294,91,340,62.5,1.0,7,1,keda,zero_shot,0,0,CPU-intensive
39,2026-06-19 17:04:45,7,7,295,80,358,54.7,1.0,8,1,keda,zero_shot,0,0,CPU-intensive
40,2026-06-19 17:05:45,8,8,335,91,451,58.0,1.0,10,1,keda,zero_shot,0,0,CPU-intensive
41,2026-06-19 17:06:46,10,10,476,113,623,64.6,1.0,13,1,keda,zero_shot,0,0,CPU-intensive
42,2026-06-19 17:07:47,13,13,388,146,518,37.3,1.0,11,1,keda,zero_shot,0,0,CPU-intensive
43,2026-06-19 17:08:47,11,11,430,124,548,75.2,1.0,11,0,keda,zero_shot,0,0,CPU-intensive
44,2026-06-19 17:09:48,11,11,368,124,499,36.2,1.0,10,1,keda,zero_shot,0,0,CPU-intensive
45,2026-06-19 17:10:49,10,10,439,113,517,39.8,1.0,11,1,keda,zero_shot,0,0,CPU-intensive
46,2026-06-19 17:11:49,11,11,378,124,471,103.7,1.0,10,1,keda,zero_shot,0,0,CPU-intensive
47,2026-06-19 17:12:50,10,10,435,114,503,97.2,1.0,11,1,keda,zero_shot,0,0,CPU-intensive
48,2026-06-19 17:13:51,11,11,444,125,605,115.7,1.0,13,1,keda,zero_shot,0,0,CPU-intensive
49,2026-06-19 17:14:52,13,13,506,146,621,56.0,1.0,13,0,keda,zero_shot,0,0,CPU-intensive
50,2026-06-19 17:15:52,13,13,471,146,646,62.9,1.0,13,0,keda,zero_shot,0,0,CPU-intensive
51,2026-06-19 17:16:53,13,13,452,146,639,70.9,1.0,13,0,keda,zero_shot,0,0,CPU-intensive
52,2026-06-19 17:17:53,13,13,439,146,493,56.6,1.0,10,1,keda,zero_shot,0,0,CPU-intensive
53,2026-06-19 17:18:54,10,10,361,113,446,80.4,1.0,9,1,keda,zero_shot,0,0,CPU-intensive
54,2026-06-19 17:19:55,9,9,361,102,435,43.7,1.0,9,0,keda,zero_shot,0,0,CPU-intensive
55,2026-06-19 17:20:55,9,9,353,102,425,76.3,1.0,9,0,keda,zero_shot,0,0,CPU-intensive
56,2026-06-19 17:21:56,9,9,359,102,401,84.8,1.0,9,0,keda,zero_shot,0,0,CPU-intensive
57,2026-06-19 17:22:57,9,9,389,102,491,67.1,1.0,10,1,keda,zero_shot,0,0,CPU-intensive
58,2026-06-19 17:23:57,10,10,274,114,382,47.2,1.0,8,1,keda,zero_shot,0,0,CPU-intensive
59,2026-06-19 17:24:58,8,8,362,91,414,36.8,1.0,9,1,keda,zero_shot,0,0,CPU-intensive
