step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-19 21:33:47,3,3,19,89,292,266.0,1.0,5,1,llama-8b,domain,281,476.4,CPU-intensive
1,2026-06-19 21:34:48,5,5,215,56,259,42.7,1.0,5,0,llama-8b,domain,281,83.6,CPU-intensive
2,2026-06-19 21:35:49,5,5,194,57,200,46.8,1.0,5,0,llama-8b,domain,281,100.7,CPU-intensive
3,2026-06-19 21:36:50,5,5,160,56,205,85.3,1.0,5,0,llama-8b,domain,281,141.1,CPU-intensive
4,2026-06-19 21:37:50,5,5,144,57,222,63.0,1.0,5,0,llama-8b,domain,281,190.0,CPU-intensive
5,2026-06-19 21:38:51,5,5,156,56,286,35.5,1.0,5,0,llama-8b,domain,281,76.7,CPU-intensive
6,2026-06-19 21:39:52,5,5,239,57,575,36.4,1.0,5,0,llama-8b,domain,281,84.5,CPU-intensive
7,2026-06-19 21:40:52,5,5,461,57,776,117.1,1.0,7,1,llama-8b,domain,281,105.8,CPU-intensive
8,2026-06-19 21:41:53,7,7,551,78,746,60.0,1.0,7,0,llama-8b,domain,281,109.5,CPU-intensive
9,2026-06-19 21:42:54,7,7,510,79,639,36.9,1.0,7,0,llama-8b,domain,281,122.2,CPU-intensive
10,2026-06-19 21:43:55,7,7,471,78,727,36.5,1.0,7,0,llama-8b,domain,281,91.9,CPU-intensive
11,2026-06-19 21:44:55,7,7,546,78,686,79.6,1.0,10,1,llama-8b,domain,281,105.6,CPU-intensive
12,2026-06-19 21:45:56,10,10,474,111,561,48.3,1.0,10,0,llama-8b,domain,281,112.3,CPU-intensive
13,2026-06-19 21:46:57,10,10,462,113,577,41.0,1.0,10,0,llama-8b,domain,281,106.5,CPU-intensive
14,2026-06-19 21:47:58,10,10,491,112,575,36.1,1.0,10,0,llama-8b,domain,281,165.6,CPU-intensive
15,2026-06-19 21:48:58,10,10,469,111,590,50.7,1.0,10,0,llama-8b,domain,281,75.4,CPU-intensive
16,2026-06-19 21:49:59,10,10,418,111,604,89.4,1.0,10,0,llama-8b,domain,281,85.1,CPU-intensive
17,2026-06-19 21:51:00,10,10,529,111,729,71.9,1.0,10,0,llama-8b,domain,281,113.3,CPU-intensive
18,2026-06-19 21:52:00,10,10,479,112,760,36.3,1.0,10,0,llama-8b,domain,281,82.4,CPU-intensive
19,2026-06-19 21:53:01,10,10,534,112,763,105.6,1.0,10,0,llama-8b,domain,281,126.0,CPU-intensive
20,2026-06-19 21:54:02,10,10,519,112,735,47.2,1.0,10,0,llama-8b,domain,281,113.8,CPU-intensive
21,2026-06-19 21:55:03,10,10,520,111,718,88.1,1.0,10,0,llama-8b,domain,281,118.0,CPU-intensive
22,2026-06-19 21:56:03,10,10,476,111,623,65.8,1.0,10,0,llama-8b,domain,281,83.5,CPU-intensive
23,2026-06-19 21:57:04,10,10,442,111,559,38.4,1.0,10,0,llama-8b,domain,281,151.5,CPU-intensive
24,2026-06-19 21:58:05,10,10,401,112,569,45.6,1.0,10,0,llama-8b,domain,281,103.0,CPU-intensive
25,2026-06-19 21:59:06,10,10,442,112,640,71.2,1.0,10,0,llama-8b,domain,281,111.8,CPU-intensive
26,2026-06-19 22:00:06,10,10,459,111,640,45.9,1.0,10,0,llama-8b,domain,281,90.1,CPU-intensive
27,2026-06-19 22:01:07,10,10,454,112,688,76.5,1.0,10,0,llama-8b,domain,281,120.0,CPU-intensive
28,2026-06-19 22:02:08,10,10,486,112,545,74.4,1.0,10,0,llama-8b,domain,281,112.4,CPU-intensive
29,2026-06-19 22:03:08,10,10,442,111,550,56.6,1.0,10,0,llama-8b,domain,281,147.6,CPU-intensive
30,2026-06-19 22:04:09,10,10,468,111,643,111.1,1.0,10,0,llama-8b,domain,281,89.1,CPU-intensive
31,2026-06-19 22:05:10,10,10,439,111,592,39.4,1.0,10,0,llama-8b,domain,281,78.8,CPU-intensive
32,2026-06-19 22:06:10,10,10,427,111,443,38.9,1.0,10,0,llama-8b,domain,281,84.9,CPU-intensive
33,2026-06-19 22:07:11,10,10,369,112,442,81.5,1.0,10,0,llama-8b,domain,281,124.5,CPU-intensive
34,2026-06-19 22:08:12,10,10,339,111,401,38.8,1.0,10,0,llama-8b,domain,281,98.2,CPU-intensive
35,2026-06-19 22:09:13,10,10,312,111,378,36.8,1.0,10,0,llama-8b,domain,281,115.0,CPU-intensive
36,2026-06-19 22:10:13,10,10,249,111,296,46.6,1.0,10,0,llama-8b,domain,281,100.8,CPU-intensive
37,2026-06-19 22:11:14,10,10,325,113,381,37.9,1.0,10,0,llama-8b,domain,281,81.3,CPU-intensive
38,2026-06-19 22:12:15,10,10,329,111,340,59.2,1.0,10,0,llama-8b,domain,281,77.5,CPU-intensive
39,2026-06-19 22:13:15,10,10,305,111,358,38.8,1.0,10,0,llama-8b,domain,281,127.5,CPU-intensive
40,2026-06-19 22:14:16,10,10,360,111,451,92.7,1.0,10,0,llama-8b,domain,281,113.4,CPU-intensive
41,2026-06-19 22:15:17,10,10,434,111,623,63.2,1.0,10,0,llama-8b,domain,281,121.2,CPU-intensive
42,2026-06-19 22:16:18,10,10,420,112,518,52.4,1.0,10,0,llama-8b,domain,281,108.7,CPU-intensive
43,2026-06-19 22:17:18,10,10,447,111,548,47.8,1.0,10,0,llama-8b,domain,281,161.5,CPU-intensive
44,2026-06-19 22:18:19,10,10,396,111,499,59.9,1.0,10,0,llama-8b,domain,281,82.1,CPU-intensive
45,2026-06-19 22:19:20,10,10,410,112,517,76.8,1.0,10,0,llama-8b,domain,281,120.7,CPU-intensive
46,2026-06-19 22:20:20,10,10,383,112,471,94.8,1.0,10,0,llama-8b,domain,281,127.9,CPU-intensive
47,2026-06-19 22:21:21,10,10,413,113,503,70.2,1.0,10,0,llama-8b,domain,281,81.3,CPU-intensive
48,2026-06-19 22:22:22,10,10,454,111,605,35.9,1.0,10,0,llama-8b,domain,281,90.6,CPU-intensive
49,2026-06-19 22:23:23,10,10,468,111,621,66.8,1.0,10,0,llama-8b,domain,281,82.4,CPU-intensive
50,2026-06-19 22:24:23,10,10,471,112,646,61.0,1.0,10,0,llama-8b,domain,281,76.2,CPU-intensive
51,2026-06-19 22:25:24,10,10,480,111,639,98.9,1.0,10,0,llama-8b,domain,281,85.0,CPU-intensive
52,2026-06-19 22:26:25,10,10,437,111,493,51.4,1.0,10,0,llama-8b,domain,281,86.5,CPU-intensive
53,2026-06-19 22:27:25,10,10,355,112,446,56.6,1.0,10,0,llama-8b,domain,281,97.6,CPU-intensive
54,2026-06-19 22:28:26,10,10,346,112,435,37.8,1.0,10,0,llama-8b,domain,281,85.9,CPU-intensive
55,2026-06-19 22:29:27,10,10,345,111,425,79.6,1.0,10,0,llama-8b,domain,281,85.7,CPU-intensive
56,2026-06-19 22:30:27,10,10,316,111,401,43.9,1.0,10,0,llama-8b,domain,281,95.7,CPU-intensive
57,2026-06-19 22:31:28,10,10,397,112,491,62.6,1.0,10,0,llama-8b,domain,281,80.5,CPU-intensive
58,2026-06-19 22:32:29,10,10,277,113,382,48.4,1.0,10,0,llama-8b,domain,281,137.3,CPU-intensive
