step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-19 20:32:34,3,3,23,221,292,84.1,1.0,3,0,llama-8b,zero_shot,202,431.0,CPU-intensive
1,2026-06-19 20:33:35,3,3,253,34,259,374.5,1.0,4,1,llama-8b,zero_shot,202,110.5,CPU-intensive
2,2026-06-19 20:34:37,4,4,166,45,200,117.5,1.0,4,0,llama-8b,zero_shot,202,113.2,CPU-intensive
3,2026-06-19 20:35:37,4,4,171,45,205,353.7,1.0,5,1,llama-8b,zero_shot,202,75.6,CPU-intensive
4,2026-06-19 20:36:39,5,5,175,56,222,43.6,1.0,5,0,llama-8b,zero_shot,202,101.8,CPU-intensive
5,2026-06-19 20:37:39,5,5,166,56,286,90.2,1.0,5,0,llama-8b,zero_shot,202,92.3,CPU-intensive
6,2026-06-19 20:38:40,5,5,246,56,575,36.5,1.0,5,0,llama-8b,zero_shot,202,149.5,CPU-intensive
7,2026-06-19 20:39:41,5,5,452,56,776,339.4,1.0,6,1,llama-8b,zero_shot,202,71.7,CPU-intensive
8,2026-06-19 20:40:42,6,6,492,67,746,175.7,1.0,6,0,llama-8b,zero_shot,202,106.8,CPU-intensive
9,2026-06-19 20:41:43,6,6,485,67,639,80.3,1.0,6,0,llama-8b,zero_shot,202,129.5,CPU-intensive
10,2026-06-19 20:42:44,6,6,475,67,727,269.3,1.0,7,1,llama-8b,zero_shot,202,81.3,CPU-intensive
11,2026-06-19 20:43:45,7,7,518,79,686,68.4,1.0,7,0,llama-8b,zero_shot,202,108.8,CPU-intensive
12,2026-06-19 20:44:45,7,7,423,78,561,119.6,1.0,7,0,llama-8b,zero_shot,202,87.1,CPU-intensive
13,2026-06-19 20:45:46,7,7,469,78,577,38.8,1.0,7,0,llama-8b,zero_shot,202,86.0,CPU-intensive
14,2026-06-19 20:46:47,7,7,472,78,575,75.9,1.0,7,0,llama-8b,zero_shot,202,83.5,CPU-intensive
15,2026-06-19 20:47:47,7,7,485,78,590,36.1,1.0,7,0,llama-8b,zero_shot,202,114.6,CPU-intensive
