step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-19 19:00:37,3,3,8,89,292,167.9,1.0,8,1,llama4-scout,domain,763,1854.1,CPU-intensive
1,2026-06-19 19:01:39,8,8,253,89,259,36.5,1.0,20,1,llama4-scout,domain,763,31396.4,CPU-intensive
2,2026-06-19 19:03:11,20,20,170,221,200,39.2,1.0,7,1,llama4-scout,domain,763,31321.0,CPU-intensive
3,2026-06-19 19:04:43,7,7,230,78,205,47.0,1.0,4,1,llama4-scout,domain,712,31192.8,CPU-intensive
4,2026-06-19 19:06:15,4,4,249,45,222,162.2,1.0,10,1,llama4-scout,domain,763,31818.3,CPU-intensive
5,2026-06-19 19:07:48,10,10,471,112,286,75.1,1.0,10,0,llama4-scout,domain,763,31567.0,CPU-intensive
6,2026-06-19 19:09:20,10,10,476,111,575,60.5,1.0,3,1,llama4-scout,domain,763,31295.8,CPU-intensive
7,2026-06-19 19:10:52,3,3,498,34,776,214.0,1.0,6,1,llama4-scout,domain,718,31340.3,CPU-intensive
8,2026-06-19 19:12:24,6,6,488,67,746,92.5,1.0,6,0,llama4-scout,domain,763,31382.0,CPU-intensive
9,2026-06-19 19:13:56,6,6,446,69,639,76.1,1.0,20,1,llama4-scout,domain,763,31318.7,CPU-intensive
10,2026-06-19 19:15:28,20,20,445,221,727,36.6,1.0,14,1,llama4-scout,domain,763,31544.8,CPU-intensive
11,2026-06-19 19:17:01,14,14,468,155,686,48.1,1.0,11,1,llama4-scout,domain,541,30981.5,CPU-intensive
12,2026-06-19 19:18:32,11,11,498,123,561,110.2,1.0,8,1,llama4-scout,domain,763,31305.7,CPU-intensive
13,2026-06-19 19:20:04,8,8,512,90,577,55.3,1.0,8,0,llama4-scout,domain,763,31698.2,CPU-intensive
14,2026-06-19 19:21:37,8,8,508,90,575,69.8,1.0,8,0,llama4-scout,domain,763,32000.9,CPU-intensive
15,2026-06-19 19:23:09,8,8,459,90,590,85.2,1.0,8,0,llama4-scout,domain,763,31910.2,CPU-intensive
16,2026-06-19 19:24:42,8,8,467,90,604,61.0,1.0,8,0,llama4-scout,domain,763,32063.1,CPU-intensive
17,2026-06-19 19:26:15,8,8,448,89,729,79.1,1.0,20,1,llama4-scout,domain,763,31353.5,CPU-intensive
18,2026-06-19 19:27:47,20,20,520,221,760,61.3,1.0,8,1,llama4-scout,domain,763,31301.9,CPU-intensive
19,2026-06-19 19:29:19,8,8,411,89,763,51.3,1.0,5,1,llama4-scout,domain,684,31836.2,CPU-intensive
20,2026-06-19 19:30:51,5,5,470,56,735,38.3,1.0,5,0,llama4-scout,domain,763,31593.3,CPU-intensive
21,2026-06-19 19:32:23,5,5,470,56,718,127.0,1.0,5,0,llama4-scout,domain,763,31343.1,CPU-intensive
22,2026-06-19 19:33:55,5,5,370,56,623,67.0,1.0,5,0,llama4-scout,domain,763,31446.3,CPU-intensive
23,2026-06-19 19:35:27,5,5,358,56,559,71.5,1.0,3,1,llama4-scout,domain,763,31330.6,CPU-intensive
24,2026-06-19 19:37:00,3,3,229,35,569,267.9,1.0,6,1,llama4-scout,domain,590,31367.5,CPU-intensive
25,2026-06-19 19:38:32,6,6,312,68,640,38.7,1.0,3,1,llama4-scout,domain,763,31325.8,CPU-intensive
26,2026-06-19 19:40:04,3,3,323,35,640,54.9,1.0,3,0,llama4-scout,domain,763,31549.4,CPU-intensive
27,2026-06-19 19:41:36,3,3,372,34,688,108.1,1.0,3,0,llama4-scout,domain,763,31396.2,CPU-intensive
28,2026-06-19 19:43:08,3,3,413,34,545,184.3,1.0,6,1,llama4-scout,domain,598,30931.5,CPU-intensive
29,2026-06-19 19:44:40,6,6,405,68,550,84.4,1.0,9,1,llama4-scout,domain,763,31318.5,CPU-intensive
30,2026-06-19 19:46:12,9,9,389,100,643,36.3,1.0,6,1,llama4-scout,domain,763,31343.1,CPU-intensive
31,2026-06-19 19:47:44,6,6,365,68,592,36.6,1.0,6,0,llama4-scout,domain,763,31275.3,CPU-intensive
32,2026-06-19 19:49:16,6,6,422,67,443,80.3,1.0,20,1,llama4-scout,domain,763,31305.2,CPU-intensive
33,2026-06-19 19:50:48,20,20,510,222,442,85.2,1.0,7,1,llama4-scout,domain,763,31768.8,CPU-intensive
34,2026-06-19 19:52:21,7,7,476,79,401,92.3,1.0,9,1,llama4-scout,domain,763,31440.5,CPU-intensive
35,2026-06-19 19:53:53,9,9,357,100,378,52.4,1.0,7,1,llama4-scout,domain,763,31310.8,CPU-intensive
36,2026-06-19 19:55:25,7,7,375,78,296,71.8,1.0,20,1,llama4-scout,domain,763,31375.0,CPU-intensive
37,2026-06-19 19:56:57,20,20,312,221,381,37.1,1.0,20,0,llama4-scout,domain,763,31566.6,CPU-intensive
38,2026-06-19 19:58:29,20,20,390,221,340,46.0,1.0,9,1,llama4-scout,domain,763,31487.3,CPU-intensive
39,2026-06-19 20:00:01,9,9,364,101,358,38.8,1.0,5,1,llama4-scout,domain,763,31797.9,CPU-intensive
40,2026-06-19 20:01:34,5,5,5,56,451,71.6,1.0,5,0,llama4-scout,domain,763,31377.6,CPU-intensive
