step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-19 17:26:25,3,3,9,102,292,121.4,1.0,3,0,llama4-scout,zero_shot,0,0,CPU-intensive
1,2026-06-19 17:28:56,3,3,154,33,259,74.9,1.0,3,0,llama4-scout,zero_shot,0,0,CPU-intensive
2,2026-06-19 17:31:27,3,3,213,33,200,311.6,1.0,3,0,llama4-scout,zero_shot,0,0,CPU-intensive
3,2026-06-19 17:33:59,3,3,552,34,205,775.4,1.0,3,0,llama4-scout,zero_shot,684,1989.7,CPU-intensive
4,2026-06-19 17:35:02,3,3,527,33,222,187.3,1.0,3,0,llama4-scout,zero_shot,180,30177.7,CPU-intensive
5,2026-06-19 17:36:33,3,3,456,34,286,302.6,1.0,14,1,llama4-scout,zero_shot,684,31302.9,CPU-intensive
6,2026-06-19 17:38:06,14,14,494,156,575,93.4,1.0,14,0,llama4-scout,zero_shot,180,30295.5,CPU-intensive
7,2026-06-19 17:39:37,14,14,432,156,776,76.9,1.0,14,0,llama4-scout,zero_shot,180,30199.3,CPU-intensive
8,2026-06-19 17:41:08,14,14,462,155,746,291.7,1.0,14,0,llama4-scout,zero_shot,684,31318.4,CPU-intensive
9,2026-06-19 17:42:40,14,14,501,156,639,62.6,1.0,14,0,llama4-scout,zero_shot,180,30348.4,CPU-intensive
10,2026-06-19 17:44:11,14,14,536,155,727,106.8,1.0,8,1,llama4-scout,zero_shot,180,30235.2,CPU-intensive
11,2026-06-19 17:45:42,8,8,516,89,686,51.3,1.0,8,0,llama4-scout,zero_shot,180,30173.2,CPU-intensive
12,2026-06-19 17:47:13,8,8,493,91,561,61.4,1.0,8,0,llama4-scout,zero_shot,684,31281.8,CPU-intensive
13,2026-06-19 17:48:45,8,8,514,89,577,47.1,1.0,20,1,llama4-scout,zero_shot,684,31380.1,CPU-intensive
14,2026-06-19 17:50:17,20,20,443,221,575,37.4,1.0,14,1,llama4-scout,zero_shot,180,30158.7,CPU-intensive
15,2026-06-19 17:51:48,14,14,525,155,590,79.3,1.0,14,0,llama4-scout,zero_shot,180,30173.0,CPU-intensive
16,2026-06-19 17:53:18,14,14,477,156,604,36.7,1.0,14,0,llama4-scout,zero_shot,180,30167.3,CPU-intensive
17,2026-06-19 17:54:49,14,14,430,157,729,36.1,1.0,7,1,llama4-scout,zero_shot,684,31452.1,CPU-intensive
18,2026-06-19 17:56:21,7,7,414,79,760,98.7,1.0,7,0,llama4-scout,zero_shot,180,30169.5,CPU-intensive
