step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-19 20:32:23,292,293,70.2,49.5,129.2,172.5,292,0,1.0
1,2026-06-19 20:33:23,259,260,71.0,45.4,135.3,220.0,259,0,1.0
2,2026-06-19 20:34:23,200,201,64.1,43.9,140.8,162.8,200,0,1.0
3,2026-06-19 20:35:23,205,206,68.6,45.1,122.9,169.1,205,0,1.0
4,2026-06-19 20:36:23,222,223,67.8,47.8,126.3,161.5,222,0,1.0
5,2026-06-19 20:37:22,286,287,73.2,52.9,138.9,171.6,286,0,1.0
6,2026-06-19 20:38:22,575,575,68.5,46.8,124.0,232.4,575,0,1.0
7,2026-06-19 20:39:22,776,776,56.7,43.6,99.9,241.9,776,0,1.0
8,2026-06-19 20:40:22,746,746,56.5,43.9,100.5,188.1,746,0,1.0
9,2026-06-19 20:41:22,639,639,62.8,44.3,117.4,208.7,639,0,1.0
10,2026-06-19 20:42:22,727,728,59.7,44.7,112.8,160.3,727,0,1.0
11,2026-06-19 20:43:22,686,686,59.2,44.1,108.0,192.0,686,0,1.0
12,2026-06-19 20:44:22,561,562,64.9,44.8,122.6,158.5,561,0,1.0
13,2026-06-19 20:45:22,577,578,64.1,44.6,122.2,165.3,577,0,1.0
14,2026-06-19 20:46:22,575,576,65.5,44.8,123.7,166.3,575,0,1.0
15,2026-06-19 20:47:22,590,591,65.5,44.2,121.5,238.1,590,0,1.0
16,2026-06-19 20:48:22,604,604,66.3,46.0,124.6,219.9,604,0,1.0
17,2026-06-19 20:49:22,729,729,56.2,43.9,96.9,154.5,729,0,1.0
18,2026-06-19 20:50:22,760,760,52.8,43.4,88.9,154.3,760,0,1.0
19,2026-06-19 20:51:22,763,762,53.5,43.6,90.6,155.0,763,0,1.0
20,2026-06-19 20:52:22,735,736,52.9,43.4,88.9,142.3,735,0,1.0
21,2026-06-19 20:53:22,718,718,56.0,43.8,92.6,173.4,718,0,1.0
22,2026-06-19 20:54:22,623,624,62.1,43.6,116.9,157.9,623,0,1.0
23,2026-06-19 20:55:22,559,560,65.1,45.1,121.9,229.4,559,0,1.0
24,2026-06-19 20:56:22,569,569,64.7,45.2,123.6,158.7,569,0,1.0
25,2026-06-19 20:57:22,640,641,60.8,46.0,113.0,153.6,640,0,1.0
26,2026-06-19 20:58:22,640,641,58.7,43.6,104.6,148.2,640,0,1.0
27,2026-06-19 20:59:22,688,688,55.7,43.6,95.8,144.0,688,0,1.0
28,2026-06-19 21:00:22,545,546,65.2,44.4,125.9,209.8,545,0,1.0
29,2026-06-19 21:01:21,550,550,63.4,44.5,119.0,147.3,550,0,1.0
30,2026-06-19 21:02:21,643,643,60.4,43.5,111.7,207.4,643,0,1.0
31,2026-06-19 21:03:21,592,593,64.1,45.1,121.3,177.7,592,0,1.0
32,2026-06-19 21:04:21,443,444,68.8,51.3,122.8,220.5,443,0,1.0
33,2026-06-19 21:05:21,442,443,68.0,49.6,133.6,163.9,442,0,1.0
34,2026-06-19 21:06:21,401,402,67.7,51.9,121.7,165.5,401,0,1.0
35,2026-06-19 21:07:21,378,379,69.1,53.2,125.6,157.7,378,0,1.0
36,2026-06-19 21:08:21,296,297,70.1,52.7,134.7,214.4,296,0,1.0
37,2026-06-19 21:09:21,381,381,70.4,48.0,132.6,168.0,381,0,1.0
38,2026-06-19 21:10:21,340,340,70.9,53.1,133.0,163.8,340,0,1.0
39,2026-06-19 21:11:21,358,358,70.7,52.7,131.8,160.5,358,0,1.0
40,2026-06-19 21:12:21,451,452,66.2,48.4,124.7,165.3,451,0,1.0
41,2026-06-19 21:13:21,623,624,61.8,43.3,115.9,157.7,623,0,1.0
42,2026-06-19 21:14:21,518,519,63.7,44.6,126.4,151.8,518,0,1.0
43,2026-06-19 21:15:20,548,549,64.5,44.4,125.2,162.5,548,0,1.0
44,2026-06-19 21:16:20,499,500,65.7,45.6,128.8,153.1,499,0,1.0
45,2026-06-19 21:17:20,517,518,66.1,46.8,123.9,156.4,517,0,1.0
46,2026-06-19 21:18:20,471,471,66.0,46.0,124.6,151.2,471,0,1.0
47,2026-06-19 21:19:20,503,504,65.5,44.8,127.0,162.5,503,0,1.0
48,2026-06-19 21:20:20,605,605,62.6,43.9,117.9,175.6,605,0,1.0
49,2026-06-19 21:21:20,621,622,63.0,43.5,117.8,213.1,621,0,1.0
50,2026-06-19 21:22:20,646,646,59.2,43.5,110.5,146.5,646,0,1.0
51,2026-06-19 21:23:20,639,639,62.0,44.4,109.3,231.9,639,0,1.0
52,2026-06-19 21:24:20,493,494,66.6,49.0,126.1,151.6,493,0,1.0
53,2026-06-19 21:25:20,446,447,66.8,51.1,129.8,157.0,446,0,1.0
54,2026-06-19 21:26:20,435,436,65.6,50.8,125.1,150.6,435,0,1.0
55,2026-06-19 21:27:20,425,425,69.7,52.4,136.1,158.2,425,0,1.0
56,2026-06-19 21:28:20,401,401,68.1,52.8,126.8,159.5,401,0,1.0
57,2026-06-19 21:29:20,491,492,67.1,46.1,131.5,170.5,491,0,1.0
58,2026-06-19 21:30:20,382,383,68.6,53.0,132.0,171.1,382,0,1.0
59,2026-06-19 21:31:19,414,415,70.9,53.4,133.8,164.0,414,0,1.0
