step,timestamp,target_rps,actual_rps,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,success_count,error_count,success_rate
0,2026-06-19 17:26:14,292,293,68.2,50.0,125.5,158.1,292,0,1.0
1,2026-06-19 17:27:14,259,260,68.9,49.6,132.5,165.7,259,0,1.0
2,2026-06-19 17:28:14,200,201,57.9,44.1,89.6,92.4,200,0,1.0
3,2026-06-19 17:29:14,205,206,67.9,44.7,132.9,165.8,205,0,1.0
4,2026-06-19 17:30:14,222,222,66.7,43.8,123.2,166.7,222,0,1.0
5,2026-06-19 17:31:14,286,287,72.3,47.0,141.0,301.8,286,0,1.0
6,2026-06-19 17:32:13,575,575,67.8,47.4,125.4,236.7,575,0,1.0
7,2026-06-19 17:33:13,776,776,67.4,44.4,113.9,462.8,776,0,1.0
8,2026-06-19 17:34:13,746,746,60.7,44.7,112.7,236.1,746,0,1.0
9,2026-06-19 17:35:13,639,640,65.8,43.7,121.6,272.4,639,0,1.0
10,2026-06-19 17:36:13,727,727,60.0,43.9,90.0,352.5,727,0,1.0
11,2026-06-19 17:37:13,686,686,55.4,43.8,97.2,135.8,686,0,1.0
12,2026-06-19 17:38:13,561,562,65.6,44.8,128.1,168.0,561,0,1.0
13,2026-06-19 17:39:13,577,578,60.4,43.8,109.9,146.4,577,0,1.0
14,2026-06-19 17:40:13,575,575,63.5,44.7,121.4,154.0,575,0,1.0
15,2026-06-19 17:41:13,590,590,61.0,44.0,110.4,151.4,590,0,1.0
16,2026-06-19 17:42:13,604,605,63.3,45.3,116.2,205.2,604,0,1.0
17,2026-06-19 17:43:13,729,729,54.4,44.0,90.6,141.2,729,0,1.0
18,2026-06-19 17:44:13,760,760,52.6,43.7,88.2,140.7,760,0,1.0
19,2026-06-19 17:45:13,763,763,53.6,43.4,89.0,169.0,763,0,1.0
20,2026-06-19 17:46:13,735,735,54.7,44.4,89.8,167.7,735,0,1.0
21,2026-06-19 17:47:13,718,718,57.1,44.1,106.6,163.1,718,0,1.0
22,2026-06-19 17:48:13,623,623,61.2,43.8,115.6,156.2,623,0,1.0
23,2026-06-19 17:49:13,559,559,66.8,46.6,124.4,171.9,559,0,1.0
24,2026-06-19 17:50:13,569,570,64.9,46.0,121.4,159.1,569,0,1.0
25,2026-06-19 17:51:13,640,641,58.9,43.9,107.1,142.7,640,0,1.0
26,2026-06-19 17:52:13,640,641,58.4,43.1,105.2,145.4,640,0,1.0
27,2026-06-19 17:53:13,688,689,55.6,43.8,97.1,136.7,688,0,1.0
28,2026-06-19 17:54:13,545,546,64.7,43.7,125.0,182.9,545,0,1.0
29,2026-06-19 17:55:12,550,550,63.1,46.4,114.9,154.6,550,0,1.0
30,2026-06-19 17:56:12,643,643,61.4,44.9,111.4,200.3,643,0,1.0
31,2026-06-19 17:57:12,592,593,68.4,44.0,122.0,275.2,592,0,1.0
32,2026-06-19 17:58:12,443,444,66.6,50.5,128.5,166.5,443,0,1.0
33,2026-06-19 17:59:12,442,443,69.2,51.0,134.1,196.5,442,0,1.0
34,2026-06-19 18:00:12,401,401,68.3,50.2,130.3,159.5,401,0,1.0
35,2026-06-19 18:01:12,378,379,68.0,52.6,126.0,168.5,378,0,1.0
36,2026-06-19 18:02:12,296,296,67.8,52.5,123.3,164.1,296,0,1.0
37,2026-06-19 18:03:12,381,381,69.4,48.2,134.1,164.8,381,0,1.0
38,2026-06-19 18:04:12,340,340,75.2,54.0,139.0,164.3,340,0,1.0
39,2026-06-19 18:05:12,358,359,73.5,53.2,136.5,170.1,358,0,1.0
40,2026-06-19 18:06:12,451,452,68.2,48.5,132.4,159.3,451,0,1.0
41,2026-06-19 18:07:12,623,623,60.6,43.4,115.3,144.5,623,0,1.0
42,2026-06-19 18:08:12,518,518,65.5,46.9,124.5,171.1,518,0,1.0
43,2026-06-19 18:09:12,548,548,61.1,44.4,112.8,145.0,548,0,1.0
44,2026-06-19 18:10:12,499,499,67.7,50.0,134.0,162.8,499,0,1.0
45,2026-06-19 18:11:12,517,517,66.0,46.1,129.3,164.5,517,0,1.0
46,2026-06-19 18:12:12,471,471,67.7,49.7,128.0,160.9,471,0,1.0
47,2026-06-19 18:13:12,503,504,65.5,45.9,127.5,149.7,503,0,1.0
48,2026-06-19 18:14:12,605,606,61.3,44.5,112.1,155.5,605,0,1.0
49,2026-06-19 18:15:11,621,621,61.3,44.0,113.0,162.3,621,0,1.0
50,2026-06-19 18:16:12,646,647,59.2,44.3,107.4,142.8,646,0,1.0
51,2026-06-19 18:17:11,639,639,60.2,43.7,111.1,154.1,639,0,1.0
52,2026-06-19 18:18:11,493,494,65.0,45.4,129.6,167.5,493,0,1.0
53,2026-06-19 18:19:11,446,447,68.3,48.3,136.4,165.3,446,0,1.0
54,2026-06-19 18:20:11,435,436,68.7,50.9,131.5,168.5,435,0,1.0
55,2026-06-19 18:21:11,425,426,68.0,52.8,126.2,168.6,425,0,1.0
56,2026-06-19 18:22:11,401,401,68.4,52.8,121.4,169.6,401,0,1.0
57,2026-06-19 18:23:11,491,492,64.8,46.4,120.4,156.3,491,0,1.0
58,2026-06-19 18:24:11,382,382,71.0,53.3,136.0,166.2,382,0,1.0
59,2026-06-19 18:25:11,414,414,68.1,52.3,131.0,159.3,414,0,1.0
