step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-20 21:27:09,1,3,75,33,292,106.9,1.0,1,1,hpa,baseline,0,0.0,CPU-intensive
1,2026-06-20 21:28:10,1,1,197,12,259,124.1,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
2,2026-06-20 21:29:12,1,1,148,12,200,191.4,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
3,2026-06-20 21:30:13,1,1,128,11,205,151.9,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
4,2026-06-20 21:31:15,1,1,135,12,222,152.8,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
5,2026-06-20 21:32:16,1,1,164,11,286,121.0,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
6,2026-06-20 21:33:17,1,1,164,11,575,509.7,1.0,1,0,hpa,baseline,0,0.0,CPU-intensive
7,2026-06-20 21:34:21,2,1,429,12,776,5018.0,0.9,2,1,hpa,baseline,0,0.0,CPU-intensive
8,2026-06-20 21:35:33,3,2,514,23,746,181.2,1.0,3,1,hpa,baseline,0,0.0,CPU-intensive
9,2026-06-20 21:36:35,2,3,404,34,639,97.3,1.0,2,1,hpa,baseline,0,0.0,CPU-intensive
10,2026-06-20 21:37:36,2,2,463,23,727,188.1,1.0,2,0,hpa,baseline,0,0.0,CPU-intensive
11,2026-06-20 21:38:37,2,2,402,23,686,284.1,1.0,2,0,hpa,baseline,0,0.0,CPU-intensive
12,2026-06-20 21:39:39,2,2,365,23,561,130.4,1.0,2,0,hpa,baseline,0,0.0,CPU-intensive
13,2026-06-20 21:40:41,2,2,347,23,577,403.2,1.0,2,0,hpa,baseline,0,0.0,CPU-intensive
14,2026-06-20 21:41:43,2,2,368,23,575,296.2,1.0,2,0,hpa,baseline,0,0.0,CPU-intensive
15,2026-06-20 21:42:44,2,2,345,24,590,177.9,1.0,2,0,hpa,baseline,0,0.0,CPU-intensive
16,2026-06-20 21:43:46,2,2,369,23,604,305.1,1.0,2,0,hpa,baseline,0,0.0,CPU-intensive
17,2026-06-20 21:44:48,2,2,457,24,729,312.9,1.0,2,0,hpa,baseline,0,0.0,CPU-intensive
18,2026-06-20 21:45:50,2,2,489,23,760,317.4,1.0,2,0,hpa,baseline,0,0.0,CPU-intensive
19,2026-06-20 21:46:52,2,2,445,24,763,217.3,1.0,2,0,hpa,baseline,0,0.0,CPU-intensive
20,2026-06-20 21:47:53,2,2,471,23,735,332.3,1.0,2,0,hpa,baseline,0,0.0,CPU-intensive
21,2026-06-20 21:48:55,2,2,465,23,718,217.1,1.0,2,0,hpa,baseline,0,0.0,CPU-intensive
