step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-20 23:30:20,6,3,81,34,292,79.3,1.0,6,1,keda,baseline,0,0.0,CPU-intensive
1,2026-06-20 23:31:21,6,3,349,35,259,60.0,1.0,6,0,keda,baseline,0,0.0,CPU-intensive
2,2026-06-20 23:32:22,4,3,308,34,200,43.5,1.0,4,1,keda,baseline,0,0.0,CPU-intensive
3,2026-06-20 23:33:22,5,3,218,34,205,75.8,1.0,5,1,keda,baseline,0,0.0,CPU-intensive
4,2026-06-20 23:34:23,5,5,223,34,222,101.5,1.0,5,0,keda,baseline,0,0.0,CPU-intensive
5,2026-06-20 23:35:24,6,5,240,56,286,39.0,1.0,6,1,keda,baseline,0,0.0,CPU-intensive
6,2026-06-20 23:36:25,12,5,327,56,575,224.7,1.0,12,1,keda,baseline,0,0.0,CPU-intensive
7,2026-06-20 23:37:26,16,5,562,56,776,42.2,1.0,16,1,keda,baseline,0,0.0,CPU-intensive
8,2026-06-20 23:38:26,15,5,591,56,746,84.4,1.0,15,1,keda,baseline,0,0.0,CPU-intensive
9,2026-06-20 23:39:27,13,12,736,134,639,76.0,1.0,13,1,keda,baseline,0,0.0,CPU-intensive
10,2026-06-20 23:40:28,15,12,558,133,727,65.1,1.0,15,1,keda,baseline,0,0.0,CPU-intensive
11,2026-06-20 23:41:29,14,12,551,133,686,114.9,1.0,14,1,keda,baseline,0,0.0,CPU-intensive
12,2026-06-20 23:42:29,12,12,580,133,561,43.0,1.0,12,1,keda,baseline,0,0.0,CPU-intensive
13,2026-06-20 23:43:30,12,12,565,133,577,123.7,1.0,12,0,keda,baseline,0,0.0,CPU-intensive
14,2026-06-20 23:44:31,12,12,498,133,575,68.8,1.0,12,0,keda,baseline,0,0.0,CPU-intensive
15,2026-06-20 23:45:31,12,12,517,134,590,58.2,1.0,12,0,keda,baseline,0,0.0,CPU-intensive
16,2026-06-20 23:46:32,13,12,544,133,604,39.8,1.0,13,1,keda,baseline,0,0.0,CPU-intensive
17,2026-06-20 23:47:33,15,12,551,133,729,52.2,1.0,15,1,keda,baseline,0,0.0,CPU-intensive
18,2026-06-20 23:48:33,16,12,567,133,760,51.9,1.0,16,1,keda,baseline,0,0.0,CPU-intensive
19,2026-06-20 23:49:34,16,12,564,133,763,103.0,1.0,16,0,keda,baseline,0,0.0,CPU-intensive
20,2026-06-20 23:50:35,15,12,573,133,735,53.2,1.0,15,1,keda,baseline,0,0.0,CPU-intensive
21,2026-06-20 23:51:35,15,12,573,133,718,40.8,1.0,15,0,keda,baseline,0,0.0,CPU-intensive
22,2026-06-20 23:52:36,13,12,550,133,623,75.6,1.0,13,1,keda,baseline,0,0.0,CPU-intensive
23,2026-06-20 23:53:37,12,12,505,133,559,112.3,1.0,12,1,keda,baseline,0,0.0,CPU-intensive
24,2026-06-20 23:54:38,12,12,510,133,569,38.6,1.0,12,0,keda,baseline,0,0.0,CPU-intensive
25,2026-06-20 23:55:38,13,12,490,133,640,97.4,1.0,13,1,keda,baseline,0,0.0,CPU-intensive
26,2026-06-20 23:56:39,13,12,567,133,640,162.7,1.0,13,0,keda,baseline,0,0.0,CPU-intensive
27,2026-06-20 23:57:40,14,12,573,134,688,114.9,1.0,14,1,keda,baseline,0,0.0,CPU-intensive
28,2026-06-20 23:58:41,11,12,531,133,545,128.3,1.0,11,1,keda,baseline,0,0.0,CPU-intensive
29,2026-06-20 23:59:41,11,11,492,122,550,105.3,1.0,11,0,keda,baseline,0,0.0,CPU-intensive
30,2026-06-21 00:00:42,13,11,525,122,643,91.1,1.0,13,1,keda,baseline,0,0.0,CPU-intensive
31,2026-06-21 00:01:43,12,11,511,122,592,64.4,1.0,12,1,keda,baseline,0,0.0,CPU-intensive
32,2026-06-21 00:02:44,9,11,400,122,443,39.1,1.0,9,1,keda,baseline,0,0.0,CPU-intensive
33,2026-06-21 00:03:44,9,9,452,100,442,38.6,1.0,9,0,keda,baseline,0,0.0,CPU-intensive
34,2026-06-21 00:04:45,9,9,404,100,401,38.8,1.0,9,0,keda,baseline,0,0.0,CPU-intensive
35,2026-06-21 00:05:45,8,9,398,100,378,264.7,1.0,8,1,keda,baseline,0,0.0,CPU-intensive
36,2026-06-21 00:06:46,6,8,363,89,296,38.1,1.0,6,1,keda,baseline,0,0.0,CPU-intensive
37,2026-06-21 00:07:47,8,6,388,67,381,44.3,1.0,8,1,keda,baseline,0,0.0,CPU-intensive
38,2026-06-21 00:08:48,7,6,383,67,340,95.8,1.0,7,1,keda,baseline,0,0.0,CPU-intensive
39,2026-06-21 00:09:49,8,6,429,68,358,109.5,1.0,8,1,keda,baseline,0,0.0,CPU-intensive
40,2026-06-21 00:10:49,10,6,400,67,451,69.0,1.0,10,1,keda,baseline,0,0.0,CPU-intensive
41,2026-06-21 00:11:50,13,6,523,69,623,109.8,1.0,13,1,keda,baseline,0,0.0,CPU-intensive
