step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-22 01:53:36,3,3,47,33,292,116.6,1.0,3,0,llama-70b,history_5,205,862.4,CPU-intensive
1,2026-06-22 01:54:37,4,3,246,33,259,180.3,1.0,4,1,llama-70b,history_5,236,756.3,CPU-intensive
2,2026-06-22 01:55:39,4,4,223,44,200,101.2,1.0,4,0,llama-70b,history_5,267,23491.6,CPU-intensive
3,2026-06-22 01:57:03,4,4,190,44,205,39.2,1.0,4,0,llama-70b,history_5,298,4105.0,CPU-intensive
4,2026-06-22 01:58:08,4,4,198,44,222,107.4,1.0,4,0,llama-70b,history_5,329,4281.7,CPU-intensive
5,2026-06-22 01:59:13,4,4,327,44,286,98.6,1.0,4,0,llama-70b,history_5,360,729.0,CPU-intensive
6,2026-06-22 02:00:14,8,4,531,44,575,102.8,1.0,8,1,llama-70b,history_5,360,6287.9,CPU-intensive
7,2026-06-22 02:01:21,12,8,585,88,776,40.6,1.0,12,1,llama-70b,history_5,360,539.0,CPU-intensive
8,2026-06-22 02:02:23,12,12,597,132,746,98.3,1.0,12,0,llama-70b,history_5,360,19909.7,CPU-intensive
9,2026-06-22 02:03:43,10,12,553,133,639,36.7,1.0,10,1,llama-70b,history_5,360,799.1,CPU-intensive
10,2026-06-22 02:04:45,8,10,582,110,727,71.7,1.0,8,1,llama-70b,history_5,360,11689.6,CPU-intensive
11,2026-06-22 02:05:57,8,8,525,89,686,56.8,1.0,8,0,llama-70b,history_5,360,311437.6,CPU-intensive
12,2026-06-22 02:12:09,10,8,565,88,561,98.7,1.0,10,1,llama-70b,history_5,360,15544.0,CPU-intensive
13,2026-06-22 02:13:26,8,10,612,110,577,53.2,1.0,8,1,llama-70b,history_5,360,2579.6,CPU-intensive
14,2026-06-22 02:14:29,10,8,504,89,575,116.4,1.0,10,1,llama-70b,history_5,360,3184.7,CPU-intensive
15,2026-06-22 02:15:33,8,10,520,110,590,79.4,1.0,8,1,llama-70b,history_5,360,2857.9,CPU-intensive
16,2026-06-22 02:16:36,10,8,540,88,604,39.7,1.0,10,1,llama-70b,history_5,360,20977.0,CPU-intensive
17,2026-06-22 02:17:58,14,10,528,110,729,138.2,1.0,14,1,llama-70b,history_5,360,5243.9,CPU-intensive
18,2026-06-22 02:19:04,20,14,549,154,760,36.3,1.0,20,1,llama-70b,history_5,360,860.4,CPU-intensive
19,2026-06-22 02:20:06,15,15,518,166,763,36.4,1.0,15,1,llama-70b,history_5,360,916.4,CPU-intensive
20,2026-06-22 02:21:07,15,15,560,165,735,80.6,1.0,15,0,llama-70b,history_5,360,14075.5,CPU-intensive
21,2026-06-22 02:22:22,15,15,456,165,718,39.9,1.0,15,0,llama-70b,history_5,360,551.2,CPU-intensive
22,2026-06-22 02:23:23,10,15,490,165,623,39.6,1.0,10,1,llama-70b,history_5,360,19446.5,CPU-intensive
23,2026-06-22 02:24:43,10,10,541,110,559,55.5,1.0,10,0,llama-70b,history_5,360,9066.1,CPU-intensive
24,2026-06-22 02:25:53,10,10,466,110,569,75.1,1.0,10,0,llama-70b,history_5,360,766.7,CPU-intensive
25,2026-06-22 02:26:54,10,10,459,110,640,44.3,1.0,10,0,llama-70b,history_5,360,6243.1,CPU-intensive
26,2026-06-22 02:28:01,10,10,454,110,640,97.5,1.0,10,0,llama-70b,history_5,360,8818.7,CPU-intensive
27,2026-06-22 02:29:11,10,10,455,110,688,85.8,1.0,10,0,llama-70b,history_5,360,4994.6,CPU-intensive
28,2026-06-22 02:30:16,10,10,325,110,545,37.2,1.0,10,0,llama-70b,history_5,360,12347.0,CPU-intensive
29,2026-06-22 02:31:29,10,10,435,110,550,55.2,1.0,10,0,llama-70b,history_5,360,57044.7,CPU-intensive
30,2026-06-22 02:33:27,10,10,395,110,643,38.6,1.0,10,0,llama-70b,history_5,360,30955.9,CPU-intensive
31,2026-06-22 02:34:58,10,10,551,111,592,105.7,1.0,10,0,llama-70b,history_5,360,317597.0,CPU-intensive
32,2026-06-22 02:41:17,10,10,507,110,443,36.7,1.0,10,0,llama-70b,history_5,360,38119.3,CPU-intensive
33,2026-06-22 02:42:55,10,10,516,110,442,51.7,1.0,10,0,llama-70b,history_5,360,18274.8,CPU-intensive
34,2026-06-22 02:44:14,10,10,553,110,401,37.2,1.0,10,0,llama-70b,history_5,360,13615.3,CPU-intensive
35,2026-06-22 02:45:28,5,10,553,110,378,64.2,1.0,5,1,llama-70b,history_5,360,4549.1,CPU-intensive
36,2026-06-22 02:46:34,5,5,464,55,296,52.3,1.0,5,0,llama-70b,history_5,360,757.7,CPU-intensive
37,2026-06-22 02:47:35,10,5,471,56,381,42.0,1.0,10,1,llama-70b,history_5,360,1852.0,CPU-intensive
38,2026-06-22 02:48:38,5,10,503,111,340,48.8,1.0,5,1,llama-70b,history_5,360,2808.1,CPU-intensive
39,2026-06-22 02:49:41,10,5,412,55,358,83.7,1.0,10,1,llama-70b,history_5,360,18355.4,CPU-intensive
40,2026-06-22 02:51:00,15,10,444,110,451,93.3,1.0,15,1,llama-70b,history_5,360,25306.7,CPU-intensive
41,2026-06-22 02:52:26,10,15,431,165,623,56.7,1.0,10,1,llama-70b,history_5,360,44514.1,CPU-intensive
42,2026-06-22 02:54:12,15,10,482,110,518,79.4,1.0,15,1,llama-70b,history_5,360,1081.5,CPU-intensive
43,2026-06-22 02:55:13,15,15,565,165,548,36.8,1.0,15,0,llama-70b,history_5,360,11597.6,CPU-intensive
44,2026-06-22 02:56:26,10,15,486,165,499,46.6,1.0,10,1,llama-70b,history_5,360,32419.9,CPU-intensive
45,2026-06-22 02:57:59,15,10,497,110,517,121.6,1.0,15,1,llama-70b,history_5,360,76380.5,CPU-intensive
46,2026-06-22 03:00:16,10,15,551,165,471,40.1,1.0,10,1,llama-70b,history_5,360,25470.1,CPU-intensive
47,2026-06-22 03:01:42,15,10,571,111,503,207.7,1.0,15,1,llama-70b,history_5,360,79182.9,CPU-intensive
48,2026-06-22 03:04:02,15,15,578,166,605,36.7,1.0,15,0,llama-70b,history_5,360,13470.5,CPU-intensive
49,2026-06-22 03:05:16,20,15,504,165,621,40.3,1.0,20,1,llama-70b,history_5,360,34289.3,CPU-intensive
50,2026-06-22 03:06:51,15,15,560,165,646,173.2,1.0,15,1,llama-70b,history_5,360,7097.6,CPU-intensive
51,2026-06-22 03:07:59,18,15,486,166,639,61.8,1.0,18,1,llama-70b,history_5,360,2381.3,CPU-intensive
52,2026-06-22 03:09:02,10,15,604,165,493,42.3,1.0,10,1,llama-70b,history_5,360,5114.8,CPU-intensive
53,2026-06-22 03:10:08,8,10,597,110,446,84.0,1.0,8,1,llama-70b,history_5,360,4856.6,CPU-intensive
54,2026-06-22 03:11:14,10,8,726,88,435,36.8,1.0,10,1,llama-70b,history_5,360,317633.9,CPU-intensive
55,2026-06-22 03:17:32,8,10,749,111,425,93.0,1.0,8,1,llama-70b,history_5,360,612468.4,CPU-intensive
56,2026-06-22 03:28:45,8,8,788,91,401,39.8,1.0,8,0,llama-70b,history_5,360,13171.9,CPU-intensive
57,2026-06-22 03:29:59,10,8,758,89,491,75.3,1.0,10,1,llama-70b,history_5,360,495.1,CPU-intensive
58,2026-06-22 03:31:00,8,10,647,110,382,108.3,1.0,8,1,llama-70b,history_5,360,569.3,CPU-intensive
