step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-21 18:54:42,3,3,124,166,292,165.1,1.0,3,0,llama-8b,cot,448,3891.9,CPU-intensive
1,2026-06-21 18:55:47,3,3,297,33,259,87.4,1.0,3,0,llama-8b,cot,487,4374.1,CPU-intensive
2,2026-06-21 18:56:52,3,3,223,33,200,62.6,1.0,3,0,llama-8b,cot,461,3780.7,CPU-intensive
3,2026-06-21 18:57:56,3,3,158,34,205,43.3,1.0,3,0,llama-8b,cot,446,3973.0,CPU-intensive
4,2026-06-21 18:59:01,10,3,217,33,222,110.2,1.0,10,1,llama-8b,cot,514,5310.5,CPU-intensive
5,2026-06-21 19:00:07,10,10,325,110,286,73.1,1.0,10,0,llama-8b,cot,425,2740.9,CPU-intensive
6,2026-06-21 19:01:11,10,10,504,110,575,75.9,1.0,10,0,llama-8b,cot,421,4006.4,CPU-intensive
7,2026-06-21 19:02:15,15,10,551,110,776,39.0,1.0,15,1,llama-8b,cot,472,4550.2,CPU-intensive
8,2026-06-21 19:03:20,15,15,532,165,746,39.5,1.0,15,0,llama-8b,cot,492,4495.2,CPU-intensive
9,2026-06-21 19:04:26,15,15,482,165,639,272.3,1.0,15,0,llama-8b,cot,512,4150.3,CPU-intensive
10,2026-06-21 19:05:31,15,15,559,165,727,76.2,1.0,15,0,llama-8b,cot,480,3447.7,CPU-intensive
11,2026-06-21 19:06:35,15,15,575,165,686,72.3,1.0,15,0,llama-8b,cot,452,3475.8,CPU-intensive
12,2026-06-21 19:07:39,16,15,511,165,561,111.0,1.0,16,1,llama-8b,cot,485,3755.9,CPU-intensive
13,2026-06-21 19:08:43,16,16,510,176,577,65.3,1.0,16,0,llama-8b,cot,447,2487.0,CPU-intensive
14,2026-06-21 19:09:46,16,16,563,176,575,71.6,1.0,16,0,llama-8b,cot,435,2580.4,CPU-intensive
15,2026-06-21 19:10:50,16,16,525,176,590,39.7,1.0,16,0,llama-8b,cot,499,2772.2,CPU-intensive
16,2026-06-21 19:11:53,16,16,542,176,604,37.0,1.0,16,0,llama-8b,cot,448,2249.6,CPU-intensive
17,2026-06-21 19:12:56,16,16,534,176,729,132.2,1.0,16,0,llama-8b,cot,522,3114.1,CPU-intensive
18,2026-06-21 19:14:00,16,16,574,176,760,38.4,1.0,16,0,llama-8b,cot,437,2429.0,CPU-intensive
19,2026-06-21 19:15:03,16,16,593,177,763,106.1,1.0,16,0,llama-8b,cot,443,3933.2,CPU-intensive
20,2026-06-21 19:16:07,16,16,560,176,735,167.0,1.0,16,0,llama-8b,cot,445,2657.9,CPU-intensive
21,2026-06-21 19:17:11,16,16,568,176,718,78.3,1.0,16,0,llama-8b,cot,469,2813.7,CPU-intensive
22,2026-06-21 19:18:14,16,16,517,176,623,99.2,1.0,16,0,llama-8b,cot,440,3415.5,CPU-intensive
23,2026-06-21 19:19:18,18,16,482,176,559,101.7,1.0,18,1,llama-8b,cot,513,3498.5,CPU-intensive
24,2026-06-21 19:20:22,18,18,540,198,569,75.3,1.0,18,0,llama-8b,cot,464,3970.2,CPU-intensive
25,2026-06-21 19:21:27,18,18,498,198,640,96.7,1.0,18,0,llama-8b,cot,569,9956.3,CPU-intensive
26,2026-06-21 19:22:38,18,18,550,198,640,69.3,1.0,18,0,llama-8b,cot,490,4166.7,CPU-intensive
27,2026-06-21 19:23:42,18,18,541,198,688,38.1,1.0,18,0,llama-8b,cot,461,2695.8,CPU-intensive
28,2026-06-21 19:24:46,18,18,521,198,545,55.8,1.0,18,0,llama-8b,cot,451,3893.2,CPU-intensive
29,2026-06-21 19:25:50,18,18,546,199,550,46.8,1.0,18,0,llama-8b,cot,454,3863.8,CPU-intensive
30,2026-06-21 19:26:55,18,18,497,198,643,89.7,1.0,18,0,llama-8b,cot,464,2753.3,CPU-intensive
31,2026-06-21 19:27:58,18,18,418,198,592,44.8,1.0,18,0,llama-8b,cot,481,4115.9,CPU-intensive
32,2026-06-21 19:29:03,18,18,482,198,443,39.0,1.0,18,0,llama-8b,cot,441,2740.0,CPU-intensive
33,2026-06-21 19:30:06,18,18,416,198,442,51.4,1.0,18,0,llama-8b,cot,481,3878.9,CPU-intensive
34,2026-06-21 19:31:11,18,18,374,198,401,36.8,1.0,18,0,llama-8b,cot,481,6485.6,CPU-intensive
35,2026-06-21 19:32:18,19,18,450,198,378,38.1,1.0,19,1,llama-8b,cot,500,3202.3,CPU-intensive
36,2026-06-21 19:33:22,19,19,373,209,296,36.9,1.0,19,0,llama-8b,cot,658,5556.7,CPU-intensive
37,2026-06-21 19:34:28,19,19,376,209,381,43.5,1.0,19,0,llama-8b,cot,468,3030.5,CPU-intensive
38,2026-06-21 19:35:31,19,19,453,209,340,47.3,1.0,19,0,llama-8b,cot,541,4246.1,CPU-intensive
