step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-22 12:25:41,3,3,8,89,292,124.5,1.0,3,0,mistral-small4,history_5,208,670.4,CPU-intensive
1,2026-06-22 12:26:42,3,3,332,33,259,69.0,1.0,3,0,mistral-small4,history_5,244,289.0,CPU-intensive
2,2026-06-22 12:27:43,3,3,279,34,200,133.5,1.0,3,0,mistral-small4,history_5,280,314.4,CPU-intensive
3,2026-06-22 12:28:44,3,3,208,33,205,82.2,1.0,3,0,mistral-small4,history_5,315,295.3,CPU-intensive
4,2026-06-22 12:29:45,3,3,258,34,222,51.1,1.0,3,0,mistral-small4,history_5,350,369.5,CPU-intensive
5,2026-06-22 12:30:46,4,3,300,34,286,176.1,1.0,4,1,mistral-small4,history_5,387,298.0,CPU-intensive
6,2026-06-22 12:31:47,4,4,429,44,575,81.3,1.0,4,0,mistral-small4,history_5,388,297.9,CPU-intensive
7,2026-06-22 12:32:48,8,4,495,45,776,588.3,1.0,8,1,mistral-small4,history_5,389,307.0,CPU-intensive
8,2026-06-22 12:33:50,8,8,550,89,746,36.6,1.0,8,0,mistral-small4,history_5,388,258.6,CPU-intensive
9,2026-06-22 12:34:51,8,8,619,90,639,64.7,1.0,8,0,mistral-small4,history_5,388,280.4,CPU-intensive
10,2026-06-22 12:35:52,8,8,502,89,727,63.8,1.0,8,0,mistral-small4,history_5,388,292.8,CPU-intensive
11,2026-06-22 12:36:53,8,8,551,89,686,81.0,1.0,8,0,mistral-small4,history_5,386,341.4,CPU-intensive
12,2026-06-22 12:37:54,8,8,520,89,561,46.4,1.0,8,0,mistral-small4,history_5,385,264.8,CPU-intensive
13,2026-06-22 12:38:55,8,8,531,89,577,63.5,1.0,8,0,mistral-small4,history_5,383,289.9,CPU-intensive
14,2026-06-22 12:39:55,8,8,517,89,575,36.7,1.0,8,0,mistral-small4,history_5,383,297.4,CPU-intensive
15,2026-06-22 12:40:56,8,8,538,89,590,51.6,1.0,8,0,mistral-small4,history_5,383,292.4,CPU-intensive
16,2026-06-22 12:41:57,8,8,482,89,604,123.8,1.0,8,0,mistral-small4,history_5,384,808.6,CPU-intensive
17,2026-06-22 12:42:59,10,8,577,89,729,169.7,1.0,10,1,mistral-small4,history_5,386,296.6,CPU-intensive
18,2026-06-22 12:44:00,10,10,597,111,760,76.5,1.0,10,0,mistral-small4,history_5,388,292.0,CPU-intensive
19,2026-06-22 12:45:01,12,10,599,111,763,107.4,1.0,12,1,mistral-small4,history_5,390,295.5,CPU-intensive
20,2026-06-22 12:46:02,10,12,570,133,735,38.6,1.0,10,1,mistral-small4,history_5,391,289.0,CPU-intensive
21,2026-06-22 12:47:03,10,10,585,112,718,48.1,1.0,10,0,mistral-small4,history_5,392,306.7,CPU-intensive
22,2026-06-22 12:48:04,8,10,541,111,623,41.4,1.0,8,1,mistral-small4,history_5,391,352.0,CPU-intensive
23,2026-06-22 12:49:05,10,8,520,90,559,84.5,1.0,10,1,mistral-small4,history_5,390,749.3,CPU-intensive
