step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-22 08:20:57,20,3,38,44,292,658.8,1.0,20,1,mistral-small4,zero_shot,201,601.1,CPU-intensive
1,2026-06-22 08:21:59,20,20,327,220,259,40.4,1.0,20,0,mistral-small4,zero_shot,203,303.0,CPU-intensive
2,2026-06-22 08:23:00,2,20,295,220,200,39.1,1.0,2,1,mistral-small4,zero_shot,202,290.7,CPU-intensive
3,2026-06-22 08:24:01,2,2,226,22,205,172.5,1.0,2,0,mistral-small4,zero_shot,202,300.4,CPU-intensive
4,2026-06-22 08:25:02,3,2,233,22,222,214.5,1.0,3,1,mistral-small4,zero_shot,202,289.3,CPU-intensive
5,2026-06-22 08:26:03,3,3,274,34,286,49.7,1.0,3,0,mistral-small4,zero_shot,200,247.2,CPU-intensive
6,2026-06-22 08:27:04,3,3,366,33,575,167.2,1.0,3,0,mistral-small4,zero_shot,202,592.6,CPU-intensive
7,2026-06-22 08:28:06,3,3,586,33,776,147.9,1.0,3,0,mistral-small4,zero_shot,202,241.5,CPU-intensive
8,2026-06-22 08:29:07,6,3,641,33,746,333.7,1.0,6,1,mistral-small4,zero_shot,202,292.8,CPU-intensive
9,2026-06-22 08:30:08,6,6,555,67,639,59.5,1.0,6,0,mistral-small4,zero_shot,200,292.9,CPU-intensive
10,2026-06-22 08:31:09,6,6,535,68,727,92.1,1.0,6,0,mistral-small4,zero_shot,200,242.5,CPU-intensive
11,2026-06-22 08:32:10,6,6,553,67,686,88.6,1.0,6,0,mistral-small4,zero_shot,200,318.5,CPU-intensive
12,2026-06-22 08:33:11,6,6,537,68,561,61.3,1.0,6,0,mistral-small4,zero_shot,200,308.6,CPU-intensive
13,2026-06-22 08:34:12,6,6,550,67,577,161.8,1.0,6,0,mistral-small4,zero_shot,201,288.3,CPU-intensive
14,2026-06-22 08:35:13,6,6,517,67,575,50.3,1.0,6,0,mistral-small4,zero_shot,200,290.9,CPU-intensive
15,2026-06-22 08:36:14,6,6,514,67,590,122.4,1.0,6,0,mistral-small4,zero_shot,201,236.3,CPU-intensive
16,2026-06-22 08:37:15,6,6,546,67,604,37.5,1.0,6,0,mistral-small4,zero_shot,200,240.7,CPU-intensive
17,2026-06-22 08:38:16,6,6,547,68,729,39.8,1.0,6,0,mistral-small4,zero_shot,200,241.3,CPU-intensive
18,2026-06-22 08:39:16,6,6,615,69,760,36.4,1.0,6,0,mistral-small4,zero_shot,201,268.8,CPU-intensive
19,2026-06-22 08:40:17,6,6,552,67,763,56.3,1.0,6,0,mistral-small4,zero_shot,200,227.1,CPU-intensive
20,2026-06-22 08:41:18,6,6,537,69,735,152.2,1.0,6,0,mistral-small4,zero_shot,201,296.3,CPU-intensive
21,2026-06-22 08:42:19,6,6,580,69,718,189.2,1.0,6,0,mistral-small4,zero_shot,201,246.1,CPU-intensive
22,2026-06-22 08:43:20,6,6,529,69,623,47.6,1.0,6,0,mistral-small4,zero_shot,200,260.4,CPU-intensive
23,2026-06-22 08:44:21,6,6,472,67,559,63.5,1.0,6,0,mistral-small4,zero_shot,200,267.4,CPU-intensive
24,2026-06-22 08:45:22,6,6,525,68,569,67.6,1.0,6,0,mistral-small4,zero_shot,200,390.6,CPU-intensive
25,2026-06-22 08:46:23,6,6,597,68,640,76.6,1.0,6,0,mistral-small4,zero_shot,200,685.0,CPU-intensive
26,2026-06-22 08:47:24,6,6,554,68,640,53.4,1.0,6,0,mistral-small4,zero_shot,200,271.9,CPU-intensive
27,2026-06-22 08:48:25,6,6,545,68,688,159.9,1.0,6,0,mistral-small4,zero_shot,201,246.8,CPU-intensive
28,2026-06-22 08:49:26,6,6,515,68,545,167.9,1.0,6,0,mistral-small4,zero_shot,201,255.4,CPU-intensive
