step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-24 03:54:50,4,3,6,67,292,200.4,1.0,4,1,qwen3-80b,cot,244,22862.0,CPU-intensive
1,2026-06-24 03:56:14,5,4,273,45,259,214.2,1.0,5,1,qwen3-80b,cot,684,44358.8,CPU-intensive
2,2026-06-24 03:58:00,2,5,205,56,200,73.3,1.0,2,1,qwen3-80b,cot,748,78972.2,CPU-intensive
3,2026-06-24 04:00:19,3,2,235,23,205,715.9,1.0,3,1,qwen3-80b,cot,750,23660.9,CPU-intensive
4,2026-06-24 04:01:45,8,3,519,34,222,526.1,1.0,8,1,qwen3-80b,cot,621,14998.5,CPU-intensive
5,2026-06-24 04:03:01,13,8,594,89,286,316.6,1.0,13,1,qwen3-80b,cot,737,80781.7,CPU-intensive
6,2026-06-24 04:05:23,13,13,614,144,575,37.4,1.0,13,0,qwen3-80b,cot,443,75308.1,CPU-intensive
7,2026-06-24 04:07:39,13,13,478,144,776,41.2,1.0,13,0,qwen3-80b,cot,584,50551.0,CPU-intensive
8,2026-06-24 04:09:30,7,13,536,145,746,57.0,1.0,7,1,qwen3-80b,cot,750,40098.5,CPU-intensive
9,2026-06-24 04:11:11,7,7,520,78,639,51.5,1.0,7,0,qwen3-80b,cot,523,12686.7,CPU-intensive
10,2026-06-24 04:12:24,7,7,575,79,727,75.5,1.0,7,0,qwen3-80b,cot,623,35865.6,CPU-intensive
11,2026-06-24 04:14:01,7,7,558,79,686,106.8,1.0,7,0,qwen3-80b,cot,514,93905.9,CPU-intensive
12,2026-06-24 04:16:35,7,7,605,79,561,103.8,1.0,7,0,qwen3-80b,cot,644,22123.5,CPU-intensive
13,2026-06-24 04:17:58,7,7,561,79,577,61.8,1.0,7,0,qwen3-80b,cot,610,58535.8,CPU-intensive
14,2026-06-24 04:19:57,7,7,530,79,575,39.0,1.0,7,0,qwen3-80b,cot,693,150434.0,CPU-intensive
15,2026-06-24 04:23:28,2,7,520,79,590,122.6,1.0,2,1,qwen3-80b,cot,749,246360.1,CPU-intensive
16,2026-06-24 04:28:36,4,2,442,24,604,376.2,1.0,4,1,qwen3-80b,cot,594,248315.1,CPU-intensive
17,2026-06-24 04:33:46,4,4,367,46,729,104.5,1.0,4,0,qwen3-80b,cot,509,141252.9,CPU-intensive
18,2026-06-24 04:37:08,4,4,487,46,760,81.7,1.0,4,0,qwen3-80b,cot,507,71587.7,CPU-intensive
19,2026-06-24 04:39:20,4,4,455,46,763,195.5,1.0,4,0,qwen3-80b,cot,555,359926.2,CPU-intensive
