step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-23 23:04:41,6,3,4,47,292,273.8,1.0,6,1,qwen3-80b,domain,286,822.8,CPU-intensive
1,2026-06-23 23:05:43,6,6,308,68,259,45.3,1.0,6,0,qwen3-80b,domain,286,473.5,CPU-intensive
2,2026-06-23 23:06:44,6,6,278,69,200,36.4,1.0,6,0,qwen3-80b,domain,286,652.4,CPU-intensive
3,2026-06-23 23:07:45,1,6,203,68,205,36.6,1.0,1,1,qwen3-80b,domain,286,531.6,CPU-intensive
4,2026-06-23 23:08:46,20,1,247,12,222,4622.3,1.0,20,1,qwen3-80b,domain,290,510.9,CPU-intensive
5,2026-06-23 23:10:02,17,20,332,222,286,37.1,1.0,17,1,qwen3-80b,domain,289,536.2,CPU-intensive
6,2026-06-23 23:11:04,14,17,483,189,575,36.2,1.0,14,1,qwen3-80b,domain,289,525.5,CPU-intensive
7,2026-06-23 23:12:05,14,14,587,156,776,41.0,1.0,14,0,qwen3-80b,domain,289,509.2,CPU-intensive
8,2026-06-23 23:13:06,14,14,560,156,746,36.7,1.0,14,0,qwen3-80b,domain,289,488.1,CPU-intensive
9,2026-06-23 23:14:07,14,14,493,156,639,113.4,1.0,14,0,qwen3-80b,domain,290,499.6,CPU-intensive
10,2026-06-23 23:15:08,1,14,516,156,727,39.7,1.0,1,1,qwen3-80b,domain,288,522.2,CPU-intensive
11,2026-06-23 23:16:09,20,1,500,15,686,4641.3,0.1,20,1,qwen3-80b,domain,290,899.8,CPU-intensive
12,2026-06-23 23:17:15,17,20,526,223,561,47.9,1.0,17,1,qwen3-80b,domain,289,572.3,CPU-intensive
13,2026-06-23 23:18:17,17,17,471,190,577,37.3,1.0,17,0,qwen3-80b,domain,289,515.5,CPU-intensive
14,2026-06-23 23:19:18,14,17,497,190,575,80.3,1.0,14,1,qwen3-80b,domain,289,2244.7,CPU-intensive
15,2026-06-23 23:20:21,14,14,514,157,590,44.4,1.0,14,0,qwen3-80b,domain,289,642.9,CPU-intensive
16,2026-06-23 23:21:22,14,14,535,158,604,93.2,1.0,14,0,qwen3-80b,domain,289,506.6,CPU-intensive
17,2026-06-23 23:22:23,14,14,558,157,729,74.7,1.0,14,0,qwen3-80b,domain,289,480.5,CPU-intensive
