step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-23 21:01:26,3,3,218,36,292,111.1,1.0,3,0,qwen3-80b,zero_shot,194,1517.6,CPU-intensive
1,2026-06-23 21:02:28,6,3,417,36,259,398.4,1.0,6,1,qwen3-80b,zero_shot,195,566.8,CPU-intensive
2,2026-06-23 21:03:30,6,6,391,69,200,60.4,1.0,6,0,qwen3-80b,zero_shot,193,534.4,CPU-intensive
3,2026-06-23 21:04:31,6,6,445,69,205,68.0,1.0,6,0,qwen3-80b,zero_shot,193,543.9,CPU-intensive
4,2026-06-23 21:05:32,6,6,646,70,222,73.3,1.0,6,0,qwen3-80b,zero_shot,194,488.3,CPU-intensive
5,2026-06-23 21:06:34,6,6,695,69,286,43.3,1.0,6,0,qwen3-80b,zero_shot,194,510.3,CPU-intensive
6,2026-06-23 21:07:35,6,6,823,71,575,57.2,1.0,6,0,qwen3-80b,zero_shot,194,797.7,CPU-intensive
7,2026-06-23 21:08:36,6,6,820,70,776,101.5,1.0,6,0,qwen3-80b,zero_shot,195,562.9,CPU-intensive
8,2026-06-23 21:09:37,6,6,942,70,746,88.4,1.0,6,0,qwen3-80b,zero_shot,194,521.4,CPU-intensive
9,2026-06-23 21:10:39,6,6,853,69,639,61.7,1.0,6,0,qwen3-80b,zero_shot,194,600.0,CPU-intensive
10,2026-06-23 21:11:40,6,6,816,70,727,175.6,1.0,6,0,qwen3-80b,zero_shot,195,523.6,CPU-intensive
11,2026-06-23 21:12:41,6,6,838,69,686,115.5,1.0,6,0,qwen3-80b,zero_shot,195,511.2,CPU-intensive
12,2026-06-23 21:13:43,6,6,777,69,561,67.3,1.0,6,0,qwen3-80b,zero_shot,194,621.1,CPU-intensive
13,2026-06-23 21:14:44,6,6,813,70,577,57.1,1.0,6,0,qwen3-80b,zero_shot,194,532.0,CPU-intensive
14,2026-06-23 21:15:45,6,6,767,70,575,46.3,1.0,6,0,qwen3-80b,zero_shot,194,737.6,CPU-intensive
15,2026-06-23 21:16:46,6,6,863,71,590,77.7,1.0,6,0,qwen3-80b,zero_shot,194,519.1,CPU-intensive
16,2026-06-23 21:17:48,6,6,877,69,604,56.2,1.0,6,0,qwen3-80b,zero_shot,194,774.9,CPU-intensive
17,2026-06-23 21:18:49,6,6,952,70,729,69.4,1.0,6,0,qwen3-80b,zero_shot,194,490.8,CPU-intensive
18,2026-06-23 21:19:50,6,6,895,71,760,115.1,1.0,6,0,qwen3-80b,zero_shot,195,506.4,CPU-intensive
