step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-20 21:27:09,1,3,57,24,1437,46.9,1.0,1,1,hpa,baseline,0,0.0,I/O-bound
1,2026-06-20 21:28:10,1,1,97,12,1535,33.6,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
2,2026-06-20 21:29:11,1,1,88,12,1031,36.7,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
3,2026-06-20 21:30:11,1,1,65,13,1088,34.1,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
4,2026-06-20 21:31:12,1,1,61,13,1214,31.6,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
5,2026-06-20 21:32:13,1,1,50,13,295,32.6,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
6,2026-06-20 21:33:14,1,1,58,13,1494,35.9,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
7,2026-06-20 21:34:14,1,1,75,13,1194,32.5,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
8,2026-06-20 21:35:15,1,1,86,14,1552,38.6,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
9,2026-06-20 21:36:16,1,1,91,14,1818,45.4,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
10,2026-06-20 21:37:17,1,1,99,15,539,38.6,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
11,2026-06-20 21:38:17,1,1,32,15,1830,47.5,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
12,2026-06-20 21:39:18,1,1,120,15,2374,31.1,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
13,2026-06-20 21:40:19,1,1,104,16,1590,43.8,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
14,2026-06-20 21:41:19,1,1,86,16,1142,32.8,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
15,2026-06-20 21:42:20,1,1,65,17,1289,38.8,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
16,2026-06-20 21:43:21,1,1,77,17,1459,33.8,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
17,2026-06-20 21:44:22,1,1,74,17,1056,40.8,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
18,2026-06-20 21:45:22,1,1,62,17,1674,39.7,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
19,2026-06-20 21:46:23,1,1,70,18,1061,41.0,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
20,2026-06-20 21:47:24,1,1,74,18,1372,30.7,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
21,2026-06-20 21:48:24,1,1,84,18,1609,46.0,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
22,2026-06-20 21:49:25,1,1,88,18,1231,58.1,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
23,2026-06-20 21:50:26,1,1,75,19,1330,33.5,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
24,2026-06-20 21:51:27,1,1,74,19,1184,29.6,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
25,2026-06-20 21:52:27,1,1,71,19,1024,46.1,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
26,2026-06-20 21:53:28,1,1,72,19,1370,33.5,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
27,2026-06-20 21:54:29,1,1,100,20,1941,32.3,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
28,2026-06-20 21:55:29,1,1,64,20,917,38.0,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
29,2026-06-20 21:56:30,1,1,81,20,1510,51.5,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
30,2026-06-20 21:57:31,1,1,95,21,1563,34.5,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
31,2026-06-20 21:58:31,1,1,92,21,1667,43.9,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
32,2026-06-20 21:59:32,1,1,72,21,1307,57.3,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
33,2026-06-20 22:00:33,1,1,86,21,1473,36.3,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
34,2026-06-20 22:01:33,1,1,99,22,1803,35.6,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
35,2026-06-20 22:02:34,1,1,122,22,1822,31.8,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
36,2026-06-20 22:03:35,1,1,115,22,1951,36.8,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
37,2026-06-20 22:04:35,1,1,69,23,1196,25.8,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
38,2026-06-20 22:05:36,1,1,72,23,1303,26.1,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
39,2026-06-20 22:06:37,1,1,92,23,1689,33.9,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
40,2026-06-20 22:07:37,1,1,71,23,1241,42.2,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
41,2026-06-20 22:08:38,1,1,96,24,1777,41.4,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
42,2026-06-20 22:09:39,1,1,82,24,1295,61.2,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
43,2026-06-20 22:10:39,1,1,27,24,385,37.3,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
44,2026-06-20 22:11:40,1,1,111,24,1965,43.7,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
45,2026-06-20 22:12:41,1,1,79,25,1366,35.8,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
46,2026-06-20 22:13:41,1,1,102,25,1985,28.2,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
47,2026-06-20 22:14:42,1,1,79,25,1515,26.7,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
48,2026-06-20 22:15:43,1,1,66,26,1086,39.0,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
49,2026-06-20 22:16:43,1,1,94,26,1639,47.6,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
50,2026-06-20 22:17:44,1,1,100,26,1792,12.8,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
51,2026-06-20 22:18:44,1,1,103,27,1878,29.9,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
52,2026-06-20 22:19:45,1,1,88,27,1455,32.0,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
53,2026-06-20 22:20:45,1,1,106,27,1697,13.0,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
54,2026-06-20 22:21:46,1,1,113,28,1859,28.7,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
55,2026-06-20 22:22:46,1,1,59,28,954,12.1,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
56,2026-06-20 22:23:46,1,1,93,28,1475,32.0,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
57,2026-06-20 22:24:47,1,1,95,28,1475,14.7,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
58,2026-06-20 22:25:47,1,1,113,29,1784,35.9,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
59,2026-06-20 22:26:47,1,1,94,29,1563,37.4,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
60,2026-06-20 22:27:48,1,1,52,29,861,37.6,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
61,2026-06-20 22:28:48,1,1,71,29,1143,10.6,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
62,2026-06-20 22:29:49,1,1,90,30,1637,32.5,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
63,2026-06-20 22:30:49,1,1,48,30,985,11.1,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
64,2026-06-20 22:31:49,1,1,97,30,1945,13.9,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
65,2026-06-20 22:32:50,1,1,64,31,1218,35.8,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
66,2026-06-20 22:33:50,1,1,73,31,1406,12.5,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
67,2026-06-20 22:34:50,1,1,95,31,1589,32.5,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
68,2026-06-20 22:35:51,1,1,40,31,819,15.6,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
69,2026-06-20 22:36:51,1,1,28,31,531,32.1,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
70,2026-06-20 22:37:51,1,1,75,32,1462,36.3,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
71,2026-06-20 22:38:52,1,1,48,32,905,27.1,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
72,2026-06-20 22:39:52,1,1,103,32,1801,32.2,1.0,1,0,hpa,baseline,0,0.0,I/O-bound
