step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-20 23:28:36,20,3,12,67,1437,34.0,1.0,20,1,keda,baseline,0,0.0,I/O-bound
1,2026-06-20 23:29:37,20,20,195,255,1535,32.9,1.0,20,0,keda,baseline,0,0.0,I/O-bound
2,2026-06-20 23:30:37,20,20,166,255,1031,11.8,1.0,20,0,keda,baseline,0,0.0,I/O-bound
3,2026-06-20 23:31:37,20,20,110,256,1088,14.3,1.0,20,0,keda,baseline,0,0.0,I/O-bound
4,2026-06-20 23:32:38,20,20,124,256,1214,33.1,1.0,20,0,keda,baseline,0,0.0,I/O-bound
5,2026-06-20 23:33:38,6,20,142,258,295,35.3,1.0,6,1,keda,baseline,0,0.0,I/O-bound
6,2026-06-20 23:34:39,20,6,30,101,1494,32.8,1.0,20,1,keda,baseline,0,0.0,I/O-bound
7,2026-06-20 23:35:39,20,18,140,237,1194,37.4,1.0,20,0,keda,baseline,0,0.0,I/O-bound
8,2026-06-20 23:36:40,20,18,96,237,1552,35.9,1.0,20,0,keda,baseline,0,0.0,I/O-bound
9,2026-06-20 23:37:40,20,18,105,237,1818,11.5,1.0,20,0,keda,baseline,0,0.0,I/O-bound
10,2026-06-20 23:38:41,11,18,108,236,539,14.7,1.0,11,1,keda,baseline,0,0.0,I/O-bound
11,2026-06-20 23:39:41,20,11,40,160,1830,11.6,1.0,20,1,keda,baseline,0,0.0,I/O-bound
12,2026-06-20 23:40:41,20,11,106,162,2374,11.3,1.0,20,0,keda,baseline,0,0.0,I/O-bound
13,2026-06-20 23:41:42,20,11,105,164,1590,32.1,1.0,20,0,keda,baseline,0,0.0,I/O-bound
14,2026-06-20 23:42:42,20,11,86,166,1142,13.8,1.0,20,0,keda,baseline,0,0.0,I/O-bound
15,2026-06-20 23:43:42,20,11,78,164,1289,33.4,1.0,20,0,keda,baseline,0,0.0,I/O-bound
16,2026-06-20 23:44:43,20,11,85,166,1459,11.0,1.0,20,0,keda,baseline,0,0.0,I/O-bound
17,2026-06-20 23:45:43,20,11,84,166,1056,32.8,1.0,20,0,keda,baseline,0,0.0,I/O-bound
18,2026-06-20 23:46:44,20,11,85,166,1674,32.1,1.0,20,0,keda,baseline,0,0.0,I/O-bound
