step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-21 23:41:06,3,3,3,189,1437,26.0,1.0,3,0,llama-70b,domain,279,23042.2,I/O-bound
1,2026-06-21 23:42:30,3,3,87,189,1535,32.7,1.0,3,0,llama-70b,domain,279,14227.0,I/O-bound
2,2026-06-21 23:43:44,3,3,65,191,1031,12.1,1.0,3,0,llama-70b,domain,279,576.8,I/O-bound
3,2026-06-21 23:44:45,3,3,65,191,1088,35.0,1.0,3,0,llama-70b,domain,279,477.5,I/O-bound
4,2026-06-21 23:45:46,3,3,71,192,1214,35.9,1.0,3,0,llama-70b,domain,279,492.8,I/O-bound
5,2026-06-21 23:46:47,3,3,16,192,295,32.9,1.0,3,0,llama-70b,domain,278,473.7,I/O-bound
6,2026-06-21 23:47:48,3,3,80,192,1494,14.0,1.0,3,0,llama-70b,domain,279,2278.9,I/O-bound
7,2026-06-21 23:48:51,3,3,71,192,1194,35.2,1.0,3,0,llama-70b,domain,279,15285.8,I/O-bound
8,2026-06-21 23:50:06,3,3,101,192,1552,39.7,1.0,3,0,llama-70b,domain,279,492.4,I/O-bound
9,2026-06-21 23:51:07,3,3,101,192,1818,35.5,1.0,3,0,llama-70b,domain,279,4325.8,I/O-bound
10,2026-06-21 23:52:12,3,3,95,192,539,37.6,1.0,3,0,llama-70b,domain,278,567.9,I/O-bound
11,2026-06-21 23:53:13,3,3,144,192,1830,12.3,1.0,3,0,llama-70b,domain,279,732.8,I/O-bound
12,2026-06-21 23:54:14,3,3,125,192,2374,36.1,1.0,3,0,llama-70b,domain,279,7950.7,I/O-bound
13,2026-06-21 23:55:22,3,3,94,193,1590,18.7,1.0,3,0,llama-70b,domain,279,2258.7,I/O-bound
14,2026-06-21 23:56:25,3,3,97,193,1142,33.8,1.0,3,0,llama-70b,domain,279,1150.4,I/O-bound
15,2026-06-21 23:57:27,3,3,98,195,1289,13.8,1.0,3,0,llama-70b,domain,279,31225.0,I/O-bound
16,2026-06-21 23:58:58,3,3,80,195,1459,32.7,1.0,3,0,llama-70b,domain,279,313277.9,I/O-bound
17,2026-06-22 00:05:12,3,3,83,195,1056,32.6,1.0,3,0,llama-70b,domain,279,4269.9,I/O-bound
18,2026-06-22 00:06:16,3,3,65,195,1674,32.7,1.0,3,0,llama-70b,domain,279,489.5,I/O-bound
19,2026-06-22 00:07:17,3,3,89,196,1061,34.9,1.0,3,0,llama-70b,domain,279,491.2,I/O-bound
20,2026-06-22 00:08:18,1,3,104,197,1372,11.8,1.0,1,1,llama-70b,domain,279,718.9,I/O-bound
21,2026-06-22 00:09:19,1,1,50,66,1609,33.0,1.0,1,0,llama-70b,domain,279,443.4,I/O-bound
22,2026-06-22 00:10:20,1,1,55,66,1231,12.1,1.0,1,0,llama-70b,domain,279,634.6,I/O-bound
23,2026-06-22 00:11:21,1,1,82,66,1330,32.6,1.0,1,0,llama-70b,domain,279,24033.0,I/O-bound
24,2026-06-22 00:12:46,1,1,97,67,1184,15.5,1.0,1,0,llama-70b,domain,279,466.5,I/O-bound
25,2026-06-22 00:13:46,1,1,90,67,1024,11.2,1.0,1,0,llama-70b,domain,279,471.0,I/O-bound
26,2026-06-22 00:14:47,1,1,97,67,1370,35.4,1.0,1,0,llama-70b,domain,279,483.5,I/O-bound
27,2026-06-22 00:15:48,1,1,111,68,1941,33.2,1.0,1,0,llama-70b,domain,279,485.5,I/O-bound
28,2026-06-22 00:16:49,1,1,116,68,917,27.4,1.0,1,0,llama-70b,domain,278,10734.3,I/O-bound
29,2026-06-22 00:18:00,1,1,122,69,1510,35.0,1.0,1,0,llama-70b,domain,279,11869.8,I/O-bound
