step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-22 01:58:43,3,3,47,114,1437,24.3,1.0,3,0,llama-70b,history_5,207,1074.9,I/O-bound
1,2026-06-22 01:59:44,4,3,100,114,1535,33.0,1.0,4,1,llama-70b,history_5,239,513.2,I/O-bound
2,2026-06-22 02:00:45,4,4,81,126,1031,13.8,1.0,4,0,llama-70b,history_5,271,499.0,I/O-bound
3,2026-06-22 02:01:46,4,4,55,126,1088,14.6,1.0,4,0,llama-70b,history_5,303,14172.5,I/O-bound
4,2026-06-22 02:03:01,4,4,75,128,1214,34.8,1.0,4,0,llama-70b,history_5,335,518.6,I/O-bound
5,2026-06-22 02:04:01,4,4,27,127,295,26.5,1.0,4,0,llama-70b,history_5,366,511.2,I/O-bound
6,2026-06-22 02:05:02,4,4,73,128,1494,33.4,1.0,4,0,llama-70b,history_5,366,1623.1,I/O-bound
7,2026-06-22 02:06:04,4,4,72,128,1194,37.5,1.0,4,0,llama-70b,history_5,366,37946.8,I/O-bound
8,2026-06-22 02:07:43,4,4,102,128,1552,13.2,1.0,4,0,llama-70b,history_5,366,8671.8,I/O-bound
9,2026-06-22 02:08:52,6,4,96,128,1818,36.3,1.0,6,1,llama-70b,history_5,366,19111.6,I/O-bound
10,2026-06-22 02:10:11,6,6,100,150,539,31.8,1.0,6,0,llama-70b,history_5,365,96280.6,I/O-bound
11,2026-06-22 02:12:48,10,6,86,153,1830,33.8,1.0,10,1,llama-70b,history_5,366,15179.7,I/O-bound
12,2026-06-22 02:14:04,10,10,80,198,2374,11.2,1.0,10,0,llama-70b,history_5,366,3526.2,I/O-bound
13,2026-06-22 02:15:07,8,10,85,199,1590,32.8,1.0,8,1,llama-70b,history_5,366,1359.6,I/O-bound
14,2026-06-22 02:16:09,8,8,63,177,1142,32.8,1.0,8,0,llama-70b,history_5,366,17511.3,I/O-bound
15,2026-06-22 02:17:27,8,8,105,179,1289,13.0,1.0,8,0,llama-70b,history_5,366,16498.8,I/O-bound
16,2026-06-22 02:18:44,8,8,72,180,1459,32.7,1.0,8,0,llama-70b,history_5,367,24294.2,I/O-bound
