step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-21 18:58:39,3,3,12,246,1437,39.7,1.0,3,0,llama-8b,cot,465,4118.3,I/O-bound
1,2026-06-21 18:59:43,3,3,126,123,1535,34.7,1.0,3,0,llama-8b,cot,428,3670.7,I/O-bound
2,2026-06-21 19:00:48,3,3,98,125,1031,38.2,1.0,3,0,llama-8b,cot,463,10880.8,I/O-bound
3,2026-06-21 19:01:59,3,3,55,125,1088,33.2,1.0,3,0,llama-8b,cot,449,2715.8,I/O-bound
4,2026-06-21 19:03:02,3,3,58,126,1214,30.4,1.0,3,0,llama-8b,cot,460,3420.9,I/O-bound
5,2026-06-21 19:04:06,3,3,15,126,295,18.5,1.0,3,0,llama-8b,cot,377,3993.2,I/O-bound
6,2026-06-21 19:05:10,3,3,69,126,1494,11.3,1.0,3,0,llama-8b,cot,480,2537.8,I/O-bound
7,2026-06-21 19:06:13,3,3,63,126,1194,34.2,1.0,3,0,llama-8b,cot,476,2768.9,I/O-bound
8,2026-06-21 19:07:16,3,3,91,126,1552,32.1,1.0,3,0,llama-8b,cot,453,3221.9,I/O-bound
9,2026-06-21 19:08:20,3,3,99,126,1818,25.9,1.0,3,0,llama-8b,cot,467,2830.6,I/O-bound
10,2026-06-21 19:09:23,3,3,30,126,539,33.1,1.0,3,0,llama-8b,cot,574,3939.7,I/O-bound
11,2026-06-21 19:10:27,3,3,103,127,1830,11.3,1.0,3,0,llama-8b,cot,462,5826.9,I/O-bound
12,2026-06-21 19:11:33,3,3,133,128,2374,32.0,1.0,3,0,llama-8b,cot,455,2372.9,I/O-bound
13,2026-06-21 19:12:36,3,3,94,128,1590,35.8,1.0,3,0,llama-8b,cot,445,2541.6,I/O-bound
14,2026-06-21 19:13:39,3,3,59,129,1142,13.6,1.0,3,0,llama-8b,cot,431,2180.4,I/O-bound
15,2026-06-21 19:14:42,3,3,64,129,1289,15.3,1.0,3,0,llama-8b,cot,569,4180.4,I/O-bound
