step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-21 12:36:29,3,3,9,42,1437,17.4,1.0,3,0,llama-8b,zero_shot,206,825.0,I/O-bound
1,2026-06-21 12:37:30,3,3,120,42,1535,32.7,1.0,3,0,llama-8b,zero_shot,206,652.9,I/O-bound
2,2026-06-21 12:38:31,3,3,138,42,1031,34.5,1.0,3,0,llama-8b,zero_shot,206,2120.5,I/O-bound
3,2026-06-21 12:39:34,3,3,100,44,1088,12.6,1.0,3,0,llama-8b,zero_shot,206,444.7,I/O-bound
4,2026-06-21 12:40:34,3,3,109,44,1214,11.9,1.0,3,0,llama-8b,zero_shot,206,406.7,I/O-bound
5,2026-06-21 12:41:35,3,3,100,44,295,18.3,1.0,3,0,llama-8b,zero_shot,205,433.1,I/O-bound
6,2026-06-21 12:42:36,3,3,38,44,1494,33.1,1.0,3,0,llama-8b,zero_shot,206,473.1,I/O-bound
7,2026-06-21 12:43:37,3,3,89,45,1194,33.8,1.0,3,0,llama-8b,zero_shot,206,439.2,I/O-bound
8,2026-06-21 12:44:37,3,3,73,45,1552,28.0,1.0,3,0,llama-8b,zero_shot,206,463.6,I/O-bound
9,2026-06-21 12:45:38,3,3,90,45,1818,12.0,1.0,3,0,llama-8b,zero_shot,206,506.0,I/O-bound
10,2026-06-21 12:46:39,3,3,104,45,539,32.9,1.0,3,0,llama-8b,zero_shot,205,523.1,I/O-bound
11,2026-06-21 12:47:40,3,3,45,45,1830,32.9,1.0,3,0,llama-8b,zero_shot,206,507.5,I/O-bound
12,2026-06-21 12:48:30,3,3,19,45,2374,10.9,1.0,3,0,llama-8b,zero_shot,206,818.6,I/O-bound
13,2026-06-21 12:49:31,3,3,119,45,1590,17.4,1.0,3,0,llama-8b,zero_shot,206,452.0,I/O-bound
14,2026-06-21 12:50:32,3,3,130,45,1142,34.7,1.0,3,0,llama-8b,zero_shot,206,494.9,I/O-bound
15,2026-06-21 12:51:33,3,3,98,45,1289,36.1,1.0,3,0,llama-8b,zero_shot,206,489.3,I/O-bound
16,2026-06-21 12:52:34,3,3,104,47,1459,14.3,1.0,3,0,llama-8b,zero_shot,206,545.7,I/O-bound
17,2026-06-21 12:53:35,3,3,109,48,1056,35.0,1.0,3,0,llama-8b,zero_shot,206,468.7,I/O-bound
18,2026-06-21 12:54:36,3,3,25,47,1674,36.2,1.0,3,0,llama-8b,zero_shot,206,444.4,I/O-bound
19,2026-06-21 12:55:37,3,3,94,48,1061,15.7,1.0,3,0,llama-8b,zero_shot,206,558.9,I/O-bound
20,2026-06-21 12:56:37,3,3,64,48,1372,13.3,1.0,3,0,llama-8b,zero_shot,206,463.4,I/O-bound
21,2026-06-21 12:57:38,3,3,84,48,1609,32.0,1.0,3,0,llama-8b,zero_shot,206,522.2,I/O-bound
22,2026-06-21 12:58:39,3,3,105,48,1231,33.2,1.0,3,0,llama-8b,zero_shot,206,514.6,I/O-bound
23,2026-06-21 12:59:40,3,3,33,48,1330,33.6,1.0,3,0,llama-8b,zero_shot,206,486.3,I/O-bound
24,2026-06-21 13:00:41,3,3,90,48,1184,30.6,1.0,3,0,llama-8b,zero_shot,206,514.9,I/O-bound
25,2026-06-21 13:01:42,3,3,131,48,1024,34.1,1.0,3,0,llama-8b,zero_shot,206,641.1,I/O-bound
26,2026-06-21 13:02:43,3,3,85,48,1370,36.7,1.0,3,0,llama-8b,zero_shot,206,457.4,I/O-bound
27,2026-06-21 13:03:44,3,3,72,50,1941,14.0,1.0,3,0,llama-8b,zero_shot,206,483.7,I/O-bound
28,2026-06-21 13:04:44,3,3,80,50,917,25.7,1.0,3,0,llama-8b,zero_shot,205,450.7,I/O-bound
29,2026-06-21 13:05:45,3,3,75,50,1510,12.4,1.0,3,0,llama-8b,zero_shot,206,498.7,I/O-bound
30,2026-06-21 13:06:46,3,3,67,51,1563,11.2,1.0,3,0,llama-8b,zero_shot,206,484.4,I/O-bound
31,2026-06-21 13:07:47,3,3,79,51,1667,12.9,1.0,3,0,llama-8b,zero_shot,206,467.7,I/O-bound
32,2026-06-21 13:08:48,3,3,55,51,1307,12.7,1.0,3,0,llama-8b,zero_shot,206,465.3,I/O-bound
33,2026-06-21 13:09:48,3,3,86,51,1473,33.1,1.0,3,0,llama-8b,zero_shot,206,1357.5,I/O-bound
34,2026-06-21 13:10:50,3,3,80,51,1803,10.9,1.0,3,0,llama-8b,zero_shot,206,462.9,I/O-bound
35,2026-06-21 13:11:51,3,3,79,51,1822,13.7,1.0,3,0,llama-8b,zero_shot,206,489.0,I/O-bound
36,2026-06-21 13:12:52,3,3,86,51,1951,33.9,1.0,3,0,llama-8b,zero_shot,206,462.6,I/O-bound
37,2026-06-21 13:13:53,3,3,61,51,1196,12.4,1.0,3,0,llama-8b,zero_shot,206,512.6,I/O-bound
38,2026-06-21 13:14:54,3,3,63,52,1303,32.0,1.0,3,0,llama-8b,zero_shot,206,491.0,I/O-bound
39,2026-06-21 13:15:54,3,3,92,53,1689,12.6,1.0,3,0,llama-8b,zero_shot,206,484.9,I/O-bound
40,2026-06-21 13:16:55,3,3,78,54,1241,32.2,1.0,3,0,llama-8b,zero_shot,206,481.4,I/O-bound
41,2026-06-21 13:17:56,3,3,70,53,1777,28.3,1.0,3,0,llama-8b,zero_shot,206,529.9,I/O-bound
42,2026-06-21 13:18:57,3,3,95,54,1295,11.8,1.0,3,0,llama-8b,zero_shot,206,534.7,I/O-bound
43,2026-06-21 13:19:58,3,3,99,54,385,33.7,1.0,3,0,llama-8b,zero_shot,205,460.9,I/O-bound
44,2026-06-21 13:20:59,3,3,90,54,1965,14.4,1.0,3,0,llama-8b,zero_shot,206,502.8,I/O-bound
45,2026-06-21 13:21:59,3,3,99,54,1366,35.0,1.0,3,0,llama-8b,zero_shot,206,559.8,I/O-bound
46,2026-06-21 13:23:00,3,3,115,54,1985,14.3,1.0,3,0,llama-8b,zero_shot,206,474.0,I/O-bound
47,2026-06-21 13:24:01,3,3,127,54,1515,33.0,1.0,3,0,llama-8b,zero_shot,206,538.0,I/O-bound
48,2026-06-21 13:25:02,3,3,150,54,1086,37.8,1.0,3,0,llama-8b,zero_shot,206,471.1,I/O-bound
49,2026-06-21 13:26:03,3,3,84,56,1639,15.1,1.0,3,0,llama-8b,zero_shot,206,512.3,I/O-bound
50,2026-06-21 13:27:04,3,3,100,56,1792,32.4,1.0,3,0,llama-8b,zero_shot,206,458.9,I/O-bound
51,2026-06-21 13:28:05,3,3,117,57,1878,13.1,1.0,3,0,llama-8b,zero_shot,206,498.3,I/O-bound
52,2026-06-21 13:29:06,3,3,83,57,1455,14.2,1.0,3,0,llama-8b,zero_shot,206,474.9,I/O-bound
53,2026-06-21 13:30:07,3,3,95,57,1697,12.4,1.0,3,0,llama-8b,zero_shot,206,412.8,I/O-bound
54,2026-06-21 13:31:07,3,3,85,57,1859,16.1,1.0,3,0,llama-8b,zero_shot,206,523.2,I/O-bound
55,2026-06-21 13:32:08,3,3,26,57,954,32.5,1.0,3,0,llama-8b,zero_shot,205,500.3,I/O-bound
56,2026-06-21 13:33:09,3,3,121,57,1475,32.5,1.0,3,0,llama-8b,zero_shot,206,426.7,I/O-bound
57,2026-06-21 13:34:10,3,3,88,57,1475,13.7,1.0,3,0,llama-8b,zero_shot,206,425.6,I/O-bound
58,2026-06-21 13:35:11,3,3,132,57,1784,32.7,1.0,3,0,llama-8b,zero_shot,206,501.0,I/O-bound
59,2026-06-21 13:36:12,3,3,100,57,1563,17.3,1.0,3,0,llama-8b,zero_shot,206,469.7,I/O-bound
60,2026-06-21 13:37:12,3,3,58,59,861,13.2,1.0,3,0,llama-8b,zero_shot,205,542.4,I/O-bound
61,2026-06-21 13:38:13,3,3,93,59,1143,32.8,1.0,3,0,llama-8b,zero_shot,206,466.3,I/O-bound
62,2026-06-21 13:39:14,3,3,98,60,1637,34.6,1.0,3,0,llama-8b,zero_shot,206,398.8,I/O-bound
63,2026-06-21 13:40:15,3,3,100,60,985,29.8,1.0,3,0,llama-8b,zero_shot,205,431.3,I/O-bound
64,2026-06-21 13:41:16,3,3,98,60,1945,11.0,1.0,3,0,llama-8b,zero_shot,206,452.9,I/O-bound
65,2026-06-21 13:42:16,3,3,114,60,1218,38.1,1.0,3,0,llama-8b,zero_shot,206,483.5,I/O-bound
66,2026-06-21 13:43:17,3,3,125,60,1406,36.8,1.0,3,0,llama-8b,zero_shot,206,400.5,I/O-bound
67,2026-06-21 13:44:18,3,3,68,60,1589,36.1,1.0,3,0,llama-8b,zero_shot,206,471.5,I/O-bound
68,2026-06-21 13:45:19,3,3,104,60,819,33.5,1.0,3,0,llama-8b,zero_shot,205,448.4,I/O-bound
69,2026-06-21 13:46:20,3,3,91,60,531,27.3,1.0,3,0,llama-8b,zero_shot,205,516.3,I/O-bound
70,2026-06-21 13:47:21,3,3,116,62,1462,16.8,1.0,3,0,llama-8b,zero_shot,206,488.4,I/O-bound
71,2026-06-21 13:48:22,3,3,110,62,905,33.2,1.0,3,0,llama-8b,zero_shot,205,459.4,I/O-bound
72,2026-06-21 13:49:23,3,3,56,63,1801,16.8,1.0,3,0,llama-8b,zero_shot,206,487.6,I/O-bound
73,2026-06-21 13:50:23,3,3,72,63,318,14.4,1.0,3,0,llama-8b,zero_shot,205,478.3,I/O-bound
74,2026-06-21 13:51:24,3,3,101,63,789,11.2,1.0,3,0,llama-8b,zero_shot,205,401.4,I/O-bound
