step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-22 14:12:28,3,3,11,173,1437,34.8,1.0,3,0,mistral-small4,cot,253,636.3,I/O-bound
1,2026-06-22 14:13:29,3,3,77,173,1535,31.2,1.0,3,0,mistral-small4,cot,254,224.5,I/O-bound
2,2026-06-22 14:14:29,3,3,78,173,1031,36.2,1.0,3,0,mistral-small4,cot,254,289.2,I/O-bound
3,2026-06-22 14:15:30,3,3,52,173,1088,32.1,1.0,3,0,mistral-small4,cot,254,299.3,I/O-bound
4,2026-06-22 14:16:31,3,3,53,173,1214,10.6,1.0,3,0,mistral-small4,cot,254,300.4,I/O-bound
5,2026-06-22 14:17:31,3,3,57,173,295,31.9,1.0,3,0,mistral-small4,cot,253,215.0,I/O-bound
6,2026-06-22 14:18:32,3,3,35,173,1494,32.8,1.0,3,0,mistral-small4,cot,254,261.0,I/O-bound
7,2026-06-22 14:19:33,3,3,75,174,1194,32.6,1.0,3,0,mistral-small4,cot,254,213.6,I/O-bound
8,2026-06-22 14:20:33,3,3,72,174,1552,25.5,1.0,3,0,mistral-small4,cot,254,264.8,I/O-bound
9,2026-06-22 14:21:34,3,3,83,174,1818,33.2,1.0,3,0,mistral-small4,cot,254,294.4,I/O-bound
10,2026-06-22 14:22:34,3,3,79,175,539,12.6,1.0,3,0,mistral-small4,cot,253,256.5,I/O-bound
11,2026-06-22 14:23:35,3,3,38,175,1830,34.2,1.0,3,0,mistral-small4,cot,254,277.7,I/O-bound
12,2026-06-22 14:24:36,3,3,104,176,2374,13.8,1.0,3,0,mistral-small4,cot,254,324.4,I/O-bound
13,2026-06-22 14:25:36,3,3,143,176,1590,36.5,1.0,3,0,mistral-small4,cot,254,308.7,I/O-bound
14,2026-06-22 14:26:37,3,3,170,176,1142,18.8,1.0,3,0,mistral-small4,cot,254,253.2,I/O-bound
15,2026-06-22 14:27:38,3,3,158,177,1289,33.1,1.0,3,0,mistral-small4,cot,254,315.8,I/O-bound
16,2026-06-22 14:28:39,3,3,103,176,1459,22.0,1.0,3,0,mistral-small4,cot,254,248.4,I/O-bound
17,2026-06-22 14:29:39,3,3,123,177,1056,36.1,1.0,3,0,mistral-small4,cot,254,239.7,I/O-bound
18,2026-06-22 14:30:40,3,3,103,177,1674,38.4,1.0,3,0,mistral-small4,cot,254,266.5,I/O-bound
19,2026-06-22 14:31:41,3,3,142,177,1061,33.0,1.0,3,0,mistral-small4,cot,254,291.0,I/O-bound
20,2026-06-22 14:32:41,3,3,101,177,1372,35.8,1.0,3,0,mistral-small4,cot,254,257.3,I/O-bound
21,2026-06-22 14:33:42,3,3,125,178,1609,15.4,1.0,3,0,mistral-small4,cot,254,256.3,I/O-bound
22,2026-06-22 14:34:43,3,3,76,179,1231,31.9,1.0,3,0,mistral-small4,cot,254,252.1,I/O-bound
23,2026-06-22 14:35:43,3,3,68,179,1330,31.8,1.0,3,0,mistral-small4,cot,254,274.9,I/O-bound
24,2026-06-22 14:36:44,3,3,65,179,1184,12.7,1.0,3,0,mistral-small4,cot,254,250.6,I/O-bound
25,2026-06-22 14:37:44,3,3,60,179,1024,13.4,1.0,3,0,mistral-small4,cot,254,209.3,I/O-bound
26,2026-06-22 14:38:45,3,3,70,179,1370,10.9,1.0,3,0,mistral-small4,cot,254,252.8,I/O-bound
27,2026-06-22 14:39:46,3,3,112,179,1941,11.6,1.0,3,0,mistral-small4,cot,254,254.5,I/O-bound
28,2026-06-22 14:40:46,3,3,62,179,917,32.6,1.0,3,0,mistral-small4,cot,253,242.0,I/O-bound
29,2026-06-22 14:41:47,3,3,92,180,1510,33.8,1.0,3,0,mistral-small4,cot,254,262.5,I/O-bound
30,2026-06-22 14:42:47,3,3,100,180,1563,11.4,1.0,3,0,mistral-small4,cot,254,245.0,I/O-bound
31,2026-06-22 14:43:48,3,3,105,180,1667,36.8,1.0,3,0,mistral-small4,cot,254,269.8,I/O-bound
32,2026-06-22 14:44:49,3,3,83,180,1307,32.2,1.0,3,0,mistral-small4,cot,254,684.5,I/O-bound
33,2026-06-22 14:45:50,3,3,81,181,1473,33.8,1.0,3,0,mistral-small4,cot,254,238.8,I/O-bound
34,2026-06-22 14:46:50,3,3,98,182,1803,25.9,1.0,3,0,mistral-small4,cot,254,270.7,I/O-bound
35,2026-06-22 14:47:51,3,3,94,182,1822,12.9,1.0,3,0,mistral-small4,cot,254,250.3,I/O-bound
36,2026-06-22 14:48:52,3,3,105,182,1951,40.1,1.0,3,0,mistral-small4,cot,254,742.4,I/O-bound
37,2026-06-22 14:49:53,3,3,80,182,1196,14.4,1.0,3,0,mistral-small4,cot,254,251.8,I/O-bound
38,2026-06-22 14:50:53,3,3,72,182,1303,33.8,1.0,3,0,mistral-small4,cot,254,264.1,I/O-bound
39,2026-06-22 14:51:54,3,3,108,183,1689,12.7,1.0,3,0,mistral-small4,cot,254,247.1,I/O-bound
40,2026-06-22 14:52:55,3,3,72,183,1241,32.9,1.0,3,0,mistral-small4,cot,254,253.0,I/O-bound
41,2026-06-22 14:53:55,3,3,107,183,1777,32.7,1.0,3,0,mistral-small4,cot,254,757.2,I/O-bound
42,2026-06-22 14:54:56,3,3,74,183,1295,34.6,1.0,3,0,mistral-small4,cot,254,259.0,I/O-bound
43,2026-06-22 14:55:57,3,3,22,184,385,35.3,1.0,3,0,mistral-small4,cot,252,289.2,I/O-bound
