step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-22 10:08:52,3,3,3,107,1437,28.7,1.0,3,0,mistral-small4,domain,295,680.6,I/O-bound
1,2026-06-22 10:09:53,3,3,70,107,1535,38.0,1.0,3,0,mistral-small4,domain,296,305.6,I/O-bound
2,2026-06-22 10:10:53,3,3,73,107,1031,32.0,1.0,3,0,mistral-small4,domain,296,508.8,I/O-bound
3,2026-06-22 10:11:54,3,3,52,107,1088,12.5,1.0,3,0,mistral-small4,domain,296,297.1,I/O-bound
4,2026-06-22 10:12:55,3,3,56,107,1214,13.2,1.0,3,0,mistral-small4,domain,296,269.2,I/O-bound
5,2026-06-22 10:13:55,3,3,61,107,295,33.2,1.0,3,0,mistral-small4,domain,295,277.3,I/O-bound
6,2026-06-22 10:14:56,3,3,15,108,1494,32.2,1.0,3,0,mistral-small4,domain,295,251.0,I/O-bound
7,2026-06-22 10:15:57,3,3,74,108,1194,32.6,1.0,3,0,mistral-small4,domain,296,242.0,I/O-bound
8,2026-06-22 10:16:57,3,3,82,108,1552,33.9,1.0,3,0,mistral-small4,domain,296,291.4,I/O-bound
9,2026-06-22 10:17:58,3,3,93,110,1818,32.5,1.0,3,0,mistral-small4,domain,296,261.9,I/O-bound
10,2026-06-22 10:18:59,3,3,65,110,539,35.4,1.0,3,0,mistral-small4,domain,295,245.4,I/O-bound
11,2026-06-22 10:19:59,3,3,82,110,1830,11.0,1.0,3,0,mistral-small4,domain,296,277.1,I/O-bound
12,2026-06-22 10:21:00,3,3,185,110,2374,15.3,1.0,3,0,mistral-small4,domain,296,228.9,I/O-bound
13,2026-06-22 10:22:01,3,3,249,110,1590,19.9,1.0,3,0,mistral-small4,domain,296,247.1,I/O-bound
14,2026-06-22 10:23:01,3,3,156,110,1142,36.8,1.0,3,0,mistral-small4,domain,296,261.9,I/O-bound
15,2026-06-22 10:24:02,3,3,97,110,1289,13.9,1.0,3,0,mistral-small4,domain,296,270.0,I/O-bound
16,2026-06-22 10:25:03,3,3,112,110,1459,36.3,1.0,3,0,mistral-small4,domain,296,264.3,I/O-bound
17,2026-06-22 10:26:03,3,3,113,110,1056,20.1,1.0,3,0,mistral-small4,domain,296,256.3,I/O-bound
18,2026-06-22 10:27:04,3,3,136,111,1674,26.8,1.0,3,0,mistral-small4,domain,296,247.9,I/O-bound
19,2026-06-22 10:28:05,3,3,124,112,1061,16.6,1.0,3,0,mistral-small4,domain,296,248.8,I/O-bound
20,2026-06-22 10:29:05,3,3,109,112,1372,14.0,1.0,3,0,mistral-small4,domain,296,259.4,I/O-bound
21,2026-06-22 10:30:06,3,3,87,113,1609,11.3,1.0,3,0,mistral-small4,domain,296,247.4,I/O-bound
22,2026-06-22 10:31:06,3,3,71,113,1231,13.9,1.0,3,0,mistral-small4,domain,296,251.8,I/O-bound
23,2026-06-22 10:32:07,3,3,71,113,1330,32.2,1.0,3,0,mistral-small4,domain,296,278.8,I/O-bound
24,2026-06-22 10:33:08,3,3,71,113,1184,36.6,1.0,3,0,mistral-small4,domain,296,244.8,I/O-bound
25,2026-06-22 10:34:08,3,3,58,113,1024,13.9,1.0,3,0,mistral-small4,domain,296,244.3,I/O-bound
26,2026-06-22 10:35:09,3,3,68,113,1370,35.1,1.0,3,0,mistral-small4,domain,296,270.1,I/O-bound
27,2026-06-22 10:36:09,3,3,92,113,1941,31.6,1.0,3,0,mistral-small4,domain,296,305.4,I/O-bound
28,2026-06-22 10:37:10,3,3,64,113,917,14.2,1.0,3,0,mistral-small4,domain,295,255.3,I/O-bound
29,2026-06-22 10:38:11,3,3,64,114,1510,33.0,1.0,3,0,mistral-small4,domain,296,239.5,I/O-bound
30,2026-06-22 10:39:11,3,3,92,114,1563,29.0,1.0,3,0,mistral-small4,domain,296,251.6,I/O-bound
31,2026-06-22 10:40:12,3,3,94,116,1667,34.7,1.0,3,0,mistral-small4,domain,296,250.1,I/O-bound
32,2026-06-22 10:41:13,3,3,63,116,1307,31.6,1.0,3,0,mistral-small4,domain,296,247.0,I/O-bound
33,2026-06-22 10:42:13,3,3,75,116,1473,31.3,1.0,3,0,mistral-small4,domain,296,246.2,I/O-bound
34,2026-06-22 10:43:14,3,3,91,116,1803,10.8,1.0,3,0,mistral-small4,domain,296,217.8,I/O-bound
35,2026-06-22 10:44:14,3,3,93,116,1822,11.6,1.0,3,0,mistral-small4,domain,296,249.4,I/O-bound
36,2026-06-22 10:45:15,3,3,107,116,1951,13.9,1.0,3,0,mistral-small4,domain,296,256.2,I/O-bound
37,2026-06-22 10:46:16,3,3,71,116,1196,26.6,1.0,3,0,mistral-small4,domain,296,261.1,I/O-bound
38,2026-06-22 10:47:16,3,3,80,117,1303,35.9,1.0,3,0,mistral-small4,domain,296,263.0,I/O-bound
39,2026-06-22 10:48:17,3,3,101,117,1689,32.6,1.0,3,0,mistral-small4,domain,296,255.2,I/O-bound
40,2026-06-22 10:49:18,3,3,75,117,1241,14.7,1.0,3,0,mistral-small4,domain,296,259.7,I/O-bound
41,2026-06-22 10:50:18,3,3,105,119,1777,29.8,1.0,3,0,mistral-small4,domain,296,253.2,I/O-bound
42,2026-06-22 10:51:19,3,3,75,119,1295,33.0,1.0,3,0,mistral-small4,domain,296,222.6,I/O-bound
43,2026-06-22 10:52:19,3,3,23,119,385,10.8,1.0,3,0,mistral-small4,domain,294,264.7,I/O-bound
44,2026-06-22 10:53:20,3,3,113,119,1965,35.8,1.0,3,0,mistral-small4,domain,296,253.6,I/O-bound
