step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-22 08:07:07,3,3,4,92,1437,33.7,1.0,3,0,mistral-small4,zero_shot,201,674.0,I/O-bound
1,2026-06-22 08:08:08,3,3,178,74,1535,35.5,1.0,3,0,mistral-small4,zero_shot,202,304.3,I/O-bound
2,2026-06-22 08:09:09,3,3,198,74,1031,19.1,1.0,3,0,mistral-small4,zero_shot,202,298.1,I/O-bound
3,2026-06-22 08:10:09,3,3,135,74,1088,36.9,1.0,3,0,mistral-small4,zero_shot,202,251.7,I/O-bound
4,2026-06-22 08:11:10,3,3,142,74,1214,21.4,1.0,3,0,mistral-small4,zero_shot,202,300.8,I/O-bound
5,2026-06-22 08:12:11,3,3,155,75,295,38.4,1.0,3,0,mistral-small4,zero_shot,201,309.0,I/O-bound
6,2026-06-22 08:13:12,3,3,155,76,1494,36.5,1.0,3,0,mistral-small4,zero_shot,202,279.5,I/O-bound
7,2026-06-22 08:14:12,3,3,152,76,1194,35.4,1.0,3,0,mistral-small4,zero_shot,202,263.4,I/O-bound
8,2026-06-22 08:15:13,3,3,165,77,1552,35.2,1.0,3,0,mistral-small4,zero_shot,202,279.6,I/O-bound
9,2026-06-22 08:16:14,3,3,188,77,1818,37.5,1.0,3,0,mistral-small4,zero_shot,202,260.4,I/O-bound
10,2026-06-22 08:17:15,3,3,131,77,539,33.8,1.0,3,0,mistral-small4,zero_shot,201,255.8,I/O-bound
11,2026-06-22 08:18:16,3,3,152,77,1830,33.4,1.0,3,0,mistral-small4,zero_shot,202,276.3,I/O-bound
12,2026-06-22 08:19:16,3,3,245,77,2374,13.0,1.0,3,0,mistral-small4,zero_shot,202,325.7,I/O-bound
13,2026-06-22 08:20:17,3,3,226,77,1590,16.9,1.0,3,0,mistral-small4,zero_shot,202,248.2,I/O-bound
14,2026-06-22 08:21:18,3,3,115,77,1142,28.3,1.0,3,0,mistral-small4,zero_shot,202,300.8,I/O-bound
15,2026-06-22 08:22:18,3,3,95,77,1289,32.1,1.0,3,0,mistral-small4,zero_shot,202,264.9,I/O-bound
16,2026-06-22 08:23:19,3,3,125,78,1459,36.4,1.0,3,0,mistral-small4,zero_shot,202,271.9,I/O-bound
17,2026-06-22 08:24:20,3,3,115,78,1056,33.1,1.0,3,0,mistral-small4,zero_shot,202,247.2,I/O-bound
18,2026-06-22 08:25:20,3,3,104,79,1674,14.1,1.0,3,0,mistral-small4,zero_shot,202,252.3,I/O-bound
19,2026-06-22 08:26:21,3,3,95,80,1061,33.1,1.0,3,0,mistral-small4,zero_shot,202,271.4,I/O-bound
20,2026-06-22 08:27:22,3,3,79,80,1372,32.9,1.0,3,0,mistral-small4,zero_shot,202,260.7,I/O-bound
21,2026-06-22 08:28:22,3,3,79,80,1609,33.1,1.0,3,0,mistral-small4,zero_shot,202,260.5,I/O-bound
22,2026-06-22 08:29:23,3,3,81,80,1231,21.5,1.0,3,0,mistral-small4,zero_shot,202,292.0,I/O-bound
23,2026-06-22 08:30:24,3,3,73,80,1330,32.6,1.0,3,0,mistral-small4,zero_shot,202,261.1,I/O-bound
24,2026-06-22 08:31:24,3,3,69,80,1184,12.6,1.0,3,0,mistral-small4,zero_shot,202,240.2,I/O-bound
25,2026-06-22 08:32:25,3,3,66,80,1024,26.6,1.0,3,0,mistral-small4,zero_shot,202,307.0,I/O-bound
26,2026-06-22 08:33:26,3,3,67,80,1370,13.4,1.0,3,0,mistral-small4,zero_shot,202,292.3,I/O-bound
27,2026-06-22 08:34:26,3,3,104,80,1941,10.7,1.0,3,0,mistral-small4,zero_shot,202,262.3,I/O-bound
28,2026-06-22 08:35:27,3,3,53,81,917,33.3,1.0,3,0,mistral-small4,zero_shot,201,268.3,I/O-bound
29,2026-06-22 08:36:27,3,3,89,81,1510,32.9,1.0,3,0,mistral-small4,zero_shot,202,266.9,I/O-bound
30,2026-06-22 08:37:28,3,3,86,83,1563,10.6,1.0,3,0,mistral-small4,zero_shot,202,272.7,I/O-bound
31,2026-06-22 08:38:29,3,3,92,83,1667,34.0,1.0,3,0,mistral-small4,zero_shot,202,244.9,I/O-bound
32,2026-06-22 08:39:29,3,3,71,83,1307,12.0,1.0,3,0,mistral-small4,zero_shot,202,236.6,I/O-bound
33,2026-06-22 08:40:30,3,3,81,83,1473,33.2,1.0,3,0,mistral-small4,zero_shot,202,255.9,I/O-bound
34,2026-06-22 08:41:31,3,3,102,83,1803,10.9,1.0,3,0,mistral-small4,zero_shot,202,274.7,I/O-bound
35,2026-06-22 08:42:31,3,3,106,83,1822,32.2,1.0,3,0,mistral-small4,zero_shot,202,241.7,I/O-bound
36,2026-06-22 08:43:32,3,3,120,83,1951,16.1,1.0,3,0,mistral-small4,zero_shot,202,249.6,I/O-bound
37,2026-06-22 08:44:32,3,3,80,83,1196,32.6,1.0,3,0,mistral-small4,zero_shot,202,254.0,I/O-bound
38,2026-06-22 08:45:33,3,3,77,84,1303,15.5,1.0,3,0,mistral-small4,zero_shot,202,325.7,I/O-bound
