step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-24 03:47:17,4,3,25,70,1437,35.6,1.0,4,1,qwen3-80b,cot,749,92306.5,I/O-bound
1,2026-06-24 03:49:50,4,4,132,83,1535,33.5,1.0,4,0,qwen3-80b,cot,246,31136.4,I/O-bound
2,2026-06-24 03:51:21,4,4,147,84,1031,36.7,1.0,4,0,qwen3-80b,cot,515,6658.1,I/O-bound
3,2026-06-24 03:52:28,4,4,74,84,1088,35.3,1.0,4,0,qwen3-80b,cot,493,35756.1,I/O-bound
4,2026-06-24 03:54:04,4,4,195,84,1214,35.4,1.0,4,0,qwen3-80b,cot,542,91355.3,I/O-bound
5,2026-06-24 03:56:36,4,4,159,84,295,32.8,1.0,4,0,qwen3-80b,cot,443,50265.5,I/O-bound
6,2026-06-24 03:58:27,4,4,139,85,1494,31.7,1.0,4,0,qwen3-80b,cot,444,66664.4,I/O-bound
7,2026-06-24 04:00:34,4,4,160,86,1194,33.3,1.0,4,0,qwen3-80b,cot,594,48574.6,I/O-bound
8,2026-06-24 04:02:23,4,4,64,86,1552,11.5,1.0,4,0,qwen3-80b,cot,492,13388.0,I/O-bound
9,2026-06-24 04:03:37,4,4,80,86,1818,32.6,1.0,4,0,qwen3-80b,cot,246,44298.8,I/O-bound
10,2026-06-24 04:05:21,4,4,60,88,539,12.6,1.0,4,0,qwen3-80b,cot,245,77601.1,I/O-bound
11,2026-06-24 04:07:39,4,4,73,88,1830,10.9,1.0,4,0,qwen3-80b,cot,246,45193.2,I/O-bound
12,2026-06-24 04:09:25,20,4,98,88,2374,38.1,1.0,20,1,qwen3-80b,cot,750,61600.8,I/O-bound
13,2026-06-24 04:11:27,20,16,90,221,1590,35.7,1.0,20,0,qwen3-80b,cot,751,82873.3,I/O-bound
14,2026-06-24 04:13:50,16,16,83,221,1142,33.7,1.0,16,1,qwen3-80b,cot,248,68983.3,I/O-bound
15,2026-06-24 04:16:00,16,16,61,224,1289,11.9,1.0,16,0,qwen3-80b,cot,572,40061.4,I/O-bound
16,2026-06-24 04:17:40,16,16,100,233,1459,12.0,1.0,16,0,qwen3-80b,cot,248,4338.4,I/O-bound
17,2026-06-24 04:18:45,16,16,108,233,1056,34.2,1.0,16,0,qwen3-80b,cot,572,36606.1,I/O-bound
18,2026-06-24 04:20:22,1,16,83,233,1674,35.2,1.0,1,1,qwen3-80b,cot,751,40226.4,I/O-bound
19,2026-06-24 04:22:02,1,1,98,48,1061,13.3,1.0,1,0,qwen3-80b,cot,246,159922.1,I/O-bound
20,2026-06-24 04:25:43,1,1,74,49,1372,15.0,1.0,1,0,qwen3-80b,cot,535,97396.1,I/O-bound
21,2026-06-24 04:28:20,1,1,86,50,1609,15.8,1.0,1,0,qwen3-80b,cot,437,103312.4,I/O-bound
22,2026-06-24 04:31:04,1,1,30,50,1231,34.9,1.0,1,0,qwen3-80b,cot,500,97293.9,I/O-bound
23,2026-06-24 04:33:42,1,1,139,51,1330,18.7,1.0,1,0,qwen3-80b,cot,446,449738.9,I/O-bound
24,2026-06-24 04:42:12,1,1,116,54,1184,10.6,1.0,1,0,qwen3-80b,cot,552,224331.0,I/O-bound
25,2026-06-24 04:46:57,1,1,98,55,1024,35.2,1.0,1,0,qwen3-80b,cot,475,133637.5,I/O-bound
26,2026-06-24 04:50:11,1,1,106,56,1370,34.0,1.0,1,0,qwen3-80b,cot,247,93235.6,I/O-bound
27,2026-06-24 04:52:44,1,1,80,57,1941,36.0,1.0,1,0,qwen3-80b,cot,246,94571.1,I/O-bound
28,2026-06-24 04:55:19,1,1,82,57,917,21.6,1.0,1,0,qwen3-80b,cot,245,109341.6,I/O-bound
29,2026-06-24 04:58:09,1,1,89,58,1510,34.4,1.0,1,0,qwen3-80b,cot,246,133520.0,I/O-bound
30,2026-06-24 05:01:23,1,1,20,58,1563,35.3,1.0,1,0,qwen3-80b,cot,246,38270.1,I/O-bound
31,2026-06-24 05:03:01,1,1,34,59,1667,33.1,1.0,1,0,qwen3-80b,cot,424,125271.6,I/O-bound
32,2026-06-24 05:06:07,1,1,95,59,1307,14.1,1.0,1,0,qwen3-80b,cot,246,75250.7,I/O-bound
33,2026-06-24 05:08:23,1,1,80,60,1473,27.0,1.0,1,0,qwen3-80b,cot,409,117797.5,I/O-bound
34,2026-06-24 05:11:21,1,1,54,61,1803,13.5,1.0,1,0,qwen3-80b,cot,574,42104.6,I/O-bound
35,2026-06-24 05:13:03,1,1,50,61,1822,13.5,1.0,1,0,qwen3-80b,cot,246,61093.7,I/O-bound
36,2026-06-24 05:15:05,1,1,46,62,1951,12.1,1.0,1,0,qwen3-80b,cot,246,61801.5,I/O-bound
37,2026-06-24 05:17:07,1,1,67,62,1196,26.7,1.0,1,0,qwen3-80b,cot,444,127068.1,I/O-bound
38,2026-06-24 05:20:14,1,1,70,63,1303,13.5,1.0,1,0,qwen3-80b,cot,458,7945.4,I/O-bound
39,2026-06-24 05:21:23,1,1,54,63,1689,23.9,1.0,1,0,qwen3-80b,cot,548,24548.5,I/O-bound
40,2026-06-24 05:22:47,1,1,38,64,1241,13.0,1.0,1,0,qwen3-80b,cot,493,71631.0,I/O-bound
41,2026-06-24 05:24:59,1,1,54,64,1777,13.1,1.0,1,0,qwen3-80b,cot,503,95746.4,I/O-bound
42,2026-06-24 05:27:35,1,1,41,65,1295,10.8,1.0,1,0,qwen3-80b,cot,246,20014.3,I/O-bound
43,2026-06-24 05:28:56,1,1,61,65,385,14.0,1.0,1,0,qwen3-80b,cot,504,73053.4,I/O-bound
44,2026-06-24 05:31:09,1,1,144,67,1965,19.3,1.0,1,0,qwen3-80b,cot,407,7771.3,I/O-bound
45,2026-06-24 05:32:17,1,1,173,67,1366,32.4,1.0,1,0,qwen3-80b,cot,440,84970.2,I/O-bound
46,2026-06-24 05:34:43,1,1,76,68,1985,10.5,1.0,1,0,qwen3-80b,cot,422,58580.7,I/O-bound
47,2026-06-24 05:36:42,1,1,69,69,1515,12.9,1.0,1,0,qwen3-80b,cot,530,68556.7,I/O-bound
48,2026-06-24 05:38:51,1,1,75,69,1086,42.8,1.0,1,0,qwen3-80b,cot,423,4494.7,I/O-bound
49,2026-06-24 05:39:55,1,1,49,70,1639,13.3,1.0,1,0,qwen3-80b,cot,431,33554.4,I/O-bound
50,2026-06-24 05:41:29,1,1,104,70,1792,12.5,1.0,1,0,qwen3-80b,cot,247,1028.0,I/O-bound
51,2026-06-24 05:42:31,1,1,73,70,1878,35.5,1.0,1,0,qwen3-80b,cot,568,4596.9,I/O-bound
52,2026-06-24 05:43:36,1,1,64,71,1455,31.6,1.0,1,0,qwen3-80b,cot,246,30724.6,I/O-bound
53,2026-06-24 05:45:07,1,1,97,71,1697,12.1,1.0,1,0,qwen3-80b,cot,246,34368.0,I/O-bound
54,2026-06-24 05:46:41,1,1,86,72,1859,25.3,1.0,1,0,qwen3-80b,cot,553,3891.7,I/O-bound
55,2026-06-24 05:47:46,1,1,1,72,954,18.6,1.0,1,0,qwen3-80b,cot,477,59541.3,I/O-bound
56,2026-06-24 05:49:45,1,1,1,72,1475,32.1,1.0,1,0,qwen3-80b,cot,245,583.6,I/O-bound
57,2026-06-24 05:50:46,1,1,1,72,1475,32.1,1.0,1,0,qwen3-80b,cot,245,33614.1,I/O-bound
58,2026-06-24 05:52:20,1,1,1,72,1784,26.9,1.0,1,0,qwen3-80b,cot,245,56817.1,I/O-bound
59,2026-06-24 05:54:18,1,1,1,72,1563,32.2,1.0,1,0,qwen3-80b,cot,501,49016.5,I/O-bound
60,2026-06-24 05:56:07,1,1,1,72,861,33.4,1.0,1,0,qwen3-80b,cot,244,618.9,I/O-bound
61,2026-06-24 05:57:08,1,1,1,72,1143,33.2,1.0,1,0,qwen3-80b,cot,245,1015.5,I/O-bound
62,2026-06-24 05:58:10,1,1,1,72,1637,35.2,1.0,1,0,qwen3-80b,cot,245,25193.6,I/O-bound
