step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-23 23:04:08,1,3,3,305,1437,34.9,1.0,1,1,qwen3-80b,domain,288,893.2,I/O-bound
1,2026-06-23 23:05:10,1,1,103,103,1535,13.9,1.0,1,0,qwen3-80b,domain,290,4087.6,I/O-bound
2,2026-06-23 23:06:14,5,1,116,103,1031,28.2,1.0,5,1,qwen3-80b,domain,290,1583.7,I/O-bound
3,2026-06-23 23:07:16,1,5,109,148,1088,33.1,1.0,1,1,qwen3-80b,domain,288,499.7,I/O-bound
4,2026-06-23 23:08:18,1,1,109,103,1214,34.7,1.0,1,0,qwen3-80b,domain,290,535.2,I/O-bound
5,2026-06-23 23:09:18,1,1,69,104,295,32.0,1.0,1,0,qwen3-80b,domain,288,542.2,I/O-bound
6,2026-06-23 23:10:19,5,1,84,104,1494,18.8,1.0,5,1,qwen3-80b,domain,289,660.9,I/O-bound
7,2026-06-23 23:11:21,1,5,88,149,1194,10.8,1.0,1,1,qwen3-80b,domain,288,497.9,I/O-bound
8,2026-06-23 23:12:21,1,1,61,104,1552,32.6,1.0,1,0,qwen3-80b,domain,289,752.5,I/O-bound
9,2026-06-23 23:13:23,1,1,85,104,1818,13.4,1.0,1,0,qwen3-80b,domain,289,874.5,I/O-bound
10,2026-06-23 23:14:24,2,1,99,105,539,34.9,1.0,2,1,qwen3-80b,domain,288,577.6,I/O-bound
11,2026-06-23 23:15:25,1,2,47,116,1830,36.0,1.0,1,1,qwen3-80b,domain,288,495.5,I/O-bound
12,2026-06-23 23:16:26,1,1,167,105,2374,32.8,1.0,1,0,qwen3-80b,domain,290,599.9,I/O-bound
13,2026-06-23 23:17:27,1,1,92,106,1590,13.8,1.0,1,0,qwen3-80b,domain,289,1257.7,I/O-bound
14,2026-06-23 23:18:28,1,1,57,106,1142,23.6,1.0,1,0,qwen3-80b,domain,289,584.0,I/O-bound
15,2026-06-23 23:19:29,5,1,69,106,1289,32.5,1.0,5,1,qwen3-80b,domain,289,508.6,I/O-bound
16,2026-06-23 23:20:30,5,5,86,150,1459,33.7,1.0,5,0,qwen3-80b,domain,288,498.4,I/O-bound
17,2026-06-23 23:21:31,5,5,65,151,1056,34.5,1.0,5,0,qwen3-80b,domain,288,490.3,I/O-bound
18,2026-06-23 23:22:32,1,5,88,154,1674,10.9,1.0,1,1,qwen3-80b,domain,288,495.4,I/O-bound
19,2026-06-23 23:23:33,3,1,53,106,1061,33.7,1.0,3,1,qwen3-80b,domain,289,488.6,I/O-bound
20,2026-06-23 23:24:34,1,3,71,130,1372,33.2,1.0,1,1,qwen3-80b,domain,288,567.8,I/O-bound
21,2026-06-23 23:25:35,1,1,86,107,1609,33.3,1.0,1,0,qwen3-80b,domain,289,2311.6,I/O-bound
22,2026-06-23 23:26:38,1,1,62,107,1231,11.3,1.0,1,0,qwen3-80b,domain,289,817.7,I/O-bound
23,2026-06-23 23:27:39,1,1,69,107,1330,34.8,1.0,1,0,qwen3-80b,domain,289,480.2,I/O-bound
24,2026-06-23 23:28:40,4,1,68,108,1184,32.9,1.0,4,1,qwen3-80b,domain,289,681.5,I/O-bound
25,2026-06-23 23:29:41,4,4,68,141,1024,33.0,1.0,4,0,qwen3-80b,domain,288,536.2,I/O-bound
26,2026-06-23 23:30:42,1,4,74,144,1370,13.1,1.0,1,1,qwen3-80b,domain,288,486.6,I/O-bound
27,2026-06-23 23:31:43,2,1,104,108,1941,34.3,1.0,2,1,qwen3-80b,domain,290,523.0,I/O-bound
28,2026-06-23 23:32:44,1,2,46,119,917,14.3,1.0,1,1,qwen3-80b,domain,287,2413.9,I/O-bound
29,2026-06-23 23:33:47,1,1,87,108,1510,13.4,1.0,1,0,qwen3-80b,domain,289,500.8,I/O-bound
30,2026-06-23 23:34:47,1,1,86,109,1563,12.6,1.0,1,0,qwen3-80b,domain,289,488.8,I/O-bound
31,2026-06-23 23:35:48,1,1,97,109,1667,16.9,1.0,1,0,qwen3-80b,domain,289,495.7,I/O-bound
32,2026-06-23 23:36:49,5,1,77,109,1307,32.6,1.0,5,1,qwen3-80b,domain,289,495.1,I/O-bound
33,2026-06-23 23:37:50,1,5,106,153,1473,32.3,1.0,1,1,qwen3-80b,domain,288,888.3,I/O-bound
34,2026-06-23 23:38:51,1,1,117,110,1803,23.7,1.0,1,0,qwen3-80b,domain,290,508.2,I/O-bound
35,2026-06-23 23:39:52,1,1,115,110,1822,34.1,1.0,1,0,qwen3-80b,domain,290,3006.8,I/O-bound
36,2026-06-23 23:40:56,1,1,133,110,1951,14.4,1.0,1,0,qwen3-80b,domain,290,523.6,I/O-bound
37,2026-06-23 23:41:57,1,1,86,111,1196,37.8,1.0,1,0,qwen3-80b,domain,289,498.9,I/O-bound
38,2026-06-23 23:42:57,1,1,90,111,1303,36.9,1.0,1,0,qwen3-80b,domain,289,507.2,I/O-bound
39,2026-06-23 23:43:58,2,1,113,111,1689,33.3,1.0,2,1,qwen3-80b,domain,290,523.3,I/O-bound
40,2026-06-23 23:44:59,2,2,79,122,1241,33.2,1.0,2,0,qwen3-80b,domain,288,558.5,I/O-bound
41,2026-06-23 23:46:00,2,2,105,124,1777,12.1,1.0,2,0,qwen3-80b,domain,288,539.5,I/O-bound
42,2026-06-23 23:47:01,2,2,82,124,1295,29.1,1.0,2,0,qwen3-80b,domain,288,476.1,I/O-bound
43,2026-06-23 23:48:02,1,2,22,124,385,33.5,1.0,1,1,qwen3-80b,domain,287,583.0,I/O-bound
44,2026-06-23 23:49:03,1,1,117,112,1965,34.1,1.0,1,0,qwen3-80b,domain,290,2715.7,I/O-bound
45,2026-06-23 23:50:06,1,1,81,112,1366,36.4,1.0,1,0,qwen3-80b,domain,289,677.9,I/O-bound
46,2026-06-23 23:51:07,1,1,120,113,1985,13.5,1.0,1,0,qwen3-80b,domain,290,520.2,I/O-bound
47,2026-06-23 23:52:08,1,1,92,113,1515,15.9,1.0,1,0,qwen3-80b,domain,289,1181.1,I/O-bound
48,2026-06-23 23:53:10,5,1,65,113,1086,31.7,1.0,5,1,qwen3-80b,domain,289,478.2,I/O-bound
49,2026-06-23 23:54:11,5,5,98,158,1639,33.7,1.0,5,0,qwen3-80b,domain,288,508.4,I/O-bound
50,2026-06-23 23:55:12,1,5,104,162,1792,40.3,1.0,1,1,qwen3-80b,domain,288,484.1,I/O-bound
51,2026-06-23 23:56:13,1,1,92,114,1878,31.6,1.0,1,0,qwen3-80b,domain,289,670.1,I/O-bound
52,2026-06-23 23:57:14,1,1,101,114,1455,31.9,1.0,1,0,qwen3-80b,domain,290,476.6,I/O-bound
53,2026-06-23 23:58:14,1,1,116,115,1697,16.9,1.0,1,0,qwen3-80b,domain,290,613.9,I/O-bound
54,2026-06-23 23:59:15,1,1,94,115,1859,17.6,1.0,1,0,qwen3-80b,domain,289,502.5,I/O-bound
55,2026-06-24 00:00:16,1,1,69,115,954,33.0,1.0,1,0,qwen3-80b,domain,288,1034.8,I/O-bound
56,2026-06-24 00:01:18,1,1,96,115,1475,19.6,1.0,1,0,qwen3-80b,domain,289,495.5,I/O-bound
57,2026-06-24 00:02:19,5,1,100,116,1475,16.4,1.0,5,1,qwen3-80b,domain,290,509.8,I/O-bound
58,2026-06-24 00:03:20,1,5,121,161,1784,31.9,1.0,1,1,qwen3-80b,domain,288,490.8,I/O-bound
59,2026-06-24 00:04:21,1,1,102,11,1563,22.2,1.0,1,0,qwen3-80b,domain,289,515.5,I/O-bound
60,2026-06-24 00:05:21,3,1,62,12,861,32.4,1.0,3,1,qwen3-80b,domain,287,503.8,I/O-bound
61,2026-06-24 00:06:22,1,3,85,34,1143,32.2,1.0,1,1,qwen3-80b,domain,288,524.1,I/O-bound
62,2026-06-24 00:07:23,5,1,79,12,1637,32.7,1.0,5,1,qwen3-80b,domain,288,501.6,I/O-bound
63,2026-06-24 00:08:24,1,5,78,56,985,30.2,1.0,1,1,qwen3-80b,domain,287,632.0,I/O-bound
64,2026-06-24 00:09:26,1,1,70,13,1945,33.0,1.0,1,0,qwen3-80b,domain,288,472.1,I/O-bound
65,2026-06-24 00:10:26,5,1,73,13,1218,26.6,1.0,5,1,qwen3-80b,domain,288,3152.9,I/O-bound
66,2026-06-24 00:11:30,1,5,98,57,1406,10.8,1.0,1,1,qwen3-80b,domain,288,734.1,I/O-bound
67,2026-06-24 00:12:31,4,1,49,13,1589,32.2,1.0,4,1,qwen3-80b,domain,288,571.3,I/O-bound
68,2026-06-24 00:13:32,1,4,30,46,819,35.3,1.0,1,1,qwen3-80b,domain,286,873.3,I/O-bound
69,2026-06-24 00:14:34,1,1,87,14,531,36.0,1.0,1,0,qwen3-80b,domain,287,1656.2,I/O-bound
70,2026-06-24 00:15:36,4,1,47,14,1462,32.5,1.0,4,1,qwen3-80b,domain,288,658.8,I/O-bound
71,2026-06-24 00:16:37,1,4,114,47,905,27.1,1.0,1,1,qwen3-80b,domain,287,511.5,I/O-bound
72,2026-06-24 00:17:38,1,1,18,14,1801,32.4,1.0,1,0,qwen3-80b,domain,288,527.6,I/O-bound
73,2026-06-24 00:18:39,1,1,47,14,318,33.1,1.0,1,0,qwen3-80b,domain,287,518.7,I/O-bound
74,2026-06-24 00:19:40,4,1,39,14,789,33.0,1.0,4,1,qwen3-80b,domain,287,551.8,I/O-bound
75,2026-06-24 00:20:41,1,4,64,47,754,12.5,1.0,1,1,qwen3-80b,domain,287,676.7,I/O-bound
76,2026-06-24 00:21:42,5,1,47,15,1191,21.6,1.0,5,1,qwen3-80b,domain,288,488.0,I/O-bound
77,2026-06-24 00:22:43,1,5,71,59,1024,30.0,1.0,1,1,qwen3-80b,domain,288,470.9,I/O-bound
78,2026-06-24 00:23:44,8,1,62,15,1507,11.3,1.0,8,1,qwen3-80b,domain,288,484.0,I/O-bound
79,2026-06-24 00:24:44,1,8,68,93,1657,13.6,1.0,1,1,qwen3-80b,domain,287,528.1,I/O-bound
80,2026-06-24 00:25:45,1,1,27,15,1752,12.2,1.0,1,0,qwen3-80b,domain,288,496.4,I/O-bound
81,2026-06-24 00:26:46,4,1,35,15,728,35.5,1.0,4,1,qwen3-80b,domain,287,1025.7,I/O-bound
82,2026-06-24 00:27:48,1,4,49,48,874,14.0,1.0,1,1,qwen3-80b,domain,287,476.9,I/O-bound
83,2026-06-24 00:28:49,1,1,50,16,1160,26.7,1.0,1,0,qwen3-80b,domain,288,487.8,I/O-bound
84,2026-06-24 00:29:49,5,1,52,16,1259,11.8,1.0,5,1,qwen3-80b,domain,288,838.0,I/O-bound
85,2026-06-24 00:30:51,1,5,57,61,1349,30.0,1.0,1,1,qwen3-80b,domain,288,1074.4,I/O-bound
86,2026-06-24 00:31:52,5,1,51,12,1398,12.5,1.0,5,1,qwen3-80b,domain,288,511.8,I/O-bound
87,2026-06-24 00:32:53,1,5,29,56,1378,12.1,1.0,1,1,qwen3-80b,domain,287,515.2,I/O-bound
88,2026-06-24 00:33:54,1,1,61,12,702,14.0,1.0,1,0,qwen3-80b,domain,287,920.1,I/O-bound
89,2026-06-24 00:34:55,1,1,45,12,1609,13.5,1.0,1,0,qwen3-80b,domain,288,515.1,I/O-bound
90,2026-06-24 00:35:56,5,1,76,13,1172,13.7,1.0,5,1,qwen3-80b,domain,288,495.8,I/O-bound
91,2026-06-24 00:36:57,1,5,78,57,1902,10.9,1.0,1,1,qwen3-80b,domain,288,568.9,I/O-bound
92,2026-06-24 00:37:58,1,1,53,13,2212,14.5,1.0,1,0,qwen3-80b,domain,288,503.7,I/O-bound
93,2026-06-24 00:38:59,1,1,62,13,1445,13.3,1.0,1,0,qwen3-80b,domain,288,514.7,I/O-bound
