step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-24 01:06:54,3,3,8,97,1437,32.6,1.0,3,0,qwen3-80b,history_5,202,867.5,I/O-bound
1,2026-06-24 01:07:55,3,3,180,43,1535,34.8,1.0,3,0,qwen3-80b,history_5,238,523.1,I/O-bound
2,2026-06-24 01:08:57,3,3,122,44,1031,32.3,1.0,3,0,qwen3-80b,history_5,274,710.6,I/O-bound
3,2026-06-24 01:09:58,3,3,88,44,1088,33.0,1.0,3,0,qwen3-80b,history_5,310,1288.6,I/O-bound
4,2026-06-24 01:10:59,3,3,119,45,1214,35.9,1.0,3,0,qwen3-80b,history_5,346,2233.7,I/O-bound
5,2026-06-24 01:12:02,1,3,78,46,295,32.9,1.0,1,1,qwen3-80b,history_5,381,1151.3,I/O-bound
6,2026-06-24 01:13:04,1,1,57,21,1494,15.2,1.0,1,0,qwen3-80b,history_5,382,2666.1,I/O-bound
7,2026-06-24 01:14:07,2,1,104,21,1194,34.4,1.0,2,1,qwen3-80b,history_5,383,495.6,I/O-bound
8,2026-06-24 01:15:08,1,2,83,32,1552,14.2,1.0,1,1,qwen3-80b,history_5,383,478.9,I/O-bound
9,2026-06-24 01:16:09,2,1,80,21,1818,32.3,1.0,2,1,qwen3-80b,history_5,383,1059.9,I/O-bound
10,2026-06-24 01:17:10,1,2,82,33,539,13.8,1.0,1,1,qwen3-80b,history_5,382,512.6,I/O-bound
11,2026-06-24 01:18:11,2,1,78,22,1830,37.2,1.0,2,1,qwen3-80b,history_5,383,494.7,I/O-bound
12,2026-06-24 01:19:12,1,2,124,34,2374,32.9,1.0,1,1,qwen3-80b,history_5,383,504.4,I/O-bound
13,2026-06-24 01:20:13,1,1,83,22,1590,13.1,1.0,1,0,qwen3-80b,history_5,382,521.2,I/O-bound
14,2026-06-24 01:21:14,1,1,69,23,1142,35.8,1.0,1,0,qwen3-80b,history_5,382,1151.2,I/O-bound
15,2026-06-24 01:22:16,1,1,71,23,1289,14.0,1.0,1,0,qwen3-80b,history_5,382,507.6,I/O-bound
16,2026-06-24 01:23:16,1,1,83,23,1459,13.0,1.0,1,0,qwen3-80b,history_5,383,691.8,I/O-bound
17,2026-06-24 01:24:17,1,1,57,24,1056,33.7,1.0,1,0,qwen3-80b,history_5,383,507.8,I/O-bound
18,2026-06-24 01:25:18,1,1,96,24,1674,32.7,1.0,1,0,qwen3-80b,history_5,383,546.1,I/O-bound
19,2026-06-24 01:26:19,1,1,72,24,1061,11.9,1.0,1,0,qwen3-80b,history_5,383,506.1,I/O-bound
20,2026-06-24 01:27:20,1,1,65,24,1372,32.4,1.0,1,0,qwen3-80b,history_5,383,750.1,I/O-bound
