step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-23 21:01:26,3,3,100,239,1437,14.5,1.0,3,0,qwen3-80b,zero_shot,195,1066.6,I/O-bound
1,2026-06-23 21:02:28,3,3,186,239,1535,42.2,1.0,3,0,qwen3-80b,zero_shot,195,1521.4,I/O-bound
2,2026-06-23 21:03:29,3,3,192,240,1031,33.9,1.0,3,0,qwen3-80b,zero_shot,195,789.1,I/O-bound
3,2026-06-23 21:04:31,3,3,102,240,1088,38.2,1.0,3,0,qwen3-80b,zero_shot,195,485.4,I/O-bound
4,2026-06-23 21:05:32,3,3,146,241,1214,35.9,1.0,3,0,qwen3-80b,zero_shot,195,1470.7,I/O-bound
5,2026-06-23 21:06:33,3,3,116,242,295,21.7,1.0,3,0,qwen3-80b,zero_shot,194,476.1,I/O-bound
6,2026-06-23 21:07:34,3,3,106,242,1494,14.0,1.0,3,0,qwen3-80b,zero_shot,195,1026.4,I/O-bound
7,2026-06-23 21:08:36,3,3,144,242,1194,25.9,1.0,3,0,qwen3-80b,zero_shot,195,507.6,I/O-bound
8,2026-06-23 21:09:36,3,3,87,242,1552,11.1,1.0,3,0,qwen3-80b,zero_shot,195,560.7,I/O-bound
9,2026-06-23 21:10:37,3,3,152,243,1818,43.2,1.0,3,0,qwen3-80b,zero_shot,195,507.0,I/O-bound
10,2026-06-23 21:11:38,3,3,176,244,539,34.1,1.0,3,0,qwen3-80b,zero_shot,194,498.9,I/O-bound
11,2026-06-23 21:12:39,3,3,109,245,1830,30.9,1.0,3,0,qwen3-80b,zero_shot,195,513.2,I/O-bound
12,2026-06-23 21:13:40,3,3,151,245,2374,12.5,1.0,3,0,qwen3-80b,zero_shot,195,518.6,I/O-bound
13,2026-06-23 21:14:41,3,3,168,246,1590,10.7,1.0,3,0,qwen3-80b,zero_shot,195,577.8,I/O-bound
14,2026-06-23 21:15:42,3,3,119,247,1142,14.0,1.0,3,0,qwen3-80b,zero_shot,195,561.6,I/O-bound
15,2026-06-23 21:16:43,3,3,108,247,1289,11.0,1.0,3,0,qwen3-80b,zero_shot,195,972.6,I/O-bound
16,2026-06-23 21:17:44,3,3,140,248,1459,12.2,1.0,3,0,qwen3-80b,zero_shot,195,536.6,I/O-bound
17,2026-06-23 21:18:45,3,3,96,248,1056,13.2,1.0,3,0,qwen3-80b,zero_shot,195,507.5,I/O-bound
18,2026-06-23 21:19:46,3,3,136,249,1674,13.2,1.0,3,0,qwen3-80b,zero_shot,195,626.5,I/O-bound
19,2026-06-23 21:20:47,3,3,117,250,1061,13.1,1.0,3,0,qwen3-80b,zero_shot,195,625.9,I/O-bound
20,2026-06-23 21:21:48,3,3,117,250,1372,36.4,1.0,3,0,qwen3-80b,zero_shot,195,477.5,I/O-bound
21,2026-06-23 21:22:48,3,3,128,250,1609,13.1,1.0,3,0,qwen3-80b,zero_shot,195,567.5,I/O-bound
22,2026-06-23 21:23:49,3,3,128,251,1231,28.1,1.0,3,0,qwen3-80b,zero_shot,195,505.5,I/O-bound
23,2026-06-23 21:24:50,3,3,114,252,1330,37.7,1.0,3,0,qwen3-80b,zero_shot,195,743.3,I/O-bound
24,2026-06-23 21:25:51,3,3,119,252,1184,13.4,1.0,3,0,qwen3-80b,zero_shot,195,524.9,I/O-bound
25,2026-06-23 21:26:52,3,3,146,253,1024,13.1,1.0,3,0,qwen3-80b,zero_shot,195,548.8,I/O-bound
26,2026-06-23 21:27:53,3,3,108,253,1370,11.3,1.0,3,0,qwen3-80b,zero_shot,195,478.2,I/O-bound
27,2026-06-23 21:28:54,3,3,154,254,1941,13.8,1.0,3,0,qwen3-80b,zero_shot,195,504.0,I/O-bound
28,2026-06-23 21:29:55,3,3,119,255,917,12.8,1.0,3,0,qwen3-80b,zero_shot,194,493.6,I/O-bound
29,2026-06-23 21:30:56,3,3,154,255,1510,34.1,1.0,3,0,qwen3-80b,zero_shot,195,551.7,I/O-bound
30,2026-06-23 21:31:57,3,3,151,255,1563,14.2,1.0,3,0,qwen3-80b,zero_shot,195,504.9,I/O-bound
31,2026-06-23 21:32:57,3,3,165,256,1667,33.1,1.0,3,0,qwen3-80b,zero_shot,195,566.7,I/O-bound
32,2026-06-23 21:33:58,3,3,172,256,1307,11.9,1.0,3,0,qwen3-80b,zero_shot,195,504.1,I/O-bound
33,2026-06-23 21:34:59,3,3,180,258,1473,12.9,1.0,3,0,qwen3-80b,zero_shot,195,1990.9,I/O-bound
34,2026-06-23 21:36:01,3,3,224,258,1803,33.8,1.0,3,0,qwen3-80b,zero_shot,195,508.1,I/O-bound
35,2026-06-23 21:37:02,3,3,181,258,1822,33.0,1.0,3,0,qwen3-80b,zero_shot,195,581.8,I/O-bound
36,2026-06-23 21:38:03,3,3,217,259,1951,13.7,1.0,3,0,qwen3-80b,zero_shot,195,510.8,I/O-bound
37,2026-06-23 21:39:04,3,3,167,260,1196,14.7,1.0,3,0,qwen3-80b,zero_shot,195,1779.6,I/O-bound
38,2026-06-23 21:40:06,3,3,147,261,1303,34.8,1.0,3,0,qwen3-80b,zero_shot,195,524.1,I/O-bound
39,2026-06-23 21:41:07,3,3,167,261,1689,34.9,1.0,3,0,qwen3-80b,zero_shot,195,610.4,I/O-bound
40,2026-06-23 21:42:08,3,3,130,263,1241,31.4,1.0,3,0,qwen3-80b,zero_shot,195,1562.7,I/O-bound
41,2026-06-23 21:43:10,3,3,114,263,1777,25.2,1.0,3,0,qwen3-80b,zero_shot,195,560.9,I/O-bound
42,2026-06-23 21:44:11,3,3,147,263,1295,14.8,1.0,3,0,qwen3-80b,zero_shot,195,522.9,I/O-bound
43,2026-06-23 21:45:12,3,3,116,263,385,33.4,1.0,3,0,qwen3-80b,zero_shot,194,489.1,I/O-bound
44,2026-06-23 21:46:13,3,3,165,264,1965,13.0,1.0,3,0,qwen3-80b,zero_shot,195,529.6,I/O-bound
45,2026-06-23 21:47:14,3,3,118,264,1366,28.8,1.0,3,0,qwen3-80b,zero_shot,195,495.3,I/O-bound
46,2026-06-23 21:48:14,3,3,171,266,1985,12.9,1.0,3,0,qwen3-80b,zero_shot,195,587.6,I/O-bound
47,2026-06-23 21:49:15,3,3,156,266,1515,34.6,1.0,3,0,qwen3-80b,zero_shot,195,1189.8,I/O-bound
48,2026-06-23 21:50:17,3,3,132,266,1086,26.4,1.0,3,0,qwen3-80b,zero_shot,195,551.8,I/O-bound
49,2026-06-23 21:51:18,3,3,164,267,1639,26.6,1.0,3,0,qwen3-80b,zero_shot,195,877.5,I/O-bound
50,2026-06-23 21:52:19,3,3,183,268,1792,29.7,1.0,3,0,qwen3-80b,zero_shot,195,508.0,I/O-bound
51,2026-06-23 21:53:20,3,3,184,269,1878,32.6,1.0,3,0,qwen3-80b,zero_shot,195,512.8,I/O-bound
52,2026-06-23 21:54:21,3,3,137,269,1455,32.1,1.0,3,0,qwen3-80b,zero_shot,195,488.5,I/O-bound
53,2026-06-23 21:55:22,3,3,178,269,1697,13.3,1.0,3,0,qwen3-80b,zero_shot,195,1295.4,I/O-bound
54,2026-06-23 21:56:23,3,3,165,271,1859,13.1,1.0,3,0,qwen3-80b,zero_shot,195,523.6,I/O-bound
55,2026-06-23 21:57:24,3,3,147,271,954,13.2,1.0,3,0,qwen3-80b,zero_shot,194,477.9,I/O-bound
56,2026-06-23 21:58:25,3,3,166,272,1475,33.3,1.0,3,0,qwen3-80b,zero_shot,195,887.2,I/O-bound
57,2026-06-23 21:59:26,3,3,134,272,1475,12.5,1.0,3,0,qwen3-80b,zero_shot,195,4153.9,I/O-bound
