step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-21 01:29:50,15,3,11,185,1437,14.7,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
1,2026-06-21 01:30:51,15,10,202,155,1535,36.6,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
2,2026-06-21 01:31:51,15,12,220,178,1031,26.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
3,2026-06-21 01:32:52,15,15,102,211,1088,19.7,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
4,2026-06-21 01:33:52,15,15,105,214,1214,22.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
5,2026-06-21 01:34:52,5,15,124,217,295,33.8,1.0,5,1,rl-dqn,baseline,0,0.0,I/O-bound
6,2026-06-21 01:35:53,15,5,32,101,1494,34.2,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
7,2026-06-21 01:36:54,15,15,141,212,1194,32.3,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
8,2026-06-21 01:37:54,15,15,113,212,1552,17.2,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
9,2026-06-21 01:38:54,12,15,101,213,1818,11.4,1.0,12,1,rl-dqn,baseline,0,0.0,I/O-bound
10,2026-06-21 01:39:55,5,12,99,180,539,29.7,1.0,5,1,rl-dqn,baseline,0,0.0,I/O-bound
11,2026-06-21 01:40:55,15,5,29,59,1830,32.9,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
12,2026-06-21 01:41:56,15,8,103,93,2374,13.3,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
13,2026-06-21 01:42:56,15,15,136,169,1590,11.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
14,2026-06-21 01:43:56,15,15,103,167,1142,34.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
15,2026-06-21 01:44:57,15,15,85,171,1289,11.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
16,2026-06-21 01:45:57,15,15,102,173,1459,33.3,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
17,2026-06-21 01:46:58,15,15,81,180,1056,21.0,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
18,2026-06-21 01:47:58,20,15,88,180,1674,20.6,1.0,20,1,rl-dqn,baseline,0,0.0,I/O-bound
19,2026-06-21 01:48:58,11,18,88,213,1061,32.0,1.0,11,1,rl-dqn,baseline,0,0.0,I/O-bound
20,2026-06-21 01:49:59,15,11,77,131,1372,32.9,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
21,2026-06-21 01:50:59,15,11,79,132,1609,31.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
22,2026-06-21 01:52:00,15,11,85,129,1231,34.2,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
23,2026-06-21 01:53:00,15,11,73,130,1330,11.4,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
24,2026-06-21 01:54:00,15,11,78,132,1184,11.0,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
25,2026-06-21 01:55:01,15,15,79,176,1024,33.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
26,2026-06-21 01:56:01,15,15,85,176,1370,32.5,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
27,2026-06-21 01:57:02,12,15,118,177,1941,32.9,1.0,12,1,rl-dqn,baseline,0,0.0,I/O-bound
28,2026-06-21 01:58:02,15,12,74,142,917,35.9,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
29,2026-06-21 01:59:03,15,15,92,175,1510,11.3,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
30,2026-06-21 02:00:03,15,15,91,177,1563,33.7,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
31,2026-06-21 02:01:03,20,15,105,177,1667,12.1,1.0,20,1,rl-dqn,baseline,0,0.0,I/O-bound
32,2026-06-21 02:02:04,11,18,99,212,1307,10.9,1.0,11,1,rl-dqn,baseline,0,0.0,I/O-bound
33,2026-06-21 02:03:04,15,11,86,132,1473,35.4,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
34,2026-06-21 02:04:05,12,15,113,175,1803,36.8,1.0,12,1,rl-dqn,baseline,0,0.0,I/O-bound
35,2026-06-21 02:05:05,15,12,125,140,1822,14.3,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
36,2026-06-21 02:06:06,15,15,144,174,1951,27.2,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
37,2026-06-21 02:07:06,15,15,108,177,1196,33.5,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
38,2026-06-21 02:08:06,15,15,100,179,1303,28.8,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
39,2026-06-21 02:09:07,20,15,139,178,1689,17.4,1.0,20,1,rl-dqn,baseline,0,0.0,I/O-bound
40,2026-06-21 02:10:07,11,18,107,213,1241,35.2,1.0,11,1,rl-dqn,baseline,0,0.0,I/O-bound
41,2026-06-21 02:11:08,15,11,121,133,1777,33.0,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
42,2026-06-21 02:12:08,15,15,119,177,1295,20.7,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
43,2026-06-21 02:13:09,5,15,57,178,385,33.5,1.0,5,1,rl-dqn,baseline,0,0.0,I/O-bound
44,2026-06-21 02:14:09,15,5,100,61,1965,12.8,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
45,2026-06-21 02:15:10,15,15,103,172,1366,12.6,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
46,2026-06-21 02:16:10,15,15,126,172,1985,14.4,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
47,2026-06-21 02:17:10,15,15,117,173,1515,33.5,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
48,2026-06-21 02:18:11,15,15,91,172,1086,34.3,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
49,2026-06-21 02:19:11,15,15,111,176,1639,33.8,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
50,2026-06-21 02:20:12,12,15,119,179,1792,31.8,1.0,12,1,rl-dqn,baseline,0,0.0,I/O-bound
51,2026-06-21 02:21:12,15,12,116,146,1878,15.0,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
52,2026-06-21 02:22:13,15,15,95,180,1455,13.8,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
53,2026-06-21 02:23:13,20,15,114,176,1697,12.4,1.0,20,1,rl-dqn,baseline,0,0.0,I/O-bound
54,2026-06-21 02:24:13,12,18,126,208,1859,11.2,1.0,12,1,rl-dqn,baseline,0,0.0,I/O-bound
55,2026-06-21 02:25:14,15,12,73,144,954,33.9,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
56,2026-06-21 02:26:14,15,15,109,176,1475,13.4,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
57,2026-06-21 02:27:15,15,15,108,180,1475,32.5,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
58,2026-06-21 02:28:15,12,15,123,181,1784,36.5,1.0,12,1,rl-dqn,baseline,0,0.0,I/O-bound
59,2026-06-21 02:29:15,15,12,112,145,1563,11.1,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
60,2026-06-21 02:30:16,15,15,69,180,861,12.5,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
61,2026-06-21 02:31:16,15,15,91,180,1143,26.2,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
62,2026-06-21 02:32:17,15,15,119,181,1637,32.5,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
63,2026-06-21 02:33:17,15,15,72,181,985,12.7,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
64,2026-06-21 02:34:17,12,15,133,180,1945,14.2,1.0,12,1,rl-dqn,baseline,0,0.0,I/O-bound
65,2026-06-21 02:35:18,15,12,72,146,1218,36.5,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
66,2026-06-21 02:36:18,15,15,85,179,1406,34.4,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
67,2026-06-21 02:37:19,15,15,97,180,1589,26.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
68,2026-06-21 02:38:19,15,15,52,180,819,35.0,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
69,2026-06-21 02:39:19,5,15,38,180,531,10.7,1.0,5,1,rl-dqn,baseline,0,0.0,I/O-bound
70,2026-06-21 02:40:20,15,5,77,61,1462,11.4,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
71,2026-06-21 02:41:20,15,15,65,171,905,14.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
72,2026-06-21 02:42:21,12,15,115,172,1801,33.3,1.0,12,1,rl-dqn,baseline,0,0.0,I/O-bound
73,2026-06-21 02:43:21,5,12,30,139,318,32.2,1.0,5,1,rl-dqn,baseline,0,0.0,I/O-bound
74,2026-06-21 02:44:22,5,5,42,55,789,32.8,1.0,5,0,rl-dqn,baseline,0,0.0,I/O-bound
75,2026-06-21 02:45:22,5,5,38,59,754,35.5,1.0,5,0,rl-dqn,baseline,0,0.0,I/O-bound
76,2026-06-21 02:46:22,15,5,62,60,1191,13.5,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
77,2026-06-21 02:47:23,15,15,67,170,1024,35.8,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
78,2026-06-21 02:48:23,15,15,87,169,1507,33.4,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
79,2026-06-21 02:49:24,20,15,88,166,1657,12.1,1.0,20,1,rl-dqn,baseline,0,0.0,I/O-bound
80,2026-06-21 02:50:24,12,15,84,166,1752,12.2,1.0,12,1,rl-dqn,baseline,0,0.0,I/O-bound
81,2026-06-21 02:51:24,5,12,34,136,728,13.5,1.0,5,1,rl-dqn,baseline,0,0.0,I/O-bound
82,2026-06-21 02:52:25,15,5,32,60,874,15.1,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
83,2026-06-21 02:53:25,15,11,52,126,1160,10.7,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
84,2026-06-21 02:54:26,15,11,63,126,1259,11.5,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
85,2026-06-21 02:55:26,15,11,66,122,1349,10.9,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
86,2026-06-21 02:56:26,15,11,64,123,1398,12.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
87,2026-06-21 02:57:27,15,11,56,130,1378,11.9,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
88,2026-06-21 02:58:27,5,11,32,132,702,10.9,1.0,5,1,rl-dqn,baseline,0,0.0,I/O-bound
89,2026-06-21 02:59:27,15,5,65,60,1609,25.0,1.0,15,1,rl-dqn,baseline,0,0.0,I/O-bound
90,2026-06-21 03:00:28,15,8,51,94,1172,14.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
91,2026-06-21 03:01:28,15,8,75,94,1902,12.7,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
92,2026-06-21 03:02:28,15,8,83,95,2212,11.4,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
93,2026-06-21 03:03:29,15,8,54,95,1445,11.0,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
94,2026-06-21 03:04:29,15,8,64,95,1738,14.2,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
95,2026-06-21 03:05:29,15,8,42,94,1024,11.0,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
96,2026-06-21 03:06:30,15,8,43,95,1051,11.3,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
97,2026-06-21 03:07:30,15,8,65,95,1564,10.9,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
98,2026-06-21 03:08:30,15,8,63,95,1377,14.8,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
99,2026-06-21 03:09:31,15,8,63,96,1326,12.0,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
100,2026-06-21 03:10:31,15,8,61,96,1256,10.9,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
101,2026-06-21 03:11:31,15,8,82,97,1795,21.4,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
102,2026-06-21 03:12:32,15,8,99,98,2038,11.3,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
103,2026-06-21 03:13:32,15,8,87,99,1634,26.6,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
104,2026-06-21 03:14:33,15,8,99,99,1890,32.5,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
105,2026-06-21 03:15:33,15,8,71,100,1136,13.3,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
106,2026-06-21 03:16:33,15,12,101,146,1893,11.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
107,2026-06-21 03:17:34,15,12,102,146,1913,12.5,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
108,2026-06-21 03:18:34,15,12,86,146,1586,11.0,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
109,2026-06-21 03:19:34,15,12,89,148,1603,11.8,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
110,2026-06-21 03:20:35,15,12,92,149,1637,26.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
111,2026-06-21 03:21:35,15,12,81,150,1495,11.3,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
112,2026-06-21 03:22:35,15,12,69,150,1188,34.9,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
113,2026-06-21 03:23:36,15,12,87,147,1533,30.5,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
114,2026-06-21 03:24:36,15,12,125,148,2066,33.3,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
115,2026-06-21 03:25:36,15,12,102,149,1700,40.9,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
116,2026-06-21 03:26:37,15,12,88,150,1384,33.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
117,2026-06-21 03:27:37,15,12,133,151,2112,11.1,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
118,2026-06-21 03:28:38,15,12,107,151,1760,13.3,1.0,15,0,rl-dqn,baseline,0,0.0,I/O-bound
119,2026-06-21 03:29:38,12,15,154,185,1923,26.3,1.0,12,1,rl-dqn,baseline,0,0.0,I/O-bound
