step,timestamp,replicas,ready_replicas,cpu_millicores,memory_mib,rps_target,latency_p90_ms,success_rate,llm_decision,scale_event,llm_model,llm_variant,llm_tokens,llm_latency_ms,workload_type
0,2026-06-21 03:31:08,8,3,12,151,1437,37.7,1.0,8,1,rl-ppo,baseline,0,0.0,I/O-bound
1,2026-06-21 03:32:08,8,8,96,94,1535,36.6,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
2,2026-06-21 03:33:09,8,8,192,96,1031,29.3,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
3,2026-06-21 03:34:09,8,8,132,95,1088,33.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
4,2026-06-21 03:35:10,8,8,88,99,1214,33.9,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
5,2026-06-21 03:36:10,8,8,106,99,295,35.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
6,2026-06-21 03:37:11,8,8,33,99,1494,33.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
7,2026-06-21 03:38:11,8,8,144,98,1194,15.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
8,2026-06-21 03:39:11,8,8,118,96,1552,27.5,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
9,2026-06-21 03:40:12,8,8,112,99,1818,29.4,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
10,2026-06-21 03:41:12,8,8,69,99,539,12.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
11,2026-06-21 03:42:13,8,8,77,99,1830,33.1,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
12,2026-06-21 03:43:13,9,8,121,100,2374,29.7,1.0,9,1,rl-ppo,baseline,0,0.0,I/O-bound
13,2026-06-21 03:44:13,8,9,117,112,1590,31.5,1.0,8,1,rl-ppo,baseline,0,0.0,I/O-bound
14,2026-06-21 03:45:14,8,8,72,101,1142,32.6,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
15,2026-06-21 03:46:14,8,8,72,102,1289,33.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
16,2026-06-21 03:47:15,8,8,91,102,1459,33.1,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
17,2026-06-21 03:48:15,8,8,72,102,1056,11.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
18,2026-06-21 03:49:15,8,8,90,101,1674,12.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
19,2026-06-21 03:50:16,8,8,77,101,1061,33.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
20,2026-06-21 03:51:16,8,8,77,102,1372,36.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
21,2026-06-21 03:52:17,8,8,87,103,1609,12.1,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
22,2026-06-21 03:53:17,8,8,81,102,1231,35.3,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
23,2026-06-21 03:54:17,8,8,72,103,1330,33.7,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
24,2026-06-21 03:55:18,8,8,73,105,1184,35.9,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
25,2026-06-21 03:56:18,8,8,65,105,1024,33.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
26,2026-06-21 03:57:18,8,8,81,105,1370,32.9,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
27,2026-06-21 03:58:19,8,8,102,105,1941,14.6,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
28,2026-06-21 03:59:19,8,8,77,105,917,12.6,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
29,2026-06-21 04:00:20,8,8,75,105,1510,11.5,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
30,2026-06-21 04:01:20,8,8,84,105,1563,13.9,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
31,2026-06-21 04:02:20,8,8,97,106,1667,11.6,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
32,2026-06-21 04:03:21,8,8,94,105,1307,37.3,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
33,2026-06-21 04:04:21,8,8,92,105,1473,15.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
34,2026-06-21 04:05:21,8,8,102,107,1803,33.9,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
35,2026-06-21 04:06:22,8,8,120,107,1822,11.4,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
36,2026-06-21 04:07:22,8,8,133,108,1951,35.9,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
37,2026-06-21 04:08:22,8,8,97,107,1196,22.7,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
38,2026-06-21 04:09:23,8,8,94,108,1303,26.4,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
39,2026-06-21 04:10:23,8,8,134,107,1689,19.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
40,2026-06-21 04:11:24,8,8,99,107,1241,33.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
41,2026-06-21 04:12:24,8,8,108,107,1777,19.7,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
42,2026-06-21 04:13:24,8,8,116,108,1295,35.3,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
43,2026-06-21 04:14:25,8,8,64,110,385,35.5,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
44,2026-06-21 04:15:25,8,8,94,110,1965,13.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
45,2026-06-21 04:16:26,8,8,108,110,1366,12.6,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
46,2026-06-21 04:17:26,8,8,102,110,1985,14.9,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
47,2026-06-21 04:18:26,8,8,108,110,1515,34.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
48,2026-06-21 04:19:27,8,8,69,110,1086,34.6,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
49,2026-06-21 04:20:27,8,8,121,110,1639,35.4,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
50,2026-06-21 04:21:28,8,8,116,110,1792,17.4,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
51,2026-06-21 04:22:28,8,8,114,112,1878,33.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
52,2026-06-21 04:23:28,8,8,86,113,1455,16.1,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
53,2026-06-21 04:24:29,8,8,103,114,1697,14.8,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
54,2026-06-21 04:25:29,8,8,115,113,1859,11.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
55,2026-06-21 04:26:29,8,8,72,113,954,16.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
56,2026-06-21 04:27:30,8,8,98,113,1475,15.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
57,2026-06-21 04:28:30,8,8,108,113,1475,33.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
58,2026-06-21 04:29:30,8,8,133,113,1784,37.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
59,2026-06-21 04:30:31,8,8,107,114,1563,34.8,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
60,2026-06-21 04:31:31,8,8,65,113,861,33.8,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
61,2026-06-21 04:32:32,8,8,88,114,1143,14.4,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
62,2026-06-21 04:33:32,8,8,110,114,1637,32.6,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
63,2026-06-21 04:34:32,8,8,65,115,985,35.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
64,2026-06-21 04:35:33,8,8,119,116,1945,18.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
65,2026-06-21 04:36:33,8,8,75,115,1218,13.7,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
66,2026-06-21 04:37:33,8,8,84,115,1406,14.1,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
67,2026-06-21 04:38:34,8,8,94,115,1589,11.4,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
68,2026-06-21 04:39:34,8,8,53,115,819,11.5,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
69,2026-06-21 04:40:34,8,8,38,115,531,33.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
70,2026-06-21 04:41:35,8,8,90,115,1462,10.7,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
71,2026-06-21 04:42:35,8,8,58,117,905,32.8,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
72,2026-06-21 04:43:36,8,8,114,117,1801,11.4,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
73,2026-06-21 04:44:36,8,8,23,118,318,35.6,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
74,2026-06-21 04:45:36,8,8,51,118,789,11.8,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
75,2026-06-21 04:46:37,8,8,51,118,754,35.7,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
76,2026-06-21 04:47:37,8,8,76,118,1191,12.4,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
77,2026-06-21 04:48:37,8,8,61,118,1024,25.8,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
78,2026-06-21 04:49:38,8,8,81,118,1507,32.5,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
79,2026-06-21 04:50:38,8,8,83,118,1657,13.5,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
80,2026-06-21 04:51:38,8,8,83,118,1752,14.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
81,2026-06-21 04:52:39,8,8,37,118,728,12.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
82,2026-06-21 04:53:39,8,8,34,118,874,11.8,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
83,2026-06-21 04:54:39,8,8,50,120,1160,14.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
84,2026-06-21 04:55:40,8,8,55,120,1259,12.5,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
85,2026-06-21 04:56:40,8,8,59,121,1349,11.4,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
86,2026-06-21 04:57:40,8,8,64,121,1398,32.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
87,2026-06-21 04:58:41,8,8,64,121,1378,12.5,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
88,2026-06-21 04:59:41,8,8,31,121,702,11.3,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
89,2026-06-21 05:00:42,8,8,66,121,1609,12.0,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
90,2026-06-21 05:01:42,8,8,51,121,1172,11.7,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
91,2026-06-21 05:02:42,8,8,80,121,1902,10.8,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
92,2026-06-21 05:03:43,8,8,85,121,2212,10.9,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
93,2026-06-21 05:04:43,8,8,59,122,1445,12.3,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
94,2026-06-21 05:05:43,8,8,70,122,1738,12.8,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
95,2026-06-21 05:06:44,8,8,43,122,1024,17.6,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
96,2026-06-21 05:07:44,8,8,40,122,1051,12.6,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
97,2026-06-21 05:08:44,8,8,65,123,1564,11.1,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
98,2026-06-21 05:09:45,8,8,56,123,1377,13.2,1.0,8,0,rl-ppo,baseline,0,0.0,I/O-bound
