step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,100.0,91.8,551,1.0,1.5,1,deepseek-v3,zero_shot,179,964.3
1,5,4,22.9,65.0,520,1.0,3.5,1,deepseek-v3,zero_shot,179,454.3
2,5,5,14.0,49.9,499,1.0,6.0,0,deepseek-v3,zero_shot,179,468.8
3,5,5,13.4,51.3,513,1.0,8.5,0,deepseek-v3,zero_shot,179,913.2
4,3,3,14.6,51.9,519,1.0,11.0,1,deepseek-v3,zero_shot,179,589.2
5,4,3,132.3,95.2,571,1.0,12.5,1,deepseek-v3,zero_shot,179,448.9
6,8,4,239.9,99.4,795,1.0,14.5,1,deepseek-v3,zero_shot,179,29045.3
7,5,5,18.0,58.3,933,1.0,18.5,1,deepseek-v3,zero_shot,179,428.1
8,9,5,92.5,91.3,913,1.0,21.0,1,deepseek-v3,zero_shot,179,940.2
9,5,5,13.0,47.1,848,1.0,25.5,1,deepseek-v3,zero_shot,179,449.6
10,9,5,74.5,89.0,890,1.0,28.0,1,deepseek-v3,zero_shot,179,431.0
11,5,5,14.3,49.4,889,1.0,32.5,1,deepseek-v3,zero_shot,179,935.6
12,4,4,37.1,76.8,768,1.0,35.0,1,deepseek-v3,zero_shot,179,449.1
13,8,4,210.3,97.8,782,1.0,37.0,1,deepseek-v3,zero_shot,179,418.9
14,4,4,14.2,48.4,774,1.0,41.0,1,deepseek-v3,zero_shot,179,460.2
15,8,4,218.7,98.8,790,1.0,43.0,1,deepseek-v3,zero_shot,179,417.8
16,4,4,13.6,50.0,800,1.0,47.0,1,deepseek-v3,zero_shot,179,455.5
17,9,4,353.8,100.0,896,0.94,49.0,1,deepseek-v3,zero_shot,179,1192.0
18,5,5,15.1,50.9,917,1.0,53.5,1,deepseek-v3,zero_shot,179,424.7
19,10,5,113.6,93.3,933,1.0,56.0,1,deepseek-v3,zero_shot,179,481.3
20,5,5,12.0,44.7,894,1.0,61.0,1,deepseek-v3,zero_shot,179,430.7
21,9,5,77.2,88.5,885,1.0,63.5,1,deepseek-v3,zero_shot,179,947.4
22,5,5,13.0,45.4,818,1.0,68.0,1,deepseek-v3,zero_shot,179,422.4
23,8,5,40.1,79.3,793,1.0,70.5,1,deepseek-v3,zero_shot,179,452.6
24,4,4,13.8,49.3,789,1.0,74.5,1,deepseek-v3,zero_shot,179,421.8
25,8,4,292.8,100.0,809,0.9944,76.5,1,deepseek-v3,zero_shot,180,1027.2
26,8,8,14.6,50.5,808,1.0,80.5,0,deepseek-v3,zero_shot,179,645.1
27,5,5,15.7,53.8,860,1.0,84.5,1,deepseek-v3,zero_shot,179,426.7
28,4,4,34.6,75.0,750,1.0,87.0,1,deepseek-v3,zero_shot,179,424.9
29,8,4,118.1,93.9,751,1.0,89.0,1,deepseek-v3,zero_shot,179,420.4
30,5,5,15.1,51.4,823,1.0,93.0,1,deepseek-v3,zero_shot,179,2261.4
31,8,5,44.6,79.2,792,1.0,95.5,1,deepseek-v3,zero_shot,179,446.9
32,4,4,12.5,42.6,681,1.0,99.5,1,deepseek-v3,zero_shot,179,445.4
33,7,4,55.0,84.8,678,1.0,101.5,1,deepseek-v3,zero_shot,179,30785.7
34,4,4,12.6,45.6,638,1.0,105.0,1,deepseek-v3,zero_shot,179,441.3
35,5,4,35.4,76.0,608,1.0,107.0,1,deepseek-v3,zero_shot,179,1177.1
36,3,3,15.6,57.1,571,1.0,109.5,1,deepseek-v3,zero_shot,179,547.6
37,4,3,301.6,100.0,629,0.9758,111.0,1,deepseek-v3,zero_shot,180,456.4
38,5,4,35.3,76.8,614,1.0,113.0,1,deepseek-v3,zero_shot,179,2358.6
39,4,4,19.1,61.5,615,1.0,115.5,1,deepseek-v3,zero_shot,179,2451.0
