step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,6,3,103.8,91.8,551,1.0,1.5,1,deepseek-v4-flash,zero_shot,180,891.8
1,6,6,13.2,43.3,520,1.0,4.5,0,deepseek-v4-flash,zero_shot,180,579.2
2,6,6,11.2,41.6,499,1.0,7.5,0,deepseek-v4-flash,zero_shot,180,540.0
3,6,6,12.2,42.8,513,1.0,10.5,0,deepseek-v4-flash,zero_shot,180,908.5
4,6,6,13.1,43.2,519,1.0,13.5,0,deepseek-v4-flash,zero_shot,180,2504.9
5,6,6,13.1,47.6,571,1.0,16.5,0,deepseek-v4-flash,zero_shot,180,3469.7
6,6,6,23.1,66.2,795,1.0,19.5,0,deepseek-v4-flash,zero_shot,180,553.1
7,6,6,38.4,77.8,933,1.0,22.5,0,deepseek-v4-flash,zero_shot,180,3772.7
8,8,6,35.5,76.1,913,1.0,25.5,1,deepseek-v4-flash,zero_shot,180,521.7
9,8,8,15.6,53.0,848,1.0,29.5,0,deepseek-v4-flash,zero_shot,180,773.2
10,8,8,17.0,55.6,890,1.0,33.5,0,deepseek-v4-flash,zero_shot,180,572.0
11,8,8,16.8,55.6,889,1.0,37.5,0,deepseek-v4-flash,zero_shot,180,666.2
12,8,8,13.2,48.0,768,1.0,41.5,0,deepseek-v4-flash,zero_shot,180,539.1
13,8,8,13.4,48.9,782,1.0,45.5,0,deepseek-v4-flash,zero_shot,180,529.3
14,8,8,14.3,48.4,774,1.0,49.5,0,deepseek-v4-flash,zero_shot,180,778.4
15,8,8,14.1,49.4,790,1.0,53.5,0,deepseek-v4-flash,zero_shot,180,532.4
16,8,8,13.7,50.0,800,1.0,57.5,0,deepseek-v4-flash,zero_shot,180,523.2
17,8,8,16.1,56.0,896,1.0,61.5,0,deepseek-v4-flash,zero_shot,180,614.3
18,8,8,16.6,57.3,917,1.0,65.5,0,deepseek-v4-flash,zero_shot,180,858.9
19,8,8,18.3,58.3,933,1.0,69.5,0,deepseek-v4-flash,zero_shot,180,537.2
20,8,8,17.3,55.9,894,1.0,73.5,0,deepseek-v4-flash,zero_shot,180,3216.0
21,8,8,15.9,55.3,885,1.0,77.5,0,deepseek-v4-flash,zero_shot,180,4184.2
22,8,8,14.0,51.1,818,1.0,81.5,0,deepseek-v4-flash,zero_shot,180,4114.1
23,8,8,14.3,49.6,793,1.0,85.5,0,deepseek-v4-flash,zero_shot,180,510.6
24,8,8,13.6,49.3,789,1.0,89.5,0,deepseek-v4-flash,zero_shot,180,529.7
25,8,8,13.4,50.6,809,1.0,93.5,0,deepseek-v4-flash,zero_shot,180,506.5
26,8,8,14.7,50.5,808,1.0,97.5,0,deepseek-v4-flash,zero_shot,180,2208.2
27,8,8,15.8,53.8,860,1.0,101.5,0,deepseek-v4-flash,zero_shot,180,497.7
