step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,68.1,42.9,551,1.0,0.75,0,dqn,rl,0,0
1,2,2,117.8,60.7,520,1.0,1.25,1,dqn,rl,0,0
2,2,2,107.9,58.2,499,1.0,1.75,0,dqn,rl,0,0
3,2,2,108.1,59.8,513,1.0,2.25,0,dqn,rl,0,0
4,2,2,111.9,60.5,519,1.0,2.75,0,dqn,rl,0,0
5,2,2,125.9,66.6,571,0.9999,3.25,0,dqn,rl,0,0
6,3,3,121.5,61.8,795,1.0,4.0,1,dqn,rl,0,0
7,3,3,135.2,72.6,933,0.9999,4.75,0,dqn,rl,0,0
8,9,9,51.4,23.7,913,1.0,7.0,1,dqn,rl,0,0
9,9,9,50.4,22.0,848,1.0,9.25,0,dqn,rl,0,0
10,9,9,48.6,23.1,890,1.0,11.5,0,dqn,rl,0,0
11,9,9,49.6,23.0,889,1.0,13.75,0,dqn,rl,0,0
12,9,9,47.2,19.9,768,1.0,16.0,0,dqn,rl,0,0
13,9,9,48.0,20.3,782,1.0,18.25,0,dqn,rl,0,0
14,9,9,48.6,20.1,774,1.0,20.5,0,dqn,rl,0,0
15,9,9,50.1,20.5,790,1.0,22.75,0,dqn,rl,0,0
16,9,9,48.7,20.7,800,1.0,25.0,0,dqn,rl,0,0
17,9,9,51.5,23.2,896,1.0,27.25,0,dqn,rl,0,0
18,9,9,50.7,23.8,917,1.0,29.5,0,dqn,rl,0,0
19,9,9,48.0,24.2,933,1.0,31.75,0,dqn,rl,0,0
20,9,9,48.9,23.2,894,1.0,34.0,0,dqn,rl,0,0
21,9,9,47.9,22.9,885,1.0,36.25,0,dqn,rl,0,0
22,9,9,47.8,21.2,818,1.0,38.5,0,dqn,rl,0,0
23,9,9,46.7,20.6,793,1.0,40.75,0,dqn,rl,0,0
24,9,9,51.4,20.5,789,1.0,43.0,0,dqn,rl,0,0
25,9,9,52.1,21.0,809,1.0,45.25,0,dqn,rl,0,0
26,9,9,49.0,20.9,808,1.0,47.5,0,dqn,rl,0,0
27,9,9,46.4,22.3,860,1.0,49.75,0,dqn,rl,0,0
28,9,9,48.3,19.4,750,1.0,52.0,0,dqn,rl,0,0
29,9,9,48.2,19.5,751,1.0,54.25,0,dqn,rl,0,0
30,9,9,49.8,21.3,823,1.0,56.5,0,dqn,rl,0,0
31,9,9,49.6,20.5,792,1.0,58.75,0,dqn,rl,0,0
32,9,9,46.1,17.7,681,1.0,61.0,0,dqn,rl,0,0
