step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,140.8,71.1,914,0.9999,0.75,0,dqn,rl,0,0
1,9,9,51.5,25.6,989,1.0,3.0,1,dqn,rl,0,0
2,9,9,49.8,25.1,967,1.0,5.25,0,dqn,rl,0,0
3,9,9,47.9,23.4,902,1.0,7.5,0,dqn,rl,0,0
4,9,9,48.7,22.9,884,1.0,9.75,0,dqn,rl,0,0
5,9,9,48.3,23.9,923,1.0,12.0,0,dqn,rl,0,0
6,9,9,52.1,29.1,1123,1.0,14.25,0,dqn,rl,0,0
7,9,9,46.7,29.7,1145,1.0,16.5,0,dqn,rl,0,0
8,9,9,51.8,28.1,1085,1.0,18.75,0,dqn,rl,0,0
9,9,9,51.5,32.3,1244,1.0,21.0,0,dqn,rl,0,0
10,9,9,49.2,29.2,1127,1.0,23.25,0,dqn,rl,0,0
11,9,9,49.8,24.5,946,1.0,25.5,0,dqn,rl,0,0
12,9,9,47.9,27.3,1054,1.0,27.75,0,dqn,rl,0,0
13,9,9,48.5,25.0,964,1.0,30.0,0,dqn,rl,0,0
14,9,9,49.4,28.6,1104,1.0,32.25,0,dqn,rl,0,0
15,9,9,50.8,27.4,1056,1.0,34.5,0,dqn,rl,0,0
16,9,9,48.9,23.0,889,1.0,36.75,0,dqn,rl,0,0
17,9,9,51.5,23.1,890,1.0,39.0,0,dqn,rl,0,0
18,9,9,50.6,22.8,881,1.0,41.25,0,dqn,rl,0,0
19,9,9,48.1,25.1,970,1.0,43.5,0,dqn,rl,0,0
20,9,9,48.7,21.6,834,1.0,45.75,0,dqn,rl,0,0
21,9,9,47.9,23.2,896,1.0,48.0,0,dqn,rl,0,0
22,9,9,47.8,21.1,815,1.0,50.25,0,dqn,rl,0,0
23,9,9,46.7,20.7,797,1.0,52.5,0,dqn,rl,0,0
