step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,5242.0,100,1437,0.5,1.5,0,dqn,rl,0,0
1,14,14,15.9,54.8,1535,1.0,8.5,1,dqn,rl,0,0
2,7,7,31.1,73.6,1031,1.0,12.0,1,dqn,rl,0,0
3,7,7,37.9,77.7,1088,1.0,15.5,0,dqn,rl,0,0
4,14,14,12.2,43.4,1214,1.0,22.5,1,dqn,rl,0,0
5,7,7,8.9,21.1,295,1.0,26.0,1,dqn,rl,0,0
6,7,7,319.2,100,1494,0.9664,29.5,0,dqn,rl,0,0
7,14,14,12.0,42.6,1194,1.0,36.5,1,dqn,rl,0,0
8,14,14,16.2,55.4,1552,1.0,43.5,0,dqn,rl,0,0
9,14,14,21.8,64.9,1818,1.0,50.5,0,dqn,rl,0,0
10,7,7,11.2,38.5,539,1.0,54.0,1,dqn,rl,0,0
11,7,7,655.8,100,1830,0.8464,57.5,0,dqn,rl,0,0
12,14,14,57.3,84.8,2374,1.0,64.5,1,dqn,rl,0,0
13,14,14,16.8,56.8,1590,1.0,71.5,0,dqn,rl,0,0
14,7,7,46.9,81.6,1142,1.0,75.0,1,dqn,rl,0,0
15,7,7,101.1,92.1,1289,1.0,78.5,0,dqn,rl,0,0
16,14,14,14.8,52.1,1459,1.0,85.5,1,dqn,rl,0,0
17,7,7,33.8,75.4,1056,1.0,89.0,1,dqn,rl,0,0
18,7,7,469.5,100,1674,0.9021,92.5,0,dqn,rl,0,0
19,14,14,11.0,37.9,1061,1.0,99.5,1,dqn,rl,0,0
20,14,14,13.8,49.0,1372,1.0,106.5,0,dqn,rl,0,0
21,14,14,17.2,57.5,1609,1.0,113.5,0,dqn,rl,0,0
22,7,7,71.6,87.9,1231,1.0,117.0,1,dqn,rl,0,0
23,7,7,135.5,95.0,1330,1.0,120.5,0,dqn,rl,0,0
24,14,14,11.9,42.3,1184,1.0,127.5,1,dqn,rl,0,0
25,7,7,30.4,73.1,1024,1.0,131.0,1,dqn,rl,0,0
26,7,7,191.0,97.9,1370,1.0,134.5,0,dqn,rl,0,0
27,14,14,25.8,69.3,1941,1.0,141.5,1,dqn,rl,0,0
28,7,7,22.3,65.5,917,1.0,145.0,1,dqn,rl,0,0
29,7,7,330.4,100,1510,0.9607,148.5,0,dqn,rl,0,0
30,14,14,16.4,55.8,1563,1.0,155.5,1,dqn,rl,0,0
31,14,14,18.3,59.5,1667,1.0,162.5,0,dqn,rl,0,0
32,13,13,14.2,50.3,1307,1.0,169.0,1,dqn,rl,0,0
33,13,13,16.8,56.7,1473,1.0,175.5,0,dqn,rl,0,0
34,14,14,21.4,64.4,1803,1.0,182.5,1,dqn,rl,0,0
35,14,14,21.9,65.1,1822,1.0,189.5,0,dqn,rl,0,0
36,14,14,26.2,69.7,1951,1.0,196.5,0,dqn,rl,0,0
37,7,7,59.9,85.4,1196,1.0,200.0,1,dqn,rl,0,0
38,7,7,111.1,93.1,1303,1.0,203.5,0,dqn,rl,0,0
39,14,14,18.7,60.3,1689,1.0,210.5,1,dqn,rl,0,0
40,7,7,75.6,88.6,1241,1.0,214.0,1,dqn,rl,0,0
41,7,7,585.4,100,1777,0.8654,217.5,0,dqn,rl,0,0
42,14,14,12.9,46.2,1295,1.0,224.5,1,dqn,rl,0,0
43,7,7,9.5,27.5,385,1.0,228.0,1,dqn,rl,0,0
44,7,7,875.8,100,1965,0.7982,231.5,0,dqn,rl,0,0
45,14,14,13.7,48.8,1366,1.0,238.5,1,dqn,rl,0,0
46,14,14,27.5,70.9,1985,1.0,245.5,0,dqn,rl,0,0
47,14,14,15.6,54.1,1515,1.0,252.5,0,dqn,rl,0,0
48,7,7,37.6,77.6,1086,1.0,256.0,1,dqn,rl,0,0
49,7,7,435.5,100,1639,0.9146,259.5,0,dqn,rl,0,0
50,14,14,21.1,64.0,1792,1.0,266.5,1,dqn,rl,0,0
51,14,14,23.6,67.1,1878,1.0,273.5,0,dqn,rl,0,0
52,14,14,14.8,52.0,1455,1.0,280.5,0,dqn,rl,0,0
53,14,14,18.9,60.6,1697,1.0,287.5,0,dqn,rl,0,0
54,14,14,23.0,66.4,1859,1.0,294.5,0,dqn,rl,0,0
55,7,7,24.6,68.1,954,1.0,298.0,1,dqn,rl,0,0
56,7,7,306.5,100,1475,0.9732,301.5,0,dqn,rl,0,0
57,14,14,15.0,52.7,1475,1.0,308.5,1,dqn,rl,0,0
58,14,14,20.9,63.7,1784,1.0,315.5,0,dqn,rl,0,0
59,14,14,16.4,55.8,1563,1.0,322.5,0,dqn,rl,0,0
60,7,7,19.4,61.5,861,1.0,326.0,1,dqn,rl,0,0
61,7,7,47.1,81.6,1143,1.0,329.5,0,dqn,rl,0,0
62,14,14,17.7,58.5,1637,1.0,336.5,1,dqn,rl,0,0
63,7,7,26.9,70.4,985,1.0,340.0,1,dqn,rl,0,0
64,7,7,839.1,100,1945,0.8054,343.5,0,dqn,rl,0,0
65,14,14,12.2,43.5,1218,1.0,350.5,1,dqn,rl,0,0
66,14,14,14.2,50.2,1406,1.0,357.5,0,dqn,rl,0,0
67,14,14,16.8,56.8,1589,1.0,364.5,0,dqn,rl,0,0
68,7,7,17.7,58.5,819,1.0,368.0,1,dqn,rl,0,0
69,7,7,11.1,37.9,531,1.0,371.5,0,dqn,rl,0,0
70,7,7,298.1,100,1462,0.9779,375.0,0,dqn,rl,0,0
71,7,7,21.6,64.6,905,1.0,378.5,0,dqn,rl,0,0
72,7,7,616.3,100,1801,0.8568,382.0,0,dqn,rl,0,0
73,14,14,8.3,11.4,318,1.0,389.0,1,dqn,rl,0,0
74,14,14,9.6,28.2,789,1.0,396.0,0,dqn,rl,0,0
75,14,14,9.5,26.9,754,1.0,403.0,0,dqn,rl,0,0
76,14,14,12.0,42.5,1191,1.0,410.0,0,dqn,rl,0,0
77,14,14,10.8,36.6,1024,1.0,417.0,0,dqn,rl,0,0
78,14,14,15.5,53.8,1507,1.0,424.0,0,dqn,rl,0,0
79,14,14,18.1,59.2,1657,1.0,431.0,0,dqn,rl,0,0
80,14,14,20.1,62.6,1752,1.0,438.0,0,dqn,rl,0,0
81,7,7,14.8,52.0,728,1.0,441.5,1,dqn,rl,0,0
82,7,7,20.0,62.4,874,1.0,445.0,0,dqn,rl,0,0
83,7,7,50.7,82.9,1160,1.0,448.5,0,dqn,rl,0,0
84,14,14,12.6,45.0,1259,1.0,455.5,1,dqn,rl,0,0
85,14,14,13.5,48.2,1349,1.0,462.5,0,dqn,rl,0,0
86,14,14,14.1,49.9,1398,1.0,469.5,0,dqn,rl,0,0
87,14,14,13.8,49.2,1378,1.0,476.5,0,dqn,rl,0,0
88,7,7,14.1,50.1,702,1.0,480.0,1,dqn,rl,0,0
89,7,7,408.4,100,1609,0.9254,483.5,0,dqn,rl,0,0
90,14,14,11.9,41.9,1172,1.0,490.5,1,dqn,rl,0,0
91,14,14,24.4,67.9,1902,1.0,497.5,0,dqn,rl,0,0
92,14,14,40.5,79.0,2212,1.0,504.5,0,dqn,rl,0,0
93,14,14,14.6,51.6,1445,1.0,511.5,0,dqn,rl,0,0
94,14,14,19.8,62.1,1738,1.0,518.5,0,dqn,rl,0,0
95,7,7,30.4,73.1,1024,1.0,522.0,1,dqn,rl,0,0
96,7,7,33.2,75.1,1051,1.0,525.5,0,dqn,rl,0,0
97,14,14,16.4,55.9,1564,1.0,532.5,1,dqn,rl,0,0
98,14,14,13.8,49.2,1377,1.0,539.5,0,dqn,rl,0,0
99,14,14,13.3,47.4,1326,1.0,546.5,0,dqn,rl,0,0
100,7,7,82.4,89.7,1256,1.0,550.0,1,dqn,rl,0,0
101,7,7,608.4,100,1795,0.8589,553.5,0,dqn,rl,0,0
102,14,14,29.9,72.8,2038,1.0,560.5,1,dqn,rl,0,0
103,14,14,17.6,58.4,1634,1.0,567.5,0,dqn,rl,0,0
104,14,14,24.0,67.5,1890,1.0,574.5,0,dqn,rl,0,0
105,7,7,45.7,81.1,1136,1.0,578.0,1,dqn,rl,0,0
106,7,7,750.6,100,1893,0.8239,581.5,0,dqn,rl,0,0
107,14,14,24.8,68.3,1913,1.0,588.5,1,dqn,rl,0,0
108,14,14,16.8,56.6,1586,1.0,595.5,0,dqn,rl,0,0
109,14,14,17.0,57.2,1603,1.0,602.5,0,dqn,rl,0,0
110,14,14,17.7,58.5,1637,1.0,609.5,0,dqn,rl,0,0
111,14,14,15.3,53.4,1495,1.0,616.5,0,dqn,rl,0,0
112,7,7,57.6,84.9,1188,1.0,620.0,1,dqn,rl,0,0
113,7,7,347.0,100,1533,0.9525,623.5,0,dqn,rl,0,0
114,14,14,31.3,73.8,2066,1.0,630.5,1,dqn,rl,0,0
115,14,14,18.9,60.7,1700,1.0,637.5,0,dqn,rl,0,0
116,14,14,13.9,49.4,1384,1.0,644.5,0,dqn,rl,0,0
117,14,14,33.8,75.4,2112,1.0,651.5,0,dqn,rl,0,0
118,14,14,20.3,62.9,1760,1.0,658.5,0,dqn,rl,0,0
119,14,14,25.1,68.7,1923,1.0,665.5,0,dqn,rl,0,0
120,7,7,57.1,84.7,1186,1.0,669.0,1,dqn,rl,0,0
121,7,7,466.5,100,1671,0.9032,672.5,0,dqn,rl,0,0
122,14,14,23.1,66.5,1861,1.0,679.5,1,dqn,rl,0,0
123,14,14,20.0,62.4,1747,1.0,686.5,0,dqn,rl,0,0
124,14,14,15.5,53.8,1507,1.0,693.5,0,dqn,rl,0,0
125,14,14,15.3,53.3,1492,1.0,700.5,0,dqn,rl,0,0
126,14,14,25.9,69.4,1943,1.0,707.5,0,dqn,rl,0,0
127,14,14,25.3,68.9,1928,1.0,714.5,0,dqn,rl,0,0
128,14,14,31.5,74.0,2071,1.0,721.5,0,dqn,rl,0,0
129,14,14,29.7,72.7,2035,1.0,728.5,0,dqn,rl,0,0
130,14,14,22.1,65.3,1828,1.0,735.5,0,dqn,rl,0,0
131,14,14,44.3,80.6,2257,1.0,742.5,0,dqn,rl,0,0
132,14,14,61.2,85.8,2401,1.0,749.5,0,dqn,rl,0,0
133,14,14,24.6,68.1,1907,1.0,756.5,0,dqn,rl,0,0
134,14,14,26.9,70.4,1970,1.0,763.5,0,dqn,rl,0,0
135,14,14,51.7,83.2,2329,1.0,770.5,0,dqn,rl,0,0
136,14,14,29.0,72.1,2019,1.0,777.5,0,dqn,rl,0,0
137,14,14,200.5,98.2,2750,1.0,784.5,0,dqn,rl,0,0
138,14,14,24.8,68.3,1913,1.0,791.5,0,dqn,rl,0,0
139,14,14,67.0,87.0,2437,1.0,798.5,0,dqn,rl,0,0
140,14,14,142.6,95.5,2673,1.0,805.5,0,dqn,rl,0,0
141,14,14,82.4,89.7,2512,1.0,812.5,0,dqn,rl,0,0
142,14,14,54.1,83.9,2349,1.0,819.5,0,dqn,rl,0,0
143,14,14,241.4,99.5,2786,1.0,826.5,0,dqn,rl,0,0
144,14,14,471.0,100,3351,0.9016,833.5,0,dqn,rl,0,0
145,14,14,363.8,100,3110,0.9446,840.5,0,dqn,rl,0,0
146,14,14,45.1,80.9,2265,1.0,847.5,0,dqn,rl,0,0
147,14,14,245.4,99.6,2789,1.0,854.5,0,dqn,rl,0,0
148,14,14,127.5,94.4,2644,1.0,861.5,0,dqn,rl,0,0
149,14,14,37.2,77.4,2166,1.0,868.5,0,dqn,rl,0,0
150,14,14,37.9,77.7,2176,1.0,875.5,0,dqn,rl,0,0
151,14,14,28.4,71.6,2006,1.0,882.5,0,dqn,rl,0,0
152,14,14,23.7,67.1,1880,1.0,889.5,0,dqn,rl,0,0
153,14,14,64.2,86.4,2420,1.0,896.5,0,dqn,rl,0,0
154,14,14,144.4,95.6,2676,1.0,903.5,0,dqn,rl,0,0
155,14,14,36.2,76.8,2151,1.0,910.5,0,dqn,rl,0,0
156,14,14,25.7,69.2,1939,1.0,917.5,0,dqn,rl,0,0
157,14,14,17.9,58.9,1649,1.0,924.5,0,dqn,rl,0,0
158,14,14,74.6,88.5,2477,1.0,931.5,0,dqn,rl,0,0
159,14,14,14.5,51.1,1432,1.0,938.5,0,dqn,rl,0,0
160,14,14,66.2,86.9,2432,1.0,945.5,0,dqn,rl,0,0
161,14,14,13.9,49.5,1386,1.0,952.5,0,dqn,rl,0,0
162,14,14,14.7,51.9,1452,1.0,959.5,0,dqn,rl,0,0
163,14,14,19.5,61.6,1725,1.0,966.5,0,dqn,rl,0,0
164,14,14,15.3,53.3,1493,1.0,973.5,0,dqn,rl,0,0
165,14,14,33.3,75.1,2104,1.0,980.5,0,dqn,rl,0,0
166,7,7,20.2,62.7,878,1.0,984.0,1,dqn,rl,0,0
167,7,7,357.6,100,1547,0.9475,987.5,0,dqn,rl,0,0
168,14,14,11.1,38.0,1065,1.0,994.5,1,dqn,rl,0,0
169,14,14,15.2,53.1,1487,1.0,1001.5,0,dqn,rl,0,0
170,14,14,14.9,52.3,1464,1.0,1008.5,0,dqn,rl,0,0
171,14,14,15.4,53.6,1500,1.0,1015.5,0,dqn,rl,0,0
172,7,7,34.7,76.0,1064,1.0,1019.0,1,dqn,rl,0,0
173,7,7,1135.1,100,2086,0.755,1022.5,0,dqn,rl,0,0
174,14,14,22.2,65.4,1830,1.0,1029.5,1,dqn,rl,0,0
175,14,14,40.7,79.1,2214,1.0,1036.5,0,dqn,rl,0,0
176,14,14,35.3,76.3,2137,1.0,1043.5,0,dqn,rl,0,0
177,14,14,23.6,67.0,1877,1.0,1050.5,0,dqn,rl,0,0
178,14,14,13.6,48.4,1355,1.0,1057.5,0,dqn,rl,0,0
179,14,14,22.6,65.9,1846,1.0,1064.5,0,dqn,rl,0,0
180,7,7,50.4,82.8,1159,1.0,1068.0,1,dqn,rl,0,0
181,7,7,388.8,100,1586,0.9336,1071.5,0,dqn,rl,0,0
182,14,14,47.7,81.9,2292,1.0,1078.5,1,dqn,rl,0,0
183,14,14,25.1,68.6,1922,1.0,1085.5,0,dqn,rl,0,0
