step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,2,2,70.6,42.9,551,1.0,0.75,1,gpt-oss-120b,cot,645,882.1
1,2,2,114.2,60.7,520,1.0,1.25,0,gpt-oss-120b,cot,592,380.6
2,2,2,108.1,58.2,499,1.0,1.75,0,gpt-oss-120b,cot,608,443.3
3,2,2,112.3,59.8,513,1.0,2.25,0,gpt-oss-120b,cot,548,363.6
4,2,2,113.4,60.5,519,1.0,2.75,0,gpt-oss-120b,cot,501,320.6
5,2,2,134.3,66.6,571,0.9999,3.25,0,gpt-oss-120b,cot,557,354.6
6,3,2,206.3,92.7,795,0.9995,3.75,1,gpt-oss-120b,cot,672,619.8
7,3,3,149.1,72.6,933,0.9999,4.5,0,gpt-oss-120b,cot,498,301.2
8,3,3,140.5,71.0,913,0.9999,5.25,0,gpt-oss-120b,cot,814,475.6
9,3,3,128.2,66.0,848,1.0,6.0,0,gpt-oss-120b,cot,699,460.9
10,3,3,141.1,69.2,890,0.9999,6.75,0,gpt-oss-120b,cot,550,393.7
11,3,3,135.1,69.1,889,0.9999,7.5,0,gpt-oss-120b,cot,610,507.6
12,2,2,106.8,59.7,768,1.0,8.25,1,gpt-oss-120b,cot,626,445.5
13,2,2,191.6,91.2,782,0.9995,8.75,0,gpt-oss-120b,cot,566,408.1
14,2,2,195.6,90.3,774,0.9996,9.25,0,gpt-oss-120b,cot,553,325.8
15,3,2,210.1,92.1,790,0.9995,9.75,1,gpt-oss-120b,cot,660,442.3
16,3,3,121.3,62.2,800,1.0,10.5,0,gpt-oss-120b,cot,462,526.8
17,3,3,138.3,69.7,896,0.9999,11.25,0,gpt-oss-120b,cot,535,375.5
18,3,3,138.0,71.3,917,0.9999,12.0,0,gpt-oss-120b,cot,647,459.1
19,3,3,145.2,72.6,933,0.9999,12.75,0,gpt-oss-120b,cot,662,670.9
20,3,3,139.4,69.5,894,0.9999,13.5,0,gpt-oss-120b,cot,557,338.0
21,3,3,127.9,68.8,885,0.9999,14.25,0,gpt-oss-120b,cot,497,287.5
22,1,1,126.1,63.6,818,1.0,15.0,1,gpt-oss-120b,cot,822,1194.9
23,1,1,757.6,168.9,793,0.9129,15.25,0,gpt-oss-120b,cot,823,615.6
24,2,1,735.9,168.6,789,0.9158,15.5,1,gpt-oss-120b,cot,629,392.9
25,3,2,202.2,94.3,809,0.9994,16.0,1,gpt-oss-120b,cot,604,390.7
26,3,3,120.1,62.8,808,1.0,16.75,0,gpt-oss-120b,cot,479,296.3
27,3,3,131.3,66.9,860,0.9999,17.5,0,gpt-oss-120b,cot,503,314.7
28,2,2,109.4,58.3,750,1.0,18.25,1,gpt-oss-120b,cot,804,499.5
29,2,2,184.5,87.6,751,0.9996,18.75,0,gpt-oss-120b,cot,523,346.1
30,3,2,214.4,96.0,823,0.9993,19.25,1,gpt-oss-120b,cot,602,391.1
31,2,2,115.6,61.6,792,1.0,20.0,1,gpt-oss-120b,cot,759,496.0
32,2,2,157.0,79.4,681,0.9998,20.5,0,gpt-oss-120b,cot,550,367.8
33,2,2,167.2,79.1,678,0.9998,21.0,0,gpt-oss-120b,cot,483,504.9
34,2,2,152.2,74.4,638,0.9999,21.5,0,gpt-oss-120b,cot,580,352.5
35,2,2,138.9,70.9,608,0.9999,22.0,0,gpt-oss-120b,cot,655,538.6
36,2,2,126.7,66.6,571,0.9999,22.5,0,gpt-oss-120b,cot,482,289.8
37,2,2,148.7,73.4,629,0.9999,23.0,0,gpt-oss-120b,cot,512,342.3
38,2,2,141.9,71.6,614,0.9999,23.5,0,gpt-oss-120b,cot,435,255.9
39,2,2,144.1,71.7,615,0.9999,24.0,0,gpt-oss-120b,cot,511,384.8
40,2,2,158.9,79.1,678,0.9998,24.5,0,gpt-oss-120b,cot,571,324.2
41,2,2,197.7,94.3,809,0.9994,25.0,0,gpt-oss-120b,cot,512,434.8
42,2,2,177.4,84.4,724,0.9997,25.5,0,gpt-oss-120b,cot,687,406.6
43,2,2,182.3,88.2,756,0.9996,26.0,0,gpt-oss-120b,cot,497,317.8
44,2,2,181.3,85.4,732,0.9997,26.5,0,gpt-oss-120b,cot,588,530.4
45,2,2,184.3,86.1,738,0.9997,27.0,0,gpt-oss-120b,cot,536,360.4
46,2,2,166.5,81.3,697,0.9998,27.5,0,gpt-oss-120b,cot,667,470.8
47,2,2,176.8,85.4,732,0.9997,28.0,0,gpt-oss-120b,cot,494,340.4
48,3,2,220.7,95.0,815,0.9994,28.5,1,gpt-oss-120b,cot,774,536.2
49,3,3,123.4,63.7,819,1.0,29.25,0,gpt-oss-120b,cot,482,466.0
50,3,3,125.7,65.0,836,1.0,30.0,0,gpt-oss-120b,cot,582,427.4
