step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,1,1,100.2,91.8,551,1.0,1.5,1,gpt-oss-120b,domain,884,850.1
1,3,1,5138.5,100.0,520,0.5,2.0,1,gpt-oss-120b,domain,729,883.3
2,1,1,49.4,83.2,499,1.0,3.5,1,gpt-oss-120b,domain,884,483.4
3,3,1,5231.0,100.0,513,0.5,4.0,1,gpt-oss-120b,domain,656,53632.8
4,1,1,64.5,86.5,519,1.0,5.5,1,gpt-oss-120b,domain,884,619.3
5,3,1,5252.3,100.0,571,0.5,6.0,1,gpt-oss-120b,domain,742,451.2
6,4,3,707.9,100.0,795,0.8375,7.5,1,gpt-oss-120b,domain,719,418.0
7,1,1,382.3,100.0,933,0.9169,9.5,1,gpt-oss-120b,domain,885,1675.7
8,1,1,5690.9,100.0,913,0.5,10.0,0,gpt-oss-120b,domain,885,520.2
9,1,1,5559.6,100.0,848,0.5,10.5,0,gpt-oss-120b,domain,885,496.0
10,1,1,5272.9,100.0,890,0.5,11.0,0,gpt-oss-120b,domain,885,489.7
11,5,1,5102.1,100.0,889,0.5,11.5,1,gpt-oss-120b,domain,867,576.5
12,1,1,29.7,76.8,768,1.0,14.0,1,gpt-oss-120b,domain,884,498.3
13,4,1,5096.8,100.0,782,0.5,14.5,1,gpt-oss-120b,domain,754,927.5
14,1,1,162.9,96.8,774,1.0,16.5,1,gpt-oss-120b,domain,884,575.0
15,4,1,5553.1,100.0,790,0.5,17.0,1,gpt-oss-120b,domain,663,796.5
16,1,1,264.0,100.0,800,1.0,19.0,1,gpt-oss-120b,domain,884,643.0
17,1,1,5575.7,100.0,896,0.5,19.5,0,gpt-oss-120b,domain,885,501.7
18,5,1,4977.6,100.0,917,0.5,20.0,1,gpt-oss-120b,domain,646,2320.0
19,1,1,117.9,93.3,933,1.0,22.5,1,gpt-oss-120b,domain,884,1027.3
20,5,1,5394.3,100.0,894,0.5,23.0,1,gpt-oss-120b,domain,721,466.0
21,1,1,77.2,88.5,885,1.0,25.5,1,gpt-oss-120b,domain,884,541.9
22,1,1,5415.5,100.0,818,0.5,26.0,0,gpt-oss-120b,domain,885,587.5
23,4,1,5376.8,100.0,793,0.5,26.5,1,gpt-oss-120b,domain,662,1179.4
24,1,1,209.2,98.6,789,1.0,28.5,1,gpt-oss-120b,domain,884,531.2
25,1,1,5017.6,100.0,809,0.5,29.0,0,gpt-oss-120b,domain,885,544.4
26,1,1,5382.0,100.0,808,0.5,29.5,0,gpt-oss-120b,domain,885,560.9
27,1,1,5301.0,100.0,860,0.5,30.0,0,gpt-oss-120b,domain,885,476.7
28,4,1,4991.8,100.0,750,0.5,30.5,1,gpt-oss-120b,domain,656,588.9
29,1,1,116.1,93.9,751,1.0,32.5,1,gpt-oss-120b,domain,884,679.4
30,4,1,5536.1,100.0,823,0.5,33.0,1,gpt-oss-120b,domain,792,480.4
31,1,1,205.2,99.0,792,1.0,35.0,1,gpt-oss-120b,domain,884,1813.8
32,4,1,5670.6,100.0,681,0.5,35.5,1,gpt-oss-120b,domain,759,415.0
33,1,1,57.0,84.8,678,1.0,37.5,1,gpt-oss-120b,domain,884,524.1
34,4,1,4565.4,100.0,638,0.5,38.0,1,gpt-oss-120b,domain,759,469.9
35,7,4,34.8,76.0,608,1.0,40.0,1,gpt-oss-120b,domain,714,371.6
36,7,7,11.9,40.8,571,1.0,43.5,0,gpt-oss-120b,domain,504,274.6
37,7,7,12.0,44.9,629,1.0,47.0,0,gpt-oss-120b,domain,502,263.9
38,7,7,11.8,43.9,614,1.0,50.5,0,gpt-oss-120b,domain,502,422.8
39,7,7,12.7,43.9,615,1.0,54.0,0,gpt-oss-120b,domain,516,373.5
40,7,7,15.0,48.4,678,1.0,57.5,0,gpt-oss-120b,domain,517,280.2
41,7,7,16.3,57.8,809,1.0,61.0,0,gpt-oss-120b,domain,500,293.7
42,7,7,12.9,51.7,724,1.0,64.5,0,gpt-oss-120b,domain,571,295.2
43,7,7,16.3,54.0,756,1.0,68.0,0,gpt-oss-120b,domain,548,284.0
44,7,7,16.4,52.3,732,1.0,71.5,0,gpt-oss-120b,domain,567,304.4
45,7,7,15.8,52.7,738,1.0,75.0,0,gpt-oss-120b,domain,499,241.3
46,7,7,13.3,49.8,697,1.0,78.5,0,gpt-oss-120b,domain,580,321.7
47,7,7,15.7,52.3,732,1.0,82.0,0,gpt-oss-120b,domain,528,267.4
48,7,7,17.7,58.2,815,1.0,85.5,0,gpt-oss-120b,domain,510,277.1
49,7,7,19.2,58.5,819,1.0,89.0,0,gpt-oss-120b,domain,536,268.1
50,7,7,18.4,59.7,836,1.0,92.5,0,gpt-oss-120b,domain,705,410.0
51,7,7,16.7,58.7,822,1.0,96.0,0,gpt-oss-120b,domain,500,260.1
52,7,7,14.9,50.5,707,1.0,99.5,0,gpt-oss-120b,domain,595,3645.2
53,7,7,13.5,48.1,673,1.0,103.0,0,gpt-oss-120b,domain,500,15630.8
54,7,7,12.9,45.2,633,1.0,106.5,0,gpt-oss-120b,domain,503,379.7
55,7,7,12.4,45.7,640,1.0,110.0,0,gpt-oss-120b,domain,581,413.0
56,7,7,13.5,44.5,623,1.0,113.5,0,gpt-oss-120b,domain,530,760.2
57,7,7,14.0,49.9,698,1.0,117.0,0,gpt-oss-120b,domain,554,548.0
58,7,7,10.8,42.1,590,1.0,120.5,0,gpt-oss-120b,domain,512,445.3
59,7,7,12.3,43.1,604,1.0,124.0,0,gpt-oss-120b,domain,466,246.0
60,7,7,14.2,50.3,704,1.0,127.5,0,gpt-oss-120b,domain,503,255.6
61,7,7,13.8,51.4,719,1.0,131.0,0,gpt-oss-120b,domain,502,274.0
62,7,7,15.4,53.2,745,1.0,134.5,0,gpt-oss-120b,domain,556,437.8
63,7,7,17.4,56.8,795,1.0,138.0,0,gpt-oss-120b,domain,523,286.9
64,7,7,18.2,56.6,793,1.0,141.5,0,gpt-oss-120b,domain,500,1851.0
65,7,7,15.4,52.4,734,1.0,145.0,0,gpt-oss-120b,domain,501,405.9
66,7,7,16.0,50.9,712,1.0,148.5,0,gpt-oss-120b,domain,544,277.0
67,7,7,13.9,50.1,702,1.0,152.0,0,gpt-oss-120b,domain,598,349.2
68,7,7,14.4,52.1,730,1.0,155.5,0,gpt-oss-120b,domain,554,322.8
69,7,7,12.7,44.6,625,1.0,159.0,0,gpt-oss-120b,domain,505,280.8
70,7,7,14.1,49.6,695,1.0,162.5,0,gpt-oss-120b,domain,503,244.6
71,7,7,11.9,44.1,618,1.0,166.0,0,gpt-oss-120b,domain,504,364.9
72,1,1,10.7,39.7,556,1.0,169.5,1,gpt-oss-120b,domain,884,536.2
73,3,1,5540.7,100.0,589,0.5,170.0,1,gpt-oss-120b,domain,741,436.6
74,6,3,65.3,87.2,523,1.0,171.5,1,gpt-oss-120b,domain,844,456.6
75,6,6,13.2,50.6,607,1.0,174.5,0,gpt-oss-120b,domain,539,288.2
76,1,1,22.7,66.2,794,1.0,177.5,1,gpt-oss-120b,domain,884,495.4
77,1,1,5489.9,100.0,890,0.5,178.0,0,gpt-oss-120b,domain,885,525.1
78,1,1,5216.2,100.0,1034,0.5,178.5,0,gpt-oss-120b,domain,886,482.4
79,1,1,5248.3,100.0,1323,0.5,179.0,0,gpt-oss-120b,domain,886,528.4
80,6,1,5515.8,100.0,1152,0.5,179.5,1,gpt-oss-120b,domain,714,385.8
81,9,6,44.5,81.8,982,1.0,182.5,1,gpt-oss-120b,domain,746,428.0
82,9,9,13.4,47.1,847,1.0,187.0,0,gpt-oss-120b,domain,522,299.5
83,9,9,14.3,45.7,823,1.0,191.5,0,gpt-oss-120b,domain,502,416.1
84,9,9,14.1,48.2,868,1.0,196.0,0,gpt-oss-120b,domain,516,282.2
85,9,9,17.2,58.7,1056,1.0,200.5,0,gpt-oss-120b,domain,620,569.7
86,9,9,15.9,54.4,980,1.0,205.0,0,gpt-oss-120b,domain,533,315.0
87,9,9,14.5,50.9,916,1.0,209.5,0,gpt-oss-120b,domain,596,332.6
88,9,9,15.2,54.7,985,1.0,214.0,0,gpt-oss-120b,domain,540,280.0
89,9,9,15.8,53.2,958,1.0,218.5,0,gpt-oss-120b,domain,537,313.1
90,9,9,17.1,56.2,1011,1.0,223.0,0,gpt-oss-120b,domain,500,297.8
91,9,9,15.8,56.8,1023,1.0,227.5,0,gpt-oss-120b,domain,630,360.9
92,9,9,18.9,57.3,1031,1.0,232.0,0,gpt-oss-120b,domain,522,291.8
93,9,9,20.4,63.3,1140,1.0,236.5,0,gpt-oss-120b,domain,524,285.6
94,9,9,17.0,56.4,1015,1.0,241.0,0,gpt-oss-120b,domain,493,547.9
95,9,9,15.2,54.9,989,1.0,245.5,0,gpt-oss-120b,domain,502,278.7
96,9,9,13.9,47.7,858,1.0,250.0,0,gpt-oss-120b,domain,501,246.1
97,9,9,11.4,45.8,824,1.0,254.5,0,gpt-oss-120b,domain,480,263.9
98,9,9,13.9,48.6,875,1.0,259.0,0,gpt-oss-120b,domain,535,277.7
99,9,9,13.7,50.3,906,1.0,263.5,0,gpt-oss-120b,domain,627,811.5
100,9,9,13.0,43.8,788,1.0,268.0,0,gpt-oss-120b,domain,501,263.1
101,9,9,11.2,41.9,754,1.0,272.5,0,gpt-oss-120b,domain,504,352.1
102,9,9,10.8,38.7,697,1.0,277.0,0,gpt-oss-120b,domain,673,387.5
103,9,9,11.6,40.5,729,1.0,281.5,0,gpt-oss-120b,domain,503,281.3
104,9,9,15.1,50.4,908,1.0,286.0,0,gpt-oss-120b,domain,484,268.1
105,9,9,13.9,48.3,870,1.0,290.5,0,gpt-oss-120b,domain,723,544.1
106,9,9,11.7,43.5,783,1.0,295.0,0,gpt-oss-120b,domain,458,250.9
107,9,9,11.4,43.8,788,1.0,299.5,0,gpt-oss-120b,domain,502,559.8
108,9,9,13.0,44.6,802,1.0,304.0,0,gpt-oss-120b,domain,498,254.1
109,9,9,13.4,44.6,802,1.0,308.5,0,gpt-oss-120b,domain,550,306.6
110,9,9,13.9,48.1,866,1.0,313.0,0,gpt-oss-120b,domain,498,261.0
111,9,9,12.5,49.1,884,1.0,317.5,0,gpt-oss-120b,domain,524,288.5
112,1,1,12.9,45.0,810,1.0,322.0,1,gpt-oss-120b,domain,884,463.4
113,1,1,5498.9,100.0,824,0.5,322.5,0,gpt-oss-120b,domain,885,494.4
114,4,1,5156.8,100.0,841,0.5,323.0,1,gpt-oss-120b,domain,874,1720.6
115,1,1,189.3,97.9,783,1.0,325.0,1,gpt-oss-120b,domain,884,534.1
116,4,1,5163.5,100.0,785,0.5,325.5,1,gpt-oss-120b,domain,713,380.1
117,1,1,102.9,92.0,736,1.0,327.5,1,gpt-oss-120b,domain,884,804.7
118,4,1,5050.3,100.0,772,0.5,328.0,1,gpt-oss-120b,domain,837,454.5
119,7,4,86.2,90.0,720,1.0,330.0,1,gpt-oss-120b,domain,837,464.4
120,7,7,19.8,62.0,868,1.0,333.5,0,gpt-oss-120b,domain,794,431.7
121,1,1,25.4,70.3,984,1.0,337.0,1,gpt-oss-120b,domain,884,589.0
122,1,1,5328.8,100.0,896,0.5,337.5,0,gpt-oss-120b,domain,885,505.8
123,1,1,4969.4,100.0,861,0.5,338.0,0,gpt-oss-120b,domain,885,535.5
124,1,1,5371.6,100.0,864,0.5,338.5,0,gpt-oss-120b,domain,885,654.2
125,1,1,5231.6,100.0,938,0.5,339.0,0,gpt-oss-120b,domain,885,487.5
126,5,1,5358.0,100.0,997,0.5,339.5,1,gpt-oss-120b,domain,709,371.6
127,1,1,57.1,84.9,849,1.0,342.0,1,gpt-oss-120b,domain,884,55718.5
128,4,1,5213.9,100.0,798,0.5,342.5,1,gpt-oss-120b,domain,739,412.9
129,1,1,113.1,93.4,747,1.0,344.5,1,gpt-oss-120b,domain,884,664.8
130,1,1,5294.0,100.0,863,0.5,345.0,0,gpt-oss-120b,domain,885,539.4
131,1,1,5524.4,100.0,948,0.5,345.5,0,gpt-oss-120b,domain,885,626.4
132,1,1,5558.1,100.0,1008,0.5,346.0,0,gpt-oss-120b,domain,886,3283.1
133,1,1,5161.9,100.0,1023,0.5,346.5,0,gpt-oss-120b,domain,886,484.2
134,4,1,5194.1,100.0,1145,0.5,347.0,1,gpt-oss-120b,domain,847,504.7
135,6,4,850.4,100.0,1121,0.7994,349.0,1,gpt-oss-120b,domain,713,658.4
136,1,1,330.6,100.0,1293,0.9613,352.0,1,gpt-oss-120b,domain,886,554.8
137,1,1,5450.7,100.0,1287,0.5,352.5,0,gpt-oss-120b,domain,886,542.9
138,1,1,4814.1,100.0,1377,0.5,353.0,0,gpt-oss-120b,domain,886,555.8
139,1,1,5242.9,100.0,1459,0.5,353.5,0,gpt-oss-120b,domain,886,505.4
140,9,1,5167.1,100.0,1696,0.5,354.0,1,gpt-oss-120b,domain,723,452.5
141,1,1,141.4,95.6,1720,1.0,358.5,1,gpt-oss-120b,domain,885,3979.4
142,10,1,4925.7,100.0,1904,0.5,359.0,1,gpt-oss-120b,domain,841,644.8
143,1,1,382.6,100.0,2283,0.9293,364.0,1,gpt-oss-120b,domain,886,547.8
144,14,1,4996.2,100.0,2668,0.5,364.5,1,gpt-oss-120b,domain,734,409.0
145,1,1,308.3,100.0,2882,0.9854,371.5,1,gpt-oss-120b,domain,886,468.9
146,1,1,4947.3,100.0,3211,0.5,372.0,0,gpt-oss-120b,domain,886,13164.3
147,1,1,5201.9,100.0,3461,0.5,372.5,0,gpt-oss-120b,domain,886,474.6
148,19,1,5444.4,100.0,3607,0.5,373.0,1,gpt-oss-120b,domain,836,517.4
149,20,19,150.1,96.3,3659,1.0,382.5,1,gpt-oss-120b,domain,479,231.5
150,20,20,154.6,95.6,3823,1.0,392.5,0,gpt-oss-120b,domain,571,1675.7
151,20,20,139.8,96.7,3866,1.0,402.5,0,gpt-oss-120b,domain,631,693.3
152,20,20,123.4,94.4,3775,1.0,412.5,0,gpt-oss-120b,domain,624,325.9
153,20,20,74.1,88.8,3550,1.0,422.5,0,gpt-oss-120b,domain,526,623.5
154,1,1,52.0,84.3,3373,1.0,432.5,1,gpt-oss-120b,domain,885,540.3
155,1,1,4751.5,100.0,3268,0.5,433.0,0,gpt-oss-120b,domain,886,523.7
156,16,1,4929.2,100.0,3112,0.5,433.5,1,gpt-oss-120b,domain,841,469.0
157,1,1,96.6,92.3,2955,1.0,441.5,1,gpt-oss-120b,domain,885,6556.9
158,15,1,5176.8,100.0,2880,0.5,442.0,1,gpt-oss-120b,domain,625,403.9
159,1,1,104.5,92.9,2786,1.0,449.5,1,gpt-oss-120b,domain,885,541.1
160,14,1,5242.9,100.0,2666,0.5,450.0,1,gpt-oss-120b,domain,711,449.4
161,1,1,79.5,89.1,2494,1.0,457.0,1,gpt-oss-120b,domain,885,4702.5
162,12,1,5148.8,100.0,2375,0.5,457.5,1,gpt-oss-120b,domain,701,2590.6
163,1,1,127.2,94.6,2270,1.0,463.5,1,gpt-oss-120b,domain,885,564.2
164,11,1,4672.1,100.0,2148,0.5,464.0,1,gpt-oss-120b,domain,693,373.2
165,1,1,107.4,93.3,2053,1.0,469.5,1,gpt-oss-120b,domain,885,509.7
166,1,1,5260.7,100.0,1852,0.5,470.0,0,gpt-oss-120b,domain,886,557.8
167,9,1,5147.2,100.0,1696,0.5,470.5,1,gpt-oss-120b,domain,823,471.7
168,1,1,89.5,90.4,1628,1.0,475.0,1,gpt-oss-120b,domain,885,507.9
