step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,66.5,42.9,551,1.0,0.75,0,gpt-oss-120b,history_5,381,577.9
1,2,2,61.0,40.4,520,1.0,1.5,1,gpt-oss-120b,history_5,672,446.0
2,2,2,106.4,58.2,499,1.0,2.0,0,gpt-oss-120b,history_5,799,513.5
3,2,2,106.3,59.8,513,1.0,2.5,0,gpt-oss-120b,history_5,656,667.1
4,2,2,111.6,60.5,519,1.0,3.0,0,gpt-oss-120b,history_5,825,470.3
5,2,2,128.2,66.6,571,0.9999,3.5,0,gpt-oss-120b,history_5,800,438.6
6,3,2,204.0,92.7,795,0.9995,4.0,1,gpt-oss-120b,history_5,681,503.3
7,1,1,146.6,72.6,933,0.9999,4.75,1,gpt-oss-120b,history_5,944,536.0
8,3,1,981.6,176.5,913,0.8287,5.0,1,gpt-oss-120b,history_5,816,550.8
9,3,3,125.8,66.0,848,1.0,5.75,0,gpt-oss-120b,history_5,854,469.6
10,3,3,145.1,69.2,890,0.9999,6.5,0,gpt-oss-120b,history_5,809,565.3
11,3,3,131.8,69.1,889,0.9999,7.25,0,gpt-oss-120b,history_5,877,483.0
12,1,1,114.1,59.7,768,1.0,8.0,1,gpt-oss-120b,history_5,945,546.6
13,1,1,715.2,168.0,782,0.9207,8.25,0,gpt-oss-120b,history_5,945,580.6
14,3,1,729.5,167.2,774,0.926,8.5,1,gpt-oss-120b,history_5,667,328.5
15,1,1,117.5,61.4,790,1.0,9.25,1,gpt-oss-120b,history_5,944,561.5
16,2,1,744.1,169.4,800,0.9076,9.5,1,gpt-oss-120b,history_5,900,501.5
17,3,2,254.6,104.4,896,0.9987,10.0,1,gpt-oss-120b,history_5,839,497.3
18,3,3,146.7,71.3,917,0.9999,10.75,0,gpt-oss-120b,history_5,693,397.5
19,3,3,142.5,72.6,933,0.9999,11.5,0,gpt-oss-120b,history_5,612,305.0
20,3,3,139.1,69.5,894,0.9999,12.25,0,gpt-oss-120b,history_5,641,397.1
21,3,3,132.1,68.8,885,0.9999,13.0,0,gpt-oss-120b,history_5,699,355.3
22,1,1,125.2,63.6,818,1.0,13.75,1,gpt-oss-120b,history_5,946,516.8
23,1,1,756.6,168.9,793,0.9129,14.0,0,gpt-oss-120b,history_5,946,504.3
24,3,1,773.8,168.6,789,0.9158,14.25,1,gpt-oss-120b,history_5,762,424.2
25,3,3,116.2,62.9,809,1.0,15.0,0,gpt-oss-120b,history_5,617,345.1
26,2,2,118.0,62.8,808,1.0,15.75,1,gpt-oss-120b,history_5,929,654.4
27,3,2,235.7,100.2,860,0.9991,16.25,1,gpt-oss-120b,history_5,697,375.1
28,3,3,109.9,58.3,750,1.0,17.0,0,gpt-oss-120b,history_5,941,545.4
29,2,2,111.1,58.4,751,1.0,17.75,1,gpt-oss-120b,history_5,876,518.4
30,3,2,219.0,96.0,823,0.9993,18.25,1,gpt-oss-120b,history_5,641,386.5
31,3,3,116.2,61.6,792,1.0,19.0,0,gpt-oss-120b,history_5,716,423.6
32,3,3,97.2,53.0,681,1.0,19.75,0,gpt-oss-120b,history_5,793,484.5
33,1,1,93.4,52.7,678,1.0,20.5,1,gpt-oss-120b,history_5,942,707.3
34,1,1,485.7,146.2,638,0.9819,20.75,0,gpt-oss-120b,history_5,943,585.4
35,3,1,435.3,140.1,608,0.9874,21.0,1,gpt-oss-120b,history_5,663,367.8
36,2,2,70.8,44.4,571,1.0,21.75,1,gpt-oss-120b,history_5,910,625.9
37,2,2,148.9,73.4,629,0.9999,22.25,0,gpt-oss-120b,history_5,744,435.6
38,2,2,145.4,71.6,614,0.9999,22.75,0,gpt-oss-120b,history_5,701,381.5
39,2,2,146.6,71.7,615,0.9999,23.25,0,gpt-oss-120b,history_5,723,387.1
40,2,2,161.1,79.1,678,0.9998,23.75,0,gpt-oss-120b,history_5,676,348.7
41,3,2,199.6,94.3,809,0.9994,24.25,1,gpt-oss-120b,history_5,720,485.3
42,1,1,103.4,56.3,724,1.0,25.0,1,gpt-oss-120b,history_5,946,569.7
43,1,1,683.1,165.3,756,0.9372,25.25,0,gpt-oss-120b,history_5,946,795.9
44,1,1,654.5,162.3,732,0.95,25.5,0,gpt-oss-120b,history_5,945,529.4
45,2,1,688.6,163.1,738,0.947,25.75,1,gpt-oss-120b,history_5,748,625.5
46,2,2,171.0,81.3,697,0.9998,26.25,0,gpt-oss-120b,history_5,718,565.7
47,2,2,181.7,85.4,732,0.9997,26.75,0,gpt-oss-120b,history_5,685,388.4
48,3,2,207.3,95.0,815,0.9994,27.25,1,gpt-oss-120b,history_5,675,353.5
49,1,1,116.3,63.7,819,1.0,28.0,1,gpt-oss-120b,history_5,944,552.2
50,3,1,824.1,171.2,836,0.8774,28.25,1,gpt-oss-120b,history_5,805,373.0
51,3,3,119.9,63.9,822,1.0,29.0,0,gpt-oss-120b,history_5,799,432.2
52,2,2,97.2,55.0,707,1.0,29.75,1,gpt-oss-120b,history_5,844,452.9
53,2,2,160.3,78.5,673,0.9998,30.25,0,gpt-oss-120b,history_5,843,491.6
54,2,2,148.2,73.8,633,0.9999,30.75,0,gpt-oss-120b,history_5,786,409.1
55,2,2,150.4,74.7,640,0.9999,31.25,0,gpt-oss-120b,history_5,621,326.4
56,1,1,148.2,72.7,623,0.9999,31.75,1,gpt-oss-120b,history_5,945,546.3
57,2,1,628.8,157.1,698,0.9646,32.0,1,gpt-oss-120b,history_5,849,457.8
58,2,2,131.7,68.8,590,0.9999,32.5,0,gpt-oss-120b,history_5,886,691.0
59,2,2,143.4,70.5,604,0.9999,33.0,0,gpt-oss-120b,history_5,700,1361.0
60,1,1,167.6,82.1,704,0.9998,33.5,1,gpt-oss-120b,history_5,947,669.3
61,2,1,639.7,160.4,719,0.956,33.75,1,gpt-oss-120b,history_5,825,456.8
62,2,2,182.5,86.9,745,0.9997,34.25,0,gpt-oss-120b,history_5,921,492.5
63,1,1,192.9,92.7,795,0.9995,34.75,1,gpt-oss-120b,history_5,946,704.9
64,2,1,740.4,168.9,793,0.9129,35.0,1,gpt-oss-120b,history_5,696,336.6
65,2,2,184.3,85.6,734,0.9997,35.5,0,gpt-oss-120b,history_5,797,444.6
66,2,2,177.6,83.0,712,0.9998,36.0,0,gpt-oss-120b,history_5,776,433.2
67,2,2,167.0,81.9,702,0.9998,36.5,0,gpt-oss-120b,history_5,805,631.0
68,2,2,175.2,85.1,730,0.9997,37.0,0,gpt-oss-120b,history_5,730,394.5
69,2,2,148.9,72.9,625,0.9999,37.5,0,gpt-oss-120b,history_5,776,2248.4
70,2,2,173.8,81.1,695,0.9998,38.0,0,gpt-oss-120b,history_5,820,429.9
71,2,2,149.0,72.1,618,0.9999,38.5,0,gpt-oss-120b,history_5,703,524.7
72,2,2,120.6,64.9,556,1.0,39.0,0,gpt-oss-120b,history_5,880,498.4
73,2,2,134.5,68.7,589,0.9999,39.5,0,gpt-oss-120b,history_5,677,362.8
74,2,2,111.5,61.0,523,1.0,40.0,0,gpt-oss-120b,history_5,801,567.4
75,2,2,134.7,70.8,607,0.9999,40.5,0,gpt-oss-120b,history_5,689,535.2
76,1,1,212.7,92.6,794,0.9995,41.0,1,gpt-oss-120b,history_5,945,716.5
77,3,1,951.3,174.5,890,0.8405,41.25,1,gpt-oss-120b,history_5,934,529.2
78,3,3,166.7,80.4,1034,0.9998,42.0,0,gpt-oss-120b,history_5,743,374.6
79,4,3,247.4,102.8,1323,0.9989,42.75,1,gpt-oss-120b,history_5,867,638.6
80,1,1,132.9,67.2,1152,0.9999,43.75,1,gpt-oss-120b,history_5,950,571.1
81,1,1,918.0,181.7,982,0.7929,44.0,0,gpt-oss-120b,history_5,950,529.7
82,1,1,903.5,171.4,847,0.8671,44.25,0,gpt-oss-120b,history_5,950,508.9
83,1,1,822.6,170.7,823,0.8889,44.5,0,gpt-oss-120b,history_5,950,659.1
84,1,1,901.1,172.5,868,0.8517,44.75,0,gpt-oss-120b,history_5,949,552.9
85,1,1,1014.4,186.0,1056,0.7548,45.0,0,gpt-oss-120b,history_5,950,504.1
86,4,1,929.3,181.6,980,0.794,45.25,1,gpt-oss-120b,history_5,816,444.3
87,4,4,93.6,53.4,916,1.0,46.25,0,gpt-oss-120b,history_5,844,466.6
88,1,1,100.3,57.5,985,1.0,47.25,1,gpt-oss-120b,history_5,946,562.9
89,1,1,932.6,180.0,958,0.8054,47.5,0,gpt-oss-120b,history_5,946,532.4
90,4,1,993.9,183.5,1011,0.7779,47.75,1,gpt-oss-120b,history_5,733,409.0
91,1,1,109.2,59.7,1023,1.0,48.75,1,gpt-oss-120b,history_5,945,757.0
92,4,1,986.2,184.7,1031,0.7676,49.0,1,gpt-oss-120b,history_5,723,403.1
93,1,1,125.9,66.5,1140,0.9999,50.0,1,gpt-oss-120b,history_5,949,540.4
94,4,1,949.1,183.7,1015,0.7758,50.25,1,gpt-oss-120b,history_5,906,493.4
95,3,3,106.4,57.7,989,1.0,51.25,1,gpt-oss-120b,history_5,850,467.9
96,2,2,131.7,66.7,858,0.9999,52.0,1,gpt-oss-120b,history_5,850,668.7
97,3,2,214.3,96.1,824,0.9993,52.5,1,gpt-oss-120b,history_5,771,411.8
98,3,3,137.9,68.1,875,0.9999,53.25,0,gpt-oss-120b,history_5,897,555.4
99,1,1,138.7,70.5,906,0.9999,54.0,1,gpt-oss-120b,history_5,947,690.6
100,3,1,764.2,168.5,788,0.9165,54.25,1,gpt-oss-120b,history_5,898,473.5
101,1,1,109.9,58.6,754,1.0,55.0,1,gpt-oss-120b,history_5,946,617.1
102,3,1,571.9,156.9,697,0.9649,55.25,1,gpt-oss-120b,history_5,757,405.4
103,2,2,102.0,56.7,729,1.0,56.0,1,gpt-oss-120b,history_5,854,520.8
104,3,2,241.3,105.8,908,0.9986,56.5,1,gpt-oss-120b,history_5,726,600.5
105,3,3,131.8,67.7,870,0.9999,57.25,0,gpt-oss-120b,history_5,851,502.1
106,3,3,108.8,60.9,783,1.0,58.0,0,gpt-oss-120b,history_5,655,448.6
107,1,1,113.9,61.3,788,1.0,58.75,1,gpt-oss-120b,history_5,944,1600.0
108,3,1,821.2,169.6,802,0.9061,59.0,1,gpt-oss-120b,history_5,877,569.2
109,1,1,113.1,62.4,802,1.0,59.75,1,gpt-oss-120b,history_5,944,535.1
110,3,1,869.1,172.3,866,0.8527,60.0,1,gpt-oss-120b,history_5,727,382.2
111,3,3,140.6,68.8,884,0.9999,60.75,0,gpt-oss-120b,history_5,922,610.6
112,3,3,121.7,63.0,810,1.0,61.5,0,gpt-oss-120b,history_5,760,422.9
113,2,2,125.9,64.1,824,1.0,62.25,1,gpt-oss-120b,history_5,824,463.2
114,3,2,228.5,98.0,841,0.9992,62.75,1,gpt-oss-120b,history_5,758,484.2
115,3,3,109.6,60.9,783,1.0,63.5,0,gpt-oss-120b,history_5,803,447.7
116,3,3,105.3,61.1,785,1.0,64.25,0,gpt-oss-120b,history_5,689,363.6
117,2,2,101.9,57.2,736,1.0,65.0,1,gpt-oss-120b,history_5,942,558.8
118,3,2,201.5,90.0,772,0.9996,65.5,1,gpt-oss-120b,history_5,724,449.1
119,1,1,96.1,56.0,720,1.0,66.25,1,gpt-oss-120b,history_5,943,522.7
120,3,1,872.5,172.5,868,0.8517,66.5,1,gpt-oss-120b,history_5,764,394.1
121,3,3,160.3,76.5,984,0.9999,67.25,0,gpt-oss-120b,history_5,839,541.5
122,3,3,134.8,69.7,896,0.9999,68.0,0,gpt-oss-120b,history_5,932,519.8
123,3,3,130.0,67.0,861,0.9999,68.75,0,gpt-oss-120b,history_5,767,419.6
124,3,3,126.0,67.2,864,0.9999,69.5,0,gpt-oss-120b,history_5,701,784.6
125,3,3,148.4,72.9,938,0.9999,70.25,0,gpt-oss-120b,history_5,697,504.4
126,3,3,159.1,77.5,997,0.9999,71.0,0,gpt-oss-120b,history_5,801,402.2
127,3,3,125.6,66.0,849,1.0,71.75,0,gpt-oss-120b,history_5,743,628.1
128,1,1,114.7,62.1,798,1.0,72.5,1,gpt-oss-120b,history_5,945,609.0
129,2,1,702.0,164.2,747,0.9422,72.75,1,gpt-oss-120b,history_5,860,483.5
130,1,1,228.4,100.6,863,0.999,73.25,1,gpt-oss-120b,history_5,944,716.4
131,3,1,956.6,179.3,948,0.8106,73.5,1,gpt-oss-120b,history_5,855,834.0
132,3,3,158.9,78.4,1008,0.9998,74.25,0,gpt-oss-120b,history_5,710,447.2
133,3,3,170.1,79.6,1023,0.9998,75.0,0,gpt-oss-120b,history_5,683,594.4
134,4,3,192.5,89.0,1145,0.9996,75.75,1,gpt-oss-120b,history_5,764,569.7
135,3,3,127.3,65.4,1121,1.0,76.75,1,gpt-oss-120b,history_5,871,544.0
136,5,3,239.8,100.5,1293,0.999,77.5,1,gpt-oss-120b,history_5,765,380.1
137,3,3,111.4,60.1,1287,1.0,78.75,1,gpt-oss-120b,history_5,865,467.8
138,5,3,252.0,106.9,1377,0.9985,79.5,1,gpt-oss-120b,history_5,839,440.0
139,1,1,126.9,68.1,1459,0.9999,80.75,1,gpt-oss-120b,history_5,950,534.9
140,1,1,1032.5,198.3,1696,0.5012,81.0,0,gpt-oss-120b,history_5,951,513.6
141,1,1,1071.2,198.5,1720,0.4945,81.25,0,gpt-oss-120b,history_5,953,601.1
142,5,1,1103.6,199.1,1904,0.4481,81.5,1,gpt-oss-120b,history_5,911,627.5
143,6,5,253.4,106.4,2283,0.9985,82.75,1,gpt-oss-120b,history_5,739,422.3
144,8,6,237.2,103.6,2668,0.9988,84.25,1,gpt-oss-120b,history_5,941,557.0
145,8,8,171.9,84.0,2882,0.9997,86.25,0,gpt-oss-120b,history_5,939,1838.0
146,10,8,207.0,93.6,3211,0.9994,88.25,1,gpt-oss-120b,history_5,944,525.5
147,10,10,168.9,80.7,3461,0.9998,90.75,0,gpt-oss-120b,history_5,905,533.8
148,1,1,182.5,84.1,3607,0.9997,93.25,1,gpt-oss-120b,history_5,953,515.1
149,10,1,1176.1,200.0,3659,0.2342,93.5,1,gpt-oss-120b,history_5,904,3548.3
150,12,10,199.5,89.2,3823,0.9996,96.0,1,gpt-oss-120b,history_5,954,681.2
151,12,12,153.5,75.2,3866,0.9999,99.0,0,gpt-oss-120b,history_5,635,501.6
152,1,1,149.3,73.4,3775,0.9999,102.0,1,gpt-oss-120b,history_5,954,554.7
153,1,1,1207.0,200.0,3550,0.2414,102.25,0,gpt-oss-120b,history_5,955,470.4
154,10,1,1184.7,200.0,3373,0.2541,102.5,1,gpt-oss-120b,history_5,876,530.5
155,8,8,155.8,76.2,3268,0.9999,105.0,1,gpt-oss-120b,history_5,937,1724.9
156,9,8,195.1,90.7,3112,0.9995,107.0,1,gpt-oss-120b,history_5,825,765.8
157,9,9,156.9,76.6,2955,0.9999,109.25,0,gpt-oss-120b,history_5,670,381.6
158,1,1,148.1,74.7,2880,0.9999,111.5,1,gpt-oss-120b,history_5,955,539.8
159,1,1,1150.5,199.9,2786,0.3075,111.75,0,gpt-oss-120b,history_5,955,698.1
160,1,1,1177.6,199.9,2666,0.3213,112.0,0,gpt-oss-120b,history_5,955,474.4
161,8,1,1247.4,199.8,2494,0.3433,112.25,1,gpt-oss-120b,history_5,904,670.1
162,1,1,136.7,69.3,2375,0.9999,114.25,1,gpt-oss-120b,history_5,956,522.9
163,8,1,1100.5,199.6,2270,0.3769,114.5,1,gpt-oss-120b,history_5,872,524.9
164,1,1,117.1,62.6,2148,1.0,116.5,1,gpt-oss-120b,history_5,956,592.9
165,1,1,1116.6,199.4,2053,0.4162,116.75,0,gpt-oss-120b,history_5,956,846.3
