step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,1,1,96.7,91.8,551,1.0,1.5,1,gpt-oss-120b,zero_shot,749,847.8
1,3,1,5452.5,100.0,520,0.5,2.0,1,gpt-oss-120b,zero_shot,406,294.8
2,5,3,48.5,83.2,499,1.0,3.5,1,gpt-oss-120b,zero_shot,645,619.7
3,5,5,14.0,51.3,513,1.0,6.0,0,gpt-oss-120b,zero_shot,366,239.9
4,5,5,14.4,51.9,519,1.0,8.5,0,gpt-oss-120b,zero_shot,380,394.5
5,5,5,16.1,57.1,571,1.0,11.0,0,gpt-oss-120b,zero_shot,541,2719.7
6,1,1,41.9,79.5,795,1.0,13.5,1,gpt-oss-120b,zero_shot,749,56007.2
7,5,1,4763.5,100.0,933,0.5,14.0,1,gpt-oss-120b,zero_shot,444,1449.0
8,1,1,91.2,91.3,913,1.0,16.5,1,gpt-oss-120b,zero_shot,749,556.0
9,5,1,5601.0,100.0,848,0.5,17.0,1,gpt-oss-120b,zero_shot,393,671.6
10,9,5,81.1,89.0,890,1.0,19.5,1,gpt-oss-120b,zero_shot,484,934.5
11,5,5,13.5,49.4,889,1.0,24.0,1,gpt-oss-120b,zero_shot,600,449.0
12,8,5,38.3,76.8,768,1.0,26.5,1,gpt-oss-120b,zero_shot,729,53665.3
13,8,8,12.6,48.9,782,1.0,30.5,0,gpt-oss-120b,zero_shot,398,819.9
14,1,1,13.3,48.4,774,1.0,34.5,1,gpt-oss-120b,zero_shot,749,550.7
15,4,1,4938.1,100.0,790,0.5,35.0,1,gpt-oss-120b,zero_shot,501,996.3
16,1,1,248.5,100.0,800,1.0,37.0,1,gpt-oss-120b,zero_shot,749,480.3
17,5,1,5266.5,100.0,896,0.5,37.5,1,gpt-oss-120b,zero_shot,405,601.6
18,10,5,97.4,91.7,917,1.0,40.0,1,gpt-oss-120b,zero_shot,603,54818.8
19,10,10,13.3,46.7,933,1.0,45.0,0,gpt-oss-120b,zero_shot,394,274.8
20,1,1,12.9,44.7,894,1.0,50.0,1,gpt-oss-120b,zero_shot,749,1699.6
21,5,1,4860.3,100.0,885,0.5,50.5,1,gpt-oss-120b,zero_shot,526,620.2
22,9,5,45.8,81.8,818,1.0,53.0,1,gpt-oss-120b,zero_shot,732,1225.4
23,1,1,13.4,44.1,793,1.0,57.5,1,gpt-oss-120b,zero_shot,749,661.3
24,4,1,5457.0,100.0,789,0.5,58.0,1,gpt-oss-120b,zero_shot,543,53745.0
25,5,4,251.4,100.0,809,0.9944,60.0,1,gpt-oss-120b,zero_shot,636,731.6
26,1,1,44.8,80.8,808,1.0,62.5,1,gpt-oss-120b,zero_shot,749,607.4
27,5,1,5113.3,100.0,860,0.5,63.0,1,gpt-oss-120b,zero_shot,553,371.5
