step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,100.9,91.8,551,1.0,1.5,0,keda,baseline,0,0
1,3,3,65.4,86.7,520,1.0,3.0,0,keda,baseline,0,0
2,3,3,54.0,83.2,499,1.0,4.5,0,keda,baseline,0,0
3,3,3,62.5,85.5,513,1.0,6.0,0,keda,baseline,0,0
4,3,3,64.7,86.5,519,1.0,7.5,0,keda,baseline,0,0
5,3,3,137.3,95.2,571,1.0,9.0,0,keda,baseline,0,0
6,4,3,690.4,100.0,795,0.8375,10.5,1,keda,baseline,0,0
7,5,4,399.3,100.0,933,0.9169,12.5,1,keda,baseline,0,0
8,5,5,95.1,91.3,913,1.0,15.0,0,keda,baseline,0,0
9,5,5,56.0,84.8,848,1.0,17.5,0,keda,baseline,0,0
10,5,5,80.5,89.0,890,1.0,20.0,0,keda,baseline,0,0
11,5,5,76.3,88.9,889,1.0,22.5,0,keda,baseline,0,0
12,4,4,36.0,76.8,768,1.0,25.0,1,keda,baseline,0,0
13,4,4,166.2,97.8,782,1.0,27.0,0,keda,baseline,0,0
14,4,4,168.6,96.8,774,1.0,29.0,0,keda,baseline,0,0
15,4,4,235.7,98.8,790,1.0,31.0,0,keda,baseline,0,0
16,4,4,254.4,100.0,800,1.0,33.0,0,keda,baseline,0,0
17,5,4,386.3,100.0,896,0.94,35.0,1,keda,baseline,0,0
18,5,5,97.9,91.7,917,1.0,37.5,0,keda,baseline,0,0
19,5,5,116.2,93.3,933,1.0,40.0,0,keda,baseline,0,0
20,5,5,81.9,89.4,894,1.0,42.5,0,keda,baseline,0,0
21,5,5,77.4,88.5,885,1.0,45.0,0,keda,baseline,0,0
22,5,5,43.7,81.8,818,1.0,47.5,0,keda,baseline,0,0
23,4,4,39.9,79.3,793,1.0,50.0,1,keda,baseline,0,0
24,4,4,197.7,98.6,789,1.0,52.0,0,keda,baseline,0,0
25,5,4,285.7,100.0,809,0.9944,54.0,1,keda,baseline,0,0
26,5,5,44.0,80.8,808,1.0,56.5,0,keda,baseline,0,0
27,5,5,59.1,86.0,860,1.0,59.0,0,keda,baseline,0,0
28,4,4,33.8,75.0,750,1.0,61.5,1,keda,baseline,0,0
29,4,4,114.8,93.9,751,1.0,63.5,0,keda,baseline,0,0
30,5,4,301.7,100.0,823,0.9856,65.5,1,keda,baseline,0,0
31,4,4,40.2,79.2,792,1.0,68.0,1,keda,baseline,0,0
32,4,4,58.7,85.1,681,1.0,70.0,0,keda,baseline,0,0
33,4,4,57.2,84.8,678,1.0,72.0,0,keda,baseline,0,0
34,4,4,45.1,79.8,638,1.0,74.0,0,keda,baseline,0,0
35,4,4,34.1,76.0,608,1.0,76.0,0,keda,baseline,0,0
36,3,3,30.2,71.4,571,1.0,78.0,1,keda,baseline,0,0
37,4,3,299.0,100.0,629,0.9758,79.5,1,keda,baseline,0,0
38,4,4,36.6,76.8,614,1.0,81.5,0,keda,baseline,0,0
39,4,4,36.1,76.9,615,1.0,83.5,0,keda,baseline,0,0
40,4,4,54.0,84.8,678,1.0,85.5,0,keda,baseline,0,0
41,5,4,263.1,100.0,809,0.9944,87.5,1,keda,baseline,0,0
42,4,4,29.5,72.4,724,1.0,90.0,1,keda,baseline,0,0
43,4,4,128.4,94.5,756,1.0,92.0,0,keda,baseline,0,0
44,4,4,95.6,91.5,732,1.0,94.0,0,keda,baseline,0,0
45,4,4,94.0,92.2,738,1.0,96.0,0,keda,baseline,0,0
46,4,4,65.6,87.1,697,1.0,98.0,0,keda,baseline,0,0
47,4,4,93.5,91.5,732,1.0,100.0,0,keda,baseline,0,0
48,5,4,282.0,100.0,815,0.9906,102.0,1,keda,baseline,0,0
49,5,5,43.0,81.9,819,1.0,104.5,0,keda,baseline,0,0
50,5,5,54.6,83.6,836,1.0,107.0,0,keda,baseline,0,0
51,5,5,45.6,82.2,822,1.0,109.5,0,keda,baseline,0,0
52,4,4,28.4,70.7,707,1.0,112.0,1,keda,baseline,0,0
53,4,4,56.3,84.1,673,1.0,114.0,0,keda,baseline,0,0
54,4,4,41.1,79.1,633,1.0,116.0,0,keda,baseline,0,0
55,4,4,40.7,80.0,640,1.0,118.0,0,keda,baseline,0,0
56,4,4,41.2,77.9,623,1.0,120.0,0,keda,baseline,0,0
57,4,4,64.7,87.2,698,1.0,122.0,0,keda,baseline,0,0
58,3,3,29.7,73.8,590,1.0,124.0,1,keda,baseline,0,0
59,4,3,259.3,100.0,604,0.9967,125.5,1,keda,baseline,0,0
60,4,4,72.1,88.0,704,1.0,127.5,0,keda,baseline,0,0
61,4,4,77.2,89.9,719,1.0,129.5,0,keda,baseline,0,0
62,4,4,110.0,93.1,745,1.0,131.5,0,keda,baseline,0,0
63,4,4,238.5,99.4,795,1.0,133.5,0,keda,baseline,0,0
64,4,4,236.0,99.1,793,1.0,135.5,0,keda,baseline,0,0
65,4,4,101.5,91.8,734,1.0,137.5,0,keda,baseline,0,0
66,4,4,79.6,89.0,712,1.0,139.5,0,keda,baseline,0,0
67,4,4,70.3,87.8,702,1.0,141.5,0,keda,baseline,0,0
68,4,4,91.1,91.2,730,1.0,143.5,0,keda,baseline,0,0
69,4,4,39.0,78.1,625,1.0,145.5,0,keda,baseline,0,0
70,4,4,72.8,86.9,695,1.0,147.5,0,keda,baseline,0,0
71,4,4,34.4,77.2,618,1.0,149.5,0,keda,baseline,0,0
72,3,3,28.3,69.5,556,1.0,151.5,1,keda,baseline,0,0
73,3,3,196.3,98.2,589,1.0,153.0,0,keda,baseline,0,0
74,3,3,67.0,87.2,523,1.0,154.5,0,keda,baseline,0,0
75,4,3,273.9,100.0,607,0.9942,156.0,1,keda,baseline,0,0
76,4,4,223.4,99.2,794,1.0,158.0,0,keda,baseline,0,0
77,5,4,341.5,100.0,890,0.9437,160.0,1,keda,baseline,0,0
78,6,5,290.5,100.0,1034,0.983,162.5,1,keda,baseline,0,0
79,7,6,373.9,100.0,1323,0.9487,165.5,1,keda,baseline,0,0
80,6,6,47.0,82.3,1152,1.0,169.0,1,keda,baseline,0,0
81,5,5,47.7,81.8,982,1.0,172.0,1,keda,baseline,0,0
82,5,5,56.7,84.7,847,1.0,174.5,0,keda,baseline,0,0
83,5,5,48.2,82.3,823,1.0,177.0,0,keda,baseline,0,0
84,5,5,65.7,86.8,868,1.0,179.5,0,keda,baseline,0,0
85,6,5,325.6,100.0,1056,0.972,182.0,1,keda,baseline,0,0
86,5,5,48.3,81.7,980,1.0,185.0,1,keda,baseline,0,0
87,5,5,90.0,91.6,916,1.0,187.5,0,keda,baseline,0,0
88,5,5,204.1,98.5,985,1.0,190.0,0,keda,baseline,0,0
89,5,5,150.3,95.8,958,1.0,192.5,0,keda,baseline,0,0
90,6,5,263.5,100.0,1011,0.9945,195.0,1,keda,baseline,0,0
91,6,6,57.2,85.2,1023,1.0,198.0,0,keda,baseline,0,0
92,6,6,67.1,85.9,1031,1.0,201.0,0,keda,baseline,0,0
93,6,6,144.1,95.0,1140,1.0,204.0,0,keda,baseline,0,0
94,6,6,60.0,84.6,1015,1.0,207.0,0,keda,baseline,0,0
95,5,5,50.9,82.4,989,1.0,210.0,1,keda,baseline,0,0
96,5,5,63.4,85.8,858,1.0,212.5,0,keda,baseline,0,0
97,5,5,45.4,82.4,824,1.0,215.0,0,keda,baseline,0,0
98,5,5,76.7,87.5,875,1.0,217.5,0,keda,baseline,0,0
99,5,5,88.1,90.6,906,1.0,220.0,0,keda,baseline,0,0
100,4,4,40.9,78.8,788,1.0,222.5,1,keda,baseline,0,0
101,4,4,134.3,94.2,754,1.0,224.5,0,keda,baseline,0,0
102,4,4,67.7,87.1,697,1.0,226.5,0,keda,baseline,0,0
103,4,4,95.9,91.1,729,1.0,228.5,0,keda,baseline,0,0
104,5,4,387.9,100.0,908,0.9325,230.5,1,keda,baseline,0,0
105,5,5,61.2,87.0,870,1.0,233.0,0,keda,baseline,0,0
106,4,4,35.8,78.3,783,1.0,235.5,1,keda,baseline,0,0
107,4,4,214.0,98.5,788,1.0,237.5,0,keda,baseline,0,0
