step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,65.2,42.9,551,1.0,0.75,0,llama-70b,cot,554,9411.3
1,3,3,64.7,40.4,520,1.0,1.5,0,llama-70b,cot,0,0.0
2,3,3,56.8,38.8,499,1.0,2.25,0,llama-70b,cot,0,0.0
3,3,3,61.5,39.9,513,1.0,3.0,0,llama-70b,cot,547,144949.6
4,3,3,65.0,40.4,519,1.0,3.75,0,llama-70b,cot,549,31975.2
5,3,3,74.9,44.4,571,1.0,4.5,0,llama-70b,cot,597,23589.8
6,4,3,114.2,61.8,795,1.0,5.25,1,llama-70b,cot,518,51543.2
7,6,4,102.4,54.4,933,1.0,6.25,1,llama-70b,cot,763,79841.3
8,6,6,46.0,35.5,913,1.0,7.75,0,llama-70b,cot,580,21002.3
9,6,6,52.2,33.0,848,1.0,9.25,0,llama-70b,cot,571,48393.2
10,7,6,47.5,34.6,890,1.0,10.75,1,llama-70b,cot,492,83360.4
11,7,7,52.8,29.6,889,1.0,12.5,0,llama-70b,cot,589,65695.8
12,7,7,49.5,25.6,768,1.0,14.25,0,llama-70b,cot,552,20166.4
13,7,7,48.4,26.1,782,1.0,16.0,0,llama-70b,cot,589,20399.4
14,7,7,50.3,25.8,774,1.0,17.75,0,llama-70b,cot,540,58999.1
15,7,7,49.2,26.3,790,1.0,19.5,0,llama-70b,cot,602,334689.5
16,7,7,48.7,26.7,800,1.0,21.25,0,llama-70b,cot,567,22436.3
17,7,7,49.2,29.9,896,1.0,23.0,0,llama-70b,cot,532,339143.6
18,7,7,51.3,30.6,917,1.0,24.75,0,llama-70b,cot,547,39412.9
19,7,7,49.2,31.1,933,1.0,26.5,0,llama-70b,cot,588,29718.8
20,7,7,50.1,29.8,894,1.0,28.25,0,llama-70b,cot,589,43946.8
21,7,7,50.3,29.5,885,1.0,30.0,0,llama-70b,cot,595,91569.4
22,7,7,50.5,27.3,818,1.0,31.75,0,llama-70b,cot,595,16750.5
23,7,7,51.0,26.4,793,1.0,33.5,0,llama-70b,cot,543,31942.2
24,7,7,48.9,26.3,789,1.0,35.25,0,llama-70b,cot,0,0.0
