step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,6,3,101.1,91.8,551,1.0,1.5,1,llama-70b,domain,343,508.0
1,6,6,12.5,43.3,520,1.0,4.5,0,llama-70b,domain,343,191.0
2,6,6,12.7,41.6,499,1.0,7.5,0,llama-70b,domain,343,126.8
3,6,6,11.4,42.8,513,1.0,10.5,0,llama-70b,domain,343,162.0
4,6,6,11.6,43.2,519,1.0,13.5,0,llama-70b,domain,343,109.0
5,6,6,14.1,47.6,571,1.0,16.5,0,llama-70b,domain,343,174.7
6,9,6,21.0,66.2,795,1.0,19.5,1,llama-70b,domain,343,112.0
7,9,9,14.9,51.8,933,1.0,24.0,0,llama-70b,domain,343,115.9
8,9,9,15.4,50.7,913,1.0,28.5,0,llama-70b,domain,343,166.2
9,9,9,13.5,47.1,848,1.0,33.0,0,llama-70b,domain,343,161.3
10,9,9,13.9,49.4,890,1.0,37.5,0,llama-70b,domain,343,154.8
11,9,9,13.9,49.4,889,1.0,42.0,0,llama-70b,domain,343,120.7
12,9,9,12.2,42.7,768,1.0,46.5,0,llama-70b,domain,343,227.9
13,9,9,13.1,43.4,782,1.0,51.0,0,llama-70b,domain,343,129.3
14,9,9,12.3,43.0,774,1.0,55.5,0,llama-70b,domain,343,111.2
15,9,9,12.1,43.9,790,1.0,60.0,0,llama-70b,domain,343,113.7
16,9,9,13.2,44.4,800,1.0,64.5,0,llama-70b,domain,343,116.9
17,9,9,14.2,49.8,896,1.0,69.0,0,llama-70b,domain,343,116.1
18,9,9,13.9,50.9,917,1.0,73.5,0,llama-70b,domain,343,386.2
19,9,9,14.6,51.8,933,1.0,78.0,0,llama-70b,domain,343,109.5
20,9,9,14.8,49.7,894,1.0,82.5,0,llama-70b,domain,343,111.0
21,9,9,13.0,49.2,885,1.0,87.0,0,llama-70b,domain,343,108.0
22,9,9,13.4,45.4,818,1.0,91.5,0,llama-70b,domain,343,122.9
23,9,9,12.6,44.1,793,1.0,96.0,0,llama-70b,domain,343,110.7
24,9,9,13.0,43.8,789,1.0,100.5,0,llama-70b,domain,343,109.0
25,9,9,13.7,44.9,809,1.0,105.0,0,llama-70b,domain,343,116.2
