step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,102.2,91.8,551,1.0,1.5,1,llama-70b,history_5,212,20392.9
1,4,4,20.8,65.0,520,1.0,3.5,0,llama-70b,history_5,244,384.7
2,4,4,20.1,62.4,499,1.0,5.5,0,llama-70b,history_5,276,13840.1
3,4,4,22.4,64.1,513,1.0,7.5,0,llama-70b,history_5,308,9819.5
4,4,4,21.2,64.9,519,1.0,9.5,0,llama-70b,history_5,340,14871.4
5,5,4,28.3,71.4,571,1.0,11.5,1,llama-70b,history_5,372,467.4
6,8,5,41.4,79.5,795,1.0,14.0,1,llama-70b,history_5,372,21313.8
7,8,8,18.0,58.3,933,1.0,18.0,0,llama-70b,history_5,372,3987.9
8,8,8,16.9,57.1,913,1.0,22.0,0,llama-70b,history_5,372,7351.6
9,8,8,14.9,53.0,848,1.0,26.0,0,llama-70b,history_5,372,24211.1
10,10,8,15.4,55.6,890,1.0,30.0,1,llama-70b,history_5,372,426822.6
11,10,10,10.5,44.5,889,1.0,35.0,0,llama-70b,history_5,372,608446.7
12,8,8,11.0,38.4,768,1.0,40.0,1,llama-70b,history_5,372,6073.4
13,8,8,12.2,48.9,782,1.0,44.0,0,llama-70b,history_5,372,6476.0
14,8,8,14.5,48.4,774,1.0,48.0,0,llama-70b,history_5,372,4476.4
15,8,8,14.0,49.4,790,1.0,52.0,0,llama-70b,history_5,372,4527.8
16,8,8,14.1,50.0,800,1.0,56.0,0,llama-70b,history_5,372,302989.1
17,12,8,15.6,56.0,896,1.0,60.0,1,llama-70b,history_5,372,9509.9
18,10,10,9.8,38.2,917,1.0,66.0,1,llama-70b,history_5,372,12060.3
19,10,10,13.1,46.7,933,1.0,71.0,0,llama-70b,history_5,372,420.1
20,10,10,12.0,44.7,894,1.0,76.0,0,llama-70b,history_5,372,420.0
21,10,10,11.7,44.2,885,1.0,81.0,0,llama-70b,history_5,372,3104.8
22,9,9,10.9,40.9,818,1.0,86.0,1,llama-70b,history_5,372,708.3
23,9,9,13.0,44.1,793,1.0,90.5,0,llama-70b,history_5,372,406.5
24,9,9,12.6,43.8,789,1.0,95.0,0,llama-70b,history_5,372,18841.7
25,9,9,12.8,44.9,809,1.0,99.5,0,llama-70b,history_5,372,446.9
26,9,9,11.1,44.9,808,1.0,104.0,0,llama-70b,history_5,372,422.4
27,10,9,13.7,47.8,860,1.0,108.5,1,llama-70b,history_5,372,394.5
28,10,10,11.6,37.5,750,1.0,113.5,0,llama-70b,history_5,372,528.1
29,10,10,11.3,37.5,751,1.0,118.5,0,llama-70b,history_5,372,515.0
30,10,10,10.7,41.1,823,1.0,123.5,0,llama-70b,history_5,372,753.3
31,10,10,10.8,39.6,792,1.0,128.5,0,llama-70b,history_5,372,407.1
32,10,10,10.5,34.1,681,1.0,133.5,0,llama-70b,history_5,372,390.3
33,10,10,10.1,33.9,678,1.0,138.5,0,llama-70b,history_5,372,7405.4
34,10,10,10.6,31.9,638,1.0,143.5,0,llama-70b,history_5,372,1699.4
35,10,10,9.7,30.4,608,1.0,148.5,0,llama-70b,history_5,372,474.1
36,10,10,9.5,28.5,571,1.0,153.5,0,llama-70b,history_5,372,423.6
37,10,10,10.9,31.4,629,1.0,158.5,0,llama-70b,history_5,372,424.0
38,10,10,9.8,30.7,614,1.0,163.5,0,llama-70b,history_5,372,18192.0
39,10,10,9.9,30.8,615,1.0,168.5,0,llama-70b,history_5,372,350526.5
40,12,10,10.3,33.9,678,1.0,173.5,1,llama-70b,history_5,372,355446.0
41,15,12,10.4,33.7,809,1.0,179.5,1,llama-70b,history_5,372,179549.0
42,15,15,10.1,24.1,724,1.0,187.0,0,llama-70b,history_5,372,30839.6
43,15,15,10.4,25.2,756,1.0,194.5,0,llama-70b,history_5,372,333907.4
44,15,15,8.0,24.4,732,1.0,202.0,0,llama-70b,history_5,372,5303.2
45,15,15,9.2,24.6,738,1.0,209.5,0,llama-70b,history_5,372,506.7
46,15,15,9.2,23.2,697,1.0,217.0,0,llama-70b,history_5,372,517.0
47,15,15,9.1,24.4,732,1.0,224.5,0,llama-70b,history_5,372,457.2
48,15,15,9.5,27.2,815,1.0,232.0,0,llama-70b,history_5,372,460.2
49,15,15,8.8,27.3,819,1.0,239.5,0,llama-70b,history_5,372,1579.2
50,15,15,10.1,27.9,836,1.0,247.0,0,llama-70b,history_5,372,8607.4
51,15,15,9.2,27.4,822,1.0,254.5,0,llama-70b,history_5,372,484.0
52,15,15,10.0,23.6,707,1.0,262.0,0,llama-70b,history_5,372,516.6
53,12,12,8.5,22.4,673,1.0,269.5,1,llama-70b,history_5,372,655.7
54,12,12,8.8,26.4,633,1.0,275.5,0,llama-70b,history_5,372,29802.6
55,12,12,10.1,26.7,640,1.0,281.5,0,llama-70b,history_5,372,731.4
56,12,12,9.4,26.0,623,1.0,287.5,0,llama-70b,history_5,372,3271.8
57,13,12,9.9,29.1,698,1.0,293.5,1,llama-70b,history_5,372,487.0
58,13,13,9.2,22.7,590,1.0,300.0,0,llama-70b,history_5,372,427.0
59,13,13,8.8,23.2,604,1.0,306.5,0,llama-70b,history_5,372,548.3
60,13,13,9.6,27.1,704,1.0,313.0,0,llama-70b,history_5,372,821.2
61,14,13,10.1,27.7,719,1.0,319.5,1,llama-70b,history_5,372,455.0
62,15,14,10.2,26.6,745,1.0,326.5,1,llama-70b,history_5,372,520.8
63,16,15,9.6,26.5,795,1.0,334.0,1,llama-70b,history_5,372,691.0
64,16,16,9.7,24.8,793,1.0,342.0,0,llama-70b,history_5,372,383.8
65,16,16,9.0,22.9,734,1.0,350.0,0,llama-70b,history_5,372,1275.6
66,16,16,9.0,22.2,712,1.0,358.0,0,llama-70b,history_5,372,7934.6
67,16,16,8.0,21.9,702,1.0,366.0,0,llama-70b,history_5,372,470.7
68,16,16,9.6,22.8,730,1.0,374.0,0,llama-70b,history_5,372,988.0
69,13,13,8.6,19.5,625,1.0,382.0,1,llama-70b,history_5,372,16453.1
70,13,13,10.0,26.7,695,1.0,388.5,0,llama-70b,history_5,372,8041.3
71,13,13,9.7,23.8,618,1.0,395.0,0,llama-70b,history_5,372,865.8
72,13,13,9.1,21.4,556,1.0,401.5,0,llama-70b,history_5,372,429.6
73,13,13,9.2,22.7,589,1.0,408.0,0,llama-70b,history_5,372,472.9
