step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,112.5,91.8,551,1.0,1.5,1,llama-70b,zero_shot,206,968.4
1,4,4,25.5,65.0,520,1.0,3.5,0,llama-70b,zero_shot,206,376.1
2,4,4,20.6,62.4,499,1.0,5.5,0,llama-70b,zero_shot,206,374.5
3,4,4,19.2,64.1,513,1.0,7.5,0,llama-70b,zero_shot,206,468.7
4,4,4,22.2,64.9,519,1.0,9.5,0,llama-70b,zero_shot,206,408.5
5,4,4,27.8,71.4,571,1.0,11.5,0,llama-70b,zero_shot,206,393.3
6,8,4,222.8,99.4,795,1.0,13.5,1,llama-70b,zero_shot,206,536.9
7,8,8,16.9,58.3,933,1.0,17.5,0,llama-70b,zero_shot,206,377.9
8,8,8,17.2,57.1,913,1.0,21.5,0,llama-70b,zero_shot,206,370.3
9,8,8,15.8,53.0,848,1.0,25.5,0,llama-70b,zero_shot,206,371.4
10,8,8,15.9,55.6,890,1.0,29.5,0,llama-70b,zero_shot,206,368.3
11,8,8,16.2,55.6,889,1.0,33.5,0,llama-70b,zero_shot,206,371.6
12,8,8,13.7,48.0,768,1.0,37.5,0,llama-70b,zero_shot,206,2479.1
13,8,8,13.4,48.9,782,1.0,41.5,0,llama-70b,zero_shot,206,397.2
14,8,8,13.3,48.4,774,1.0,45.5,0,llama-70b,zero_shot,206,370.4
15,8,8,14.8,49.4,790,1.0,49.5,0,llama-70b,zero_shot,206,383.2
16,8,8,13.8,50.0,800,1.0,53.5,0,llama-70b,zero_shot,206,377.1
17,8,8,16.4,56.0,896,1.0,57.5,0,llama-70b,zero_shot,206,396.0
18,8,8,16.7,57.3,917,1.0,61.5,0,llama-70b,zero_shot,206,1824.2
19,8,8,16.4,58.3,933,1.0,65.5,0,llama-70b,zero_shot,206,387.9
20,8,8,16.2,55.9,894,1.0,69.5,0,llama-70b,zero_shot,206,373.7
21,8,8,16.6,55.3,885,1.0,73.5,0,llama-70b,zero_shot,206,372.5
22,8,8,14.9,51.1,818,1.0,77.5,0,llama-70b,zero_shot,206,394.2
23,8,8,13.7,49.6,793,1.0,81.5,0,llama-70b,zero_shot,206,395.4
24,8,8,13.1,49.3,789,1.0,85.5,0,llama-70b,zero_shot,206,397.1
25,8,8,13.9,50.6,809,1.0,89.5,0,llama-70b,zero_shot,206,377.9
26,8,8,14.5,50.5,808,1.0,93.5,0,llama-70b,zero_shot,206,403.6
27,8,8,14.1,53.8,860,1.0,97.5,0,llama-70b,zero_shot,206,400.5
28,8,8,12.9,46.9,750,1.0,101.5,0,llama-70b,zero_shot,206,380.8
29,8,8,12.1,46.9,751,1.0,105.5,0,llama-70b,zero_shot,206,400.1
30,8,8,15.1,51.4,823,1.0,109.5,0,llama-70b,zero_shot,206,368.7
31,8,8,14.0,49.5,792,1.0,113.5,0,llama-70b,zero_shot,206,403.7
32,8,8,12.3,42.6,681,1.0,117.5,0,llama-70b,zero_shot,206,392.1
33,8,8,12.7,42.4,678,1.0,121.5,0,llama-70b,zero_shot,206,419.8
34,8,8,12.1,39.9,638,1.0,125.5,0,llama-70b,zero_shot,206,378.7
