step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,102.3,91.8,551,1.0,1.5,0,llama4-scout,history_5,0,0.0
1,3,3,62.0,86.7,520,1.0,3.0,0,llama4-scout,history_5,0,0.0
2,3,3,52.1,83.2,499,1.0,4.5,0,llama4-scout,history_5,0,0.0
3,3,3,57.2,85.5,513,1.0,6.0,0,llama4-scout,history_5,0,0.0
4,3,3,69.5,86.5,519,1.0,7.5,0,llama4-scout,history_5,0,0.0
5,3,3,147.5,95.2,571,1.0,9.0,0,llama4-scout,history_5,0,0.0
6,3,3,715.9,100.0,795,0.8375,10.5,0,llama4-scout,history_5,0,0.0
7,3,3,1258.5,100.0,933,0.7225,12.0,0,llama4-scout,history_5,0,0.0
8,3,3,1262.7,100.0,913,0.7392,13.5,0,llama4-scout,history_5,0,0.0
9,6,3,882.4,100.0,848,0.7933,15.0,1,llama4-scout,history_5,370,152.4
10,6,6,31.8,74.2,890,1.0,18.0,0,llama4-scout,history_5,370,367.0
11,6,6,32.1,74.1,889,1.0,21.0,0,llama4-scout,history_5,370,91.4
12,5,5,19.6,64.0,768,1.0,24.0,1,llama4-scout,history_5,369,258.4
13,5,5,39.2,78.2,782,1.0,26.5,0,llama4-scout,history_5,367,536.1
14,5,5,35.4,77.4,774,1.0,29.0,0,llama4-scout,history_5,365,288.8
15,6,5,41.3,79.0,790,1.0,31.5,1,llama4-scout,history_5,364,336.8
16,6,6,24.0,66.7,800,1.0,34.5,0,llama4-scout,history_5,364,356.3
17,6,6,32.0,74.7,896,1.0,37.5,0,llama4-scout,history_5,364,261.0
18,7,6,34.1,76.4,917,1.0,40.5,1,llama4-scout,history_5,364,642.2
19,7,7,22.5,66.6,933,1.0,44.0,0,llama4-scout,history_5,364,544.9
20,7,7,22.4,63.9,894,1.0,47.5,0,llama4-scout,history_5,364,453.9
21,7,7,21.6,63.2,885,1.0,51.0,0,llama4-scout,history_5,364,127.4
22,7,7,18.8,58.4,818,1.0,54.5,0,llama4-scout,history_5,364,281.0
23,7,7,17.4,56.6,793,1.0,58.0,0,llama4-scout,history_5,364,115.5
24,7,7,15.7,56.4,789,1.0,61.5,0,llama4-scout,history_5,364,187.3
25,7,7,16.0,57.8,809,1.0,65.0,0,llama4-scout,history_5,364,233.4
26,7,7,17.3,57.7,808,1.0,68.5,0,llama4-scout,history_5,364,233.1
27,7,7,19.9,61.4,860,1.0,72.0,0,llama4-scout,history_5,364,93.0
28,7,7,16.6,53.6,750,1.0,75.5,0,llama4-scout,history_5,364,189.0
29,7,7,15.0,53.6,751,1.0,79.0,0,llama4-scout,history_5,364,252.8
30,7,7,16.0,58.8,823,1.0,82.5,0,llama4-scout,history_5,364,287.5
31,7,7,15.9,56.6,792,1.0,86.0,0,llama4-scout,history_5,364,109.6
32,6,6,13.0,48.6,681,1.0,89.5,1,llama4-scout,history_5,364,111.9
