step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,5,3,101.2,91.8,551,1.0,1.5,1,mistral-small4,domain,359,1297.2
1,5,5,16.2,52.0,520,1.0,4.0,0,mistral-small4,domain,358,703.8
2,5,5,14.5,49.9,499,1.0,6.5,0,mistral-small4,domain,358,254.5
3,5,5,14.2,51.3,513,1.0,9.0,0,mistral-small4,domain,358,315.4
4,5,5,15.3,51.9,519,1.0,11.5,0,mistral-small4,domain,358,218.0
5,6,5,15.7,57.1,571,1.0,14.0,1,mistral-small4,domain,358,252.0
6,7,6,24.6,66.2,795,1.0,17.0,1,mistral-small4,domain,358,209.4
7,8,7,22.3,66.6,933,1.0,20.5,1,mistral-small4,domain,358,625.5
8,9,8,17.3,57.1,913,1.0,24.5,1,mistral-small4,domain,358,624.0
9,9,9,13.0,47.1,848,1.0,29.0,0,mistral-small4,domain,358,169.7
10,9,9,13.6,49.4,890,1.0,33.5,0,mistral-small4,domain,358,428.9
11,9,9,13.6,49.4,889,1.0,38.0,0,mistral-small4,domain,358,191.8
12,10,9,11.4,42.7,768,1.0,42.5,1,mistral-small4,domain,359,259.0
13,10,10,10.9,39.1,782,1.0,47.5,0,mistral-small4,domain,361,189.9
14,10,10,11.1,38.7,774,1.0,52.5,0,mistral-small4,domain,361,206.1
15,10,10,11.9,39.5,790,1.0,57.5,0,mistral-small4,domain,361,180.6
16,10,10,10.7,40.0,800,1.0,62.5,0,mistral-small4,domain,361,317.3
17,10,10,13.2,44.8,896,1.0,67.5,0,mistral-small4,domain,361,178.0
18,10,10,13.4,45.9,917,1.0,72.5,0,mistral-small4,domain,361,205.4
19,10,10,13.3,46.7,933,1.0,77.5,0,mistral-small4,domain,361,205.2
20,10,10,12.2,44.7,894,1.0,82.5,0,mistral-small4,domain,361,621.6
21,10,10,12.9,44.2,885,1.0,87.5,0,mistral-small4,domain,361,612.3
22,10,10,11.4,40.9,818,1.0,92.5,0,mistral-small4,domain,361,216.0
23,10,10,11.6,39.6,793,1.0,97.5,0,mistral-small4,domain,361,172.4
