step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,66.5,42.9,551,1.0,0.75,0,mistral-small4,history_5,229,765.6
1,3,3,63.0,40.4,520,1.0,1.5,0,mistral-small4,history_5,265,385.8
2,3,3,57.3,38.8,499,1.0,2.25,0,mistral-small4,history_5,301,388.7
3,3,3,61.2,39.9,513,1.0,3.0,0,mistral-small4,history_5,337,503.0
4,3,3,61.5,40.4,519,1.0,3.75,0,mistral-small4,history_5,373,389.6
5,3,3,72.2,44.4,571,1.0,4.5,0,mistral-small4,history_5,409,380.2
6,4,3,117.2,61.8,795,1.0,5.25,1,mistral-small4,history_5,410,385.3
7,5,4,92.1,54.4,933,1.0,6.25,1,mistral-small4,history_5,410,463.7
8,5,5,68.9,42.6,913,1.0,7.5,0,mistral-small4,history_5,410,384.3
9,4,4,59.5,39.6,848,1.0,8.75,1,mistral-small4,history_5,410,394.5
10,4,4,90.8,51.9,890,1.0,9.75,0,mistral-small4,history_5,410,534.7
11,4,4,92.0,51.9,889,1.0,10.75,0,mistral-small4,history_5,410,363.3
12,4,4,74.1,44.8,768,1.0,11.75,0,mistral-small4,history_5,409,432.2
13,4,4,77.3,45.6,782,1.0,12.75,0,mistral-small4,history_5,409,764.7
14,4,4,72.3,45.1,774,1.0,13.75,0,mistral-small4,history_5,409,463.9
15,4,4,75.9,46.1,790,1.0,14.75,0,mistral-small4,history_5,409,403.9
16,4,4,75.5,46.7,800,1.0,15.75,0,mistral-small4,history_5,409,430.9
17,5,4,96.0,52.3,896,1.0,16.75,1,mistral-small4,history_5,409,453.4
18,5,5,67.3,42.8,917,1.0,18.0,0,mistral-small4,history_5,409,403.7
19,5,5,68.5,43.5,933,1.0,19.25,0,mistral-small4,history_5,409,443.4
20,5,5,64.7,41.7,894,1.0,20.5,0,mistral-small4,history_5,409,415.9
21,5,5,62.7,41.3,885,1.0,21.75,0,mistral-small4,history_5,409,383.1
