step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,4,3,96.6,91.8,551,1.0,1.5,1,mistral-small4,zero_shot,204,652.6
1,4,4,22.7,65.0,520,1.0,3.5,0,mistral-small4,zero_shot,204,243.0
2,4,4,18.9,62.4,499,1.0,5.5,0,mistral-small4,zero_shot,204,273.8
3,4,4,20.9,64.1,513,1.0,7.5,0,mistral-small4,zero_shot,204,220.9
4,4,4,21.4,64.9,519,1.0,9.5,0,mistral-small4,zero_shot,204,172.4
5,4,4,27.8,71.4,571,1.0,11.5,0,mistral-small4,zero_shot,204,162.7
6,6,4,228.1,99.4,795,1.0,13.5,1,mistral-small4,zero_shot,205,166.5
7,6,6,38.7,77.8,933,1.0,16.5,0,mistral-small4,zero_shot,204,252.7
8,6,6,35.9,76.1,913,1.0,19.5,0,mistral-small4,zero_shot,204,226.4
9,6,6,28.2,70.7,848,1.0,22.5,0,mistral-small4,zero_shot,204,703.9
10,6,6,31.4,74.2,890,1.0,25.5,0,mistral-small4,zero_shot,204,227.2
11,6,6,31.6,74.1,889,1.0,28.5,0,mistral-small4,zero_shot,204,246.3
12,6,6,21.3,64.0,768,1.0,31.5,0,mistral-small4,zero_shot,204,219.3
13,6,6,21.2,65.2,782,1.0,34.5,0,mistral-small4,zero_shot,204,199.0
14,6,6,21.8,64.5,774,1.0,37.5,0,mistral-small4,zero_shot,204,199.6
15,6,6,23.8,65.8,790,1.0,40.5,0,mistral-small4,zero_shot,204,195.2
16,3,3,23.8,66.7,800,1.0,43.5,1,mistral-small4,zero_shot,204,202.4
17,12,3,1255.2,100.0,896,0.7533,45.0,1,mistral-small4,zero_shot,211,202.0
18,12,12,10.9,38.2,917,1.0,51.0,0,mistral-small4,zero_shot,207,638.7
19,12,12,11.9,38.9,933,1.0,57.0,0,mistral-small4,zero_shot,207,175.9
20,12,12,9.9,37.2,894,1.0,63.0,0,mistral-small4,zero_shot,206,654.3
21,12,12,10.8,36.9,885,1.0,69.0,0,mistral-small4,zero_shot,207,174.4
22,12,12,10.4,34.1,818,1.0,75.0,0,mistral-small4,zero_shot,207,176.0
23,12,12,11.6,33.0,793,1.0,81.0,0,mistral-small4,zero_shot,207,167.7
24,12,12,10.4,32.9,789,1.0,87.0,0,mistral-small4,zero_shot,207,271.3
25,12,12,10.0,33.7,809,1.0,93.0,0,mistral-small4,zero_shot,207,199.8
26,12,12,10.9,33.7,808,1.0,99.0,0,mistral-small4,zero_shot,207,207.8
27,12,12,10.2,35.8,860,1.0,105.0,0,mistral-small4,zero_shot,207,231.8
28,12,12,10.0,31.2,750,1.0,111.0,0,mistral-small4,zero_shot,207,194.5
29,12,12,10.5,31.3,751,1.0,117.0,0,mistral-small4,zero_shot,207,259.3
30,12,12,10.4,34.3,823,1.0,123.0,0,mistral-small4,zero_shot,207,173.1
31,12,12,10.2,33.0,792,1.0,129.0,0,mistral-small4,zero_shot,207,208.5
32,12,12,9.5,28.4,681,1.0,135.0,0,mistral-small4,zero_shot,206,183.2
33,12,12,9.4,28.2,678,1.0,141.0,0,mistral-small4,zero_shot,206,179.9
34,12,12,9.0,26.6,638,1.0,147.0,0,mistral-small4,zero_shot,206,1690.3
35,12,12,8.7,25.3,608,1.0,153.0,0,mistral-small4,zero_shot,206,1518.4
36,12,12,9.1,23.8,571,1.0,159.0,0,mistral-small4,zero_shot,206,1674.3
37,12,12,9.9,26.2,629,1.0,165.0,0,mistral-small4,zero_shot,206,216.9
38,12,12,8.7,25.6,614,1.0,171.0,0,mistral-small4,zero_shot,206,265.3
39,12,12,8.3,25.6,615,1.0,177.0,0,mistral-small4,zero_shot,206,219.7
40,12,12,8.3,28.2,678,1.0,183.0,0,mistral-small4,zero_shot,206,205.0
41,12,12,8.4,33.7,809,1.0,189.0,0,mistral-small4,zero_shot,206,209.6
42,12,12,9.9,30.2,724,1.0,195.0,0,mistral-small4,zero_shot,206,200.3
43,12,12,9.6,31.5,756,1.0,201.0,0,mistral-small4,zero_shot,206,219.6
44,12,12,9.4,30.5,732,1.0,207.0,0,mistral-small4,zero_shot,206,172.7
