step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,1254.4,100,914,0.7383,1.5,0,ppo,rl,0,0
1,12,12,11.7,41.2,989,1.0,7.5,1,ppo,rl,0,0
2,7,7,25.5,69.1,967,1.0,11.0,1,ppo,rl,0,0
3,7,7,21.4,64.4,902,1.0,14.5,0,ppo,rl,0,0
4,7,7,20.5,63.1,884,1.0,18.0,0,ppo,rl,0,0
5,7,7,22.6,65.9,923,1.0,21.5,0,ppo,rl,0,0
6,7,7,43.4,80.2,1123,1.0,25.0,0,ppo,rl,0,0
7,9,9,20.8,63.6,1145,1.0,29.5,1,ppo,rl,0,0
8,7,7,37.5,77.5,1085,1.0,33.0,1,ppo,rl,0,0
9,7,7,76.9,88.9,1244,1.0,36.5,0,ppo,rl,0,0
10,7,7,44.1,80.5,1127,1.0,40.0,0,ppo,rl,0,0
11,9,9,15.0,52.6,946,1.0,44.5,1,ppo,rl,0,0
12,9,9,17.7,58.6,1054,1.0,49.0,0,ppo,rl,0,0
13,9,9,15.4,53.6,964,1.0,53.5,0,ppo,rl,0,0
14,9,9,19.3,61.3,1104,1.0,58.0,0,ppo,rl,0,0
15,9,9,17.8,58.7,1056,1.0,62.5,0,ppo,rl,0,0
16,9,9,13.9,49.4,889,1.0,67.0,0,ppo,rl,0,0
17,9,9,13.9,49.4,890,1.0,71.5,0,ppo,rl,0,0
18,9,9,13.7,48.9,881,1.0,76.0,0,ppo,rl,0,0
19,9,9,15.5,53.9,970,1.0,80.5,0,ppo,rl,0,0
20,6,6,26.0,69.5,834,1.0,83.5,1,ppo,rl,0,0
21,6,6,32.6,74.7,896,1.0,86.5,0,ppo,rl,0,0
22,7,7,17.5,58.2,815,1.0,90.0,1,ppo,rl,0,0
23,6,6,23.0,66.4,797,1.0,93.0,1,ppo,rl,0,0
24,6,6,33.8,75.4,905,1.0,96.0,0,ppo,rl,0,0
25,7,7,21.4,64.4,901,1.0,99.5,1,ppo,rl,0,0
26,7,7,24.2,67.7,948,1.0,103.0,0,ppo,rl,0,0
27,7,7,40.7,79.1,1107,1.0,106.5,0,ppo,rl,0,0
28,7,7,62.9,86.1,1206,1.0,110.0,0,ppo,rl,0,0
29,12,12,16.2,55.5,1333,1.0,116.0,1,ppo,rl,0,0
30,10,10,33.3,75.1,1503,1.0,121.0,1,ppo,rl,0,0
31,10,10,45.7,81.2,1623,1.0,126.0,0,ppo,rl,0,0
32,12,12,30.9,73.5,1765,1.0,132.0,1,ppo,rl,0,0
33,12,12,33.1,75.0,1800,1.0,138.0,0,ppo,rl,0,0
34,12,12,39.9,78.7,1889,1.0,144.0,0,ppo,rl,0,0
35,12,12,36.7,77.1,1851,1.0,150.0,0,ppo,rl,0,0
36,12,12,25.4,68.9,1654,1.0,156.0,0,ppo,rl,0,0
37,12,12,24.1,67.5,1621,1.0,162.0,0,ppo,rl,0,0
38,9,9,33.0,74.9,1349,1.0,166.5,1,ppo,rl,0,0
39,9,9,26.6,70.1,1261,1.0,171.0,0,ppo,rl,0,0
40,8,8,28.6,71.8,1148,1.0,175.0,1,ppo,rl,0,0
41,7,7,30.8,73.4,1028,1.0,178.5,1,ppo,rl,0,0
42,7,7,20.8,63.5,889,1.0,182.0,0,ppo,rl,0,0
43,7,7,17.7,58.5,819,1.0,185.5,0,ppo,rl,0,0
44,7,7,18.7,60.4,845,1.0,189.0,0,ppo,rl,0,0
45,7,7,21.0,63.9,894,1.0,192.5,0,ppo,rl,0,0
46,7,7,17.7,58.5,819,1.0,196.0,0,ppo,rl,0,0
47,6,6,17.8,58.7,704,1.0,199.0,1,ppo,rl,0,0
48,6,6,17.5,58.1,697,1.0,202.0,0,ppo,rl,0,0
49,6,6,19.6,61.8,742,1.0,205.0,0,ppo,rl,0,0
50,6,6,35.3,76.3,916,1.0,208.0,0,ppo,rl,0,0
51,7,7,17.2,57.6,806,1.0,211.5,1,ppo,rl,0,0
52,6,6,20.9,63.7,764,1.0,214.5,1,ppo,rl,0,0
53,6,6,22.2,65.3,784,1.0,217.5,0,ppo,rl,0,0
54,7,7,15.5,53.8,753,1.0,221.0,1,ppo,rl,0,0
55,7,7,17.5,58.2,815,1.0,224.5,0,ppo,rl,0,0
56,6,6,22.1,65.2,783,1.0,227.5,1,ppo,rl,0,0
57,6,6,25.3,68.8,826,1.0,230.5,0,ppo,rl,0,0
58,7,7,16.0,55.0,770,1.0,234.0,1,ppo,rl,0,0
59,6,6,18.6,60.2,722,1.0,237.0,1,ppo,rl,0,0
60,6,6,19.1,61.0,732,1.0,240.0,0,ppo,rl,0,0
61,6,6,19.5,61.7,740,1.0,243.0,0,ppo,rl,0,0
62,6,6,23.1,66.5,798,1.0,246.0,0,ppo,rl,0,0
63,7,7,18.2,59.4,831,1.0,249.5,1,ppo,rl,0,0
64,7,7,21.8,64.9,908,1.0,253.0,0,ppo,rl,0,0
65,7,7,24.3,67.8,949,1.0,256.5,0,ppo,rl,0,0
66,7,7,21.9,65.1,911,1.0,260.0,0,ppo,rl,0,0
67,7,7,20.6,63.2,885,1.0,263.5,0,ppo,rl,0,0
68,7,7,19.5,61.6,863,1.0,267.0,0,ppo,rl,0,0
69,7,7,20.4,62.9,881,1.0,270.5,0,ppo,rl,0,0
70,7,7,21.9,65.0,910,1.0,274.0,0,ppo,rl,0,0
71,7,7,18.4,59.9,838,1.0,277.5,0,ppo,rl,0,0
72,7,7,17.9,58.9,825,1.0,281.0,0,ppo,rl,0,0
73,7,7,18.4,59.9,838,1.0,284.5,0,ppo,rl,0,0
74,6,6,21.3,64.2,770,1.0,287.5,1,ppo,rl,0,0
75,6,6,41.5,79.4,953,1.0,290.5,0,ppo,rl,0,0
76,7,7,21.3,64.3,900,1.0,294.0,1,ppo,rl,0,0
77,7,7,19.7,61.9,866,1.0,297.5,0,ppo,rl,0,0
78,6,6,23.9,67.4,809,1.0,300.5,1,ppo,rl,0,0
79,6,6,28.2,71.5,858,1.0,303.5,0,ppo,rl,0,0
80,7,7,17.4,58.0,812,1.0,307.0,1,ppo,rl,0,0
81,7,7,21.3,64.2,899,1.0,310.5,0,ppo,rl,0,0
82,7,7,21.0,63.9,894,1.0,314.0,0,ppo,rl,0,0
83,7,7,18.8,60.4,846,1.0,317.5,0,ppo,rl,0,0
84,6,6,23.2,66.6,799,1.0,320.5,1,ppo,rl,0,0
85,6,6,24.3,67.8,814,1.0,323.5,0,ppo,rl,0,0
86,7,7,16.5,56.1,786,1.0,327.0,1,ppo,rl,0,0
87,6,6,19.1,60.9,731,1.0,330.0,1,ppo,rl,0,0
88,6,6,23.8,67.2,807,1.0,333.0,0,ppo,rl,0,0
89,7,7,16.1,55.2,773,1.0,336.5,1,ppo,rl,0,0
90,6,6,21.6,64.7,776,1.0,339.5,1,ppo,rl,0,0
91,6,6,24.6,68.2,818,1.0,342.5,0,ppo,rl,0,0
