step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,68.0,42.9,551,1.0,0.75,0,qwen3-80b,cot,284,1137.3
1,3,3,65.3,40.4,520,1.0,1.5,0,qwen3-80b,cot,284,663.5
2,3,3,56.1,38.8,499,1.0,2.25,0,qwen3-80b,cot,281,2120.2
3,3,3,61.1,39.9,513,1.0,3.0,0,qwen3-80b,cot,284,1268.4
4,3,3,64.0,40.4,519,1.0,3.75,0,qwen3-80b,cot,284,512.9
5,3,3,71.9,44.4,571,1.0,4.5,0,qwen3-80b,cot,284,1188.1
6,4,3,112.4,61.8,795,1.0,5.25,1,qwen3-80b,cot,285,505.2
7,5,4,95.3,54.4,933,1.0,6.25,1,qwen3-80b,cot,284,554.5
8,5,5,68.5,42.6,913,1.0,7.5,0,qwen3-80b,cot,284,906.6
9,5,5,58.3,39.6,848,1.0,8.75,0,qwen3-80b,cot,284,704.1
10,5,5,64.2,41.5,890,1.0,10.0,0,qwen3-80b,cot,281,618.9
11,5,5,68.8,41.5,889,1.0,11.25,0,qwen3-80b,cot,281,718.6
12,5,5,50.4,35.8,768,1.0,12.5,0,qwen3-80b,cot,284,1313.8
13,5,5,54.4,36.5,782,1.0,13.75,0,qwen3-80b,cot,284,2259.5
14,5,5,51.8,36.1,774,1.0,15.0,0,qwen3-80b,cot,284,750.6
15,5,5,54.1,36.9,790,1.0,16.25,0,qwen3-80b,cot,284,510.5
16,5,5,53.7,37.3,800,1.0,17.5,0,qwen3-80b,cot,284,890.6
17,5,5,67.4,41.8,896,1.0,18.75,0,qwen3-80b,cot,284,500.7
18,5,5,67.0,42.8,917,1.0,20.0,0,qwen3-80b,cot,284,4403.2
19,5,5,69.2,43.5,933,1.0,21.25,0,qwen3-80b,cot,281,554.8
20,5,5,63.2,41.7,894,1.0,22.5,0,qwen3-80b,cot,281,446.2
21,5,5,66.5,41.3,885,1.0,23.75,0,qwen3-80b,cot,281,1284.2
22,5,5,54.8,38.2,818,1.0,25.0,0,qwen3-80b,cot,284,1238.6
23,5,5,50.7,37.0,793,1.0,26.25,0,qwen3-80b,cot,284,535.5
24,5,5,52.4,36.8,789,1.0,27.5,0,qwen3-80b,cot,284,687.4
25,5,5,54.1,37.8,809,1.0,28.75,0,qwen3-80b,cot,284,492.7
26,5,5,55.6,37.7,808,1.0,30.0,0,qwen3-80b,cot,284,875.0
27,5,5,62.3,40.1,860,1.0,31.25,0,qwen3-80b,cot,284,1088.7
28,5,5,50.4,35.0,750,1.0,32.5,0,qwen3-80b,cot,284,761.5
29,5,5,52.4,35.0,751,1.0,33.75,0,qwen3-80b,cot,284,637.0
30,5,5,57.1,38.4,823,1.0,35.0,0,qwen3-80b,cot,284,706.4
31,5,5,51.9,37.0,792,1.0,36.25,0,qwen3-80b,cot,281,498.3
32,5,5,50.7,31.8,681,1.0,37.5,0,qwen3-80b,cot,284,498.1
33,5,5,48.7,31.6,678,1.0,38.75,0,qwen3-80b,cot,281,552.4
34,5,5,51.5,29.8,638,1.0,40.0,0,qwen3-80b,cot,284,689.4
35,5,5,52.0,28.4,608,1.0,41.25,0,qwen3-80b,cot,284,521.4
36,5,5,50.6,26.6,571,1.0,42.5,0,qwen3-80b,cot,284,490.0
37,5,5,48.0,29.4,629,1.0,43.75,0,qwen3-80b,cot,284,469.3
38,5,5,52.3,28.7,614,1.0,45.0,0,qwen3-80b,cot,284,1221.5
39,5,5,46.5,28.7,615,1.0,46.25,0,qwen3-80b,cot,284,472.2
40,5,5,48.8,31.6,678,1.0,47.5,0,qwen3-80b,cot,284,478.9
41,5,5,53.4,37.8,809,1.0,48.75,0,qwen3-80b,cot,281,1188.4
42,5,5,51.1,33.8,724,1.0,50.0,0,qwen3-80b,cot,284,1752.9
43,5,5,50.4,35.3,756,1.0,51.25,0,qwen3-80b,cot,281,464.3
44,5,5,48.6,34.2,732,1.0,52.5,0,qwen3-80b,cot,284,677.2
45,5,5,50.8,34.4,738,1.0,53.75,0,qwen3-80b,cot,284,700.9
46,5,5,48.7,32.5,697,1.0,55.0,0,qwen3-80b,cot,284,511.8
47,5,5,50.7,34.2,732,1.0,56.25,0,qwen3-80b,cot,284,507.4
48,5,5,53.3,38.0,815,1.0,57.5,0,qwen3-80b,cot,281,442.3
49,5,5,54.9,38.2,819,1.0,58.75,0,qwen3-80b,cot,284,462.4
50,5,5,59.7,39.0,836,1.0,60.0,0,qwen3-80b,cot,284,542.1
51,5,5,55.0,38.4,822,1.0,61.25,0,qwen3-80b,cot,284,625.0
52,5,5,52.3,33.0,707,1.0,62.5,0,qwen3-80b,cot,284,720.9
53,5,5,50.6,31.4,673,1.0,63.75,0,qwen3-80b,cot,284,466.8
54,5,5,49.4,29.5,633,1.0,65.0,0,qwen3-80b,cot,284,514.2
