step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,62.4,42.9,551,1.0,0.75,0,qwen3-80b,domain,397,896.8
1,3,3,59.7,40.4,520,1.0,1.5,0,qwen3-80b,domain,397,486.9
2,3,3,57.1,38.8,499,1.0,2.25,0,qwen3-80b,domain,397,471.9
3,3,3,62.4,39.9,513,1.0,3.0,0,qwen3-80b,domain,397,486.7
4,3,3,57.7,40.4,519,1.0,3.75,0,qwen3-80b,domain,397,906.8
5,3,3,71.3,44.4,571,1.0,4.5,0,qwen3-80b,domain,397,510.0
6,3,3,114.9,61.8,795,1.0,5.25,0,qwen3-80b,domain,398,568.8
7,4,3,153.4,72.6,933,0.9999,6.0,1,qwen3-80b,domain,401,471.0
8,4,4,89.0,53.3,913,1.0,7.0,0,qwen3-80b,domain,397,854.5
9,4,4,84.8,49.5,848,1.0,8.0,0,qwen3-80b,domain,397,451.4
10,4,4,90.7,51.9,890,1.0,9.0,0,qwen3-80b,domain,397,601.9
11,4,4,92.0,51.9,889,1.0,10.0,0,qwen3-80b,domain,397,471.4
12,4,4,74.8,44.8,768,1.0,11.0,0,qwen3-80b,domain,397,460.1
13,4,4,77.0,45.6,782,1.0,12.0,0,qwen3-80b,domain,397,485.7
14,4,4,73.8,45.1,774,1.0,13.0,0,qwen3-80b,domain,397,466.4
15,4,4,74.9,46.1,790,1.0,14.0,0,qwen3-80b,domain,397,450.5
16,4,4,82.6,46.7,800,1.0,15.0,0,qwen3-80b,domain,397,445.5
17,4,4,96.2,52.3,896,1.0,16.0,0,qwen3-80b,domain,397,468.6
18,4,4,90.8,53.5,917,1.0,17.0,0,qwen3-80b,domain,397,1352.9
19,4,4,97.2,54.4,933,1.0,18.0,0,qwen3-80b,domain,397,561.7
20,4,4,94.0,52.1,894,1.0,19.0,0,qwen3-80b,domain,397,530.1
21,5,4,93.0,51.6,885,1.0,20.0,1,qwen3-80b,domain,397,678.4
22,5,5,54.6,38.2,818,1.0,21.25,0,qwen3-80b,domain,397,452.3
23,5,5,49.9,37.0,793,1.0,22.5,0,qwen3-80b,domain,397,875.7
24,5,5,51.3,36.8,789,1.0,23.75,0,qwen3-80b,domain,397,493.4
25,5,5,51.0,37.8,809,1.0,25.0,0,qwen3-80b,domain,397,468.5
26,5,5,55.7,37.7,808,1.0,26.25,0,qwen3-80b,domain,397,449.7
27,5,5,61.1,40.1,860,1.0,27.5,0,qwen3-80b,domain,397,461.8
28,5,5,50.1,35.0,750,1.0,28.75,0,qwen3-80b,domain,397,464.2
29,5,5,50.3,35.0,751,1.0,30.0,0,qwen3-80b,domain,397,500.9
30,5,5,57.4,38.4,823,1.0,31.25,0,qwen3-80b,domain,397,625.6
31,5,5,54.7,37.0,792,1.0,32.5,0,qwen3-80b,domain,397,453.5
32,5,5,50.2,31.8,681,1.0,33.75,0,qwen3-80b,domain,397,655.7
33,5,5,48.8,31.6,678,1.0,35.0,0,qwen3-80b,domain,397,521.1
34,4,4,51.2,29.8,638,1.0,36.25,1,qwen3-80b,domain,397,485.1
35,4,4,52.3,35.5,608,1.0,37.25,0,qwen3-80b,domain,397,466.3
36,4,4,53.8,33.3,571,1.0,38.25,0,qwen3-80b,domain,397,454.6
37,4,4,51.2,36.7,629,1.0,39.25,0,qwen3-80b,domain,397,626.1
38,4,4,48.9,35.8,614,1.0,40.25,0,qwen3-80b,domain,397,488.3
39,4,4,51.8,35.9,615,1.0,41.25,0,qwen3-80b,domain,397,497.1
40,4,4,58.8,39.5,678,1.0,42.25,0,qwen3-80b,domain,397,624.3
41,4,4,81.2,47.2,809,1.0,43.25,0,qwen3-80b,domain,397,565.4
42,4,4,67.1,42.2,724,1.0,44.25,0,qwen3-80b,domain,397,472.8
43,4,4,71.9,44.1,756,1.0,45.25,0,qwen3-80b,domain,397,942.5
44,4,4,68.9,42.7,732,1.0,46.25,0,qwen3-80b,domain,397,500.0
45,4,4,70.0,43.0,738,1.0,47.25,0,qwen3-80b,domain,397,479.9
46,4,4,59.2,40.7,697,1.0,48.25,0,qwen3-80b,domain,397,642.6
47,4,4,66.5,42.7,732,1.0,49.25,0,qwen3-80b,domain,397,450.1
48,4,4,80.9,47.5,815,1.0,50.25,0,qwen3-80b,domain,397,479.1
49,4,4,79.8,47.8,819,1.0,51.25,0,qwen3-80b,domain,397,468.4
50,4,4,83.2,48.8,836,1.0,52.25,0,qwen3-80b,domain,397,626.9
51,4,4,80.2,47.9,822,1.0,53.25,0,qwen3-80b,domain,397,497.8
52,4,4,62.5,41.2,707,1.0,54.25,0,qwen3-80b,domain,397,458.8
53,4,4,60.8,39.3,673,1.0,55.25,0,qwen3-80b,domain,397,747.6
54,4,4,50.6,36.9,633,1.0,56.25,0,qwen3-80b,domain,397,555.6
55,4,4,52.8,37.3,640,1.0,57.25,0,qwen3-80b,domain,397,494.1
56,4,4,49.4,36.3,623,1.0,58.25,0,qwen3-80b,domain,397,471.6
57,4,4,64.3,40.7,698,1.0,59.25,0,qwen3-80b,domain,397,460.3
58,4,4,51.8,34.4,590,1.0,60.25,0,qwen3-80b,domain,397,468.0
59,4,4,47.4,35.2,604,1.0,61.25,0,qwen3-80b,domain,397,547.7
