step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,67.0,42.9,551,1.0,0.75,0,qwen3-80b,history_5,222,879.3
1,3,3,62.1,40.4,520,1.0,1.5,0,qwen3-80b,history_5,258,1049.7
2,3,3,56.7,38.8,499,1.0,2.25,0,qwen3-80b,history_5,294,723.9
3,3,3,61.5,39.9,513,1.0,3.0,0,qwen3-80b,history_5,330,1304.2
4,3,3,63.0,40.4,519,1.0,3.75,0,qwen3-80b,history_5,366,482.6
5,3,3,69.5,44.4,571,1.0,4.5,0,qwen3-80b,history_5,402,597.2
6,4,3,116.9,61.8,795,1.0,5.25,1,qwen3-80b,history_5,403,508.6
7,5,4,99.2,54.4,933,1.0,6.25,1,qwen3-80b,history_5,403,657.9
8,4,4,69.1,42.6,913,1.0,7.5,1,qwen3-80b,history_5,403,538.5
9,4,4,84.4,49.5,848,1.0,8.5,0,qwen3-80b,history_5,403,816.9
10,4,4,92.7,51.9,890,1.0,9.5,0,qwen3-80b,history_5,403,473.2
11,4,4,89.5,51.9,889,1.0,10.5,0,qwen3-80b,history_5,403,525.0
12,4,4,74.7,44.8,768,1.0,11.5,0,qwen3-80b,history_5,402,504.9
13,4,4,74.8,45.6,782,1.0,12.5,0,qwen3-80b,history_5,402,1122.3
14,4,4,75.4,45.1,774,1.0,13.5,0,qwen3-80b,history_5,402,513.7
15,4,4,75.6,46.1,790,1.0,14.5,0,qwen3-80b,history_5,402,494.0
16,4,4,73.2,46.7,800,1.0,15.5,0,qwen3-80b,history_5,402,490.9
17,5,4,102.2,52.3,896,1.0,16.5,1,qwen3-80b,history_5,403,642.5
18,5,5,67.2,42.8,917,1.0,17.75,0,qwen3-80b,history_5,403,1145.3
19,5,5,68.6,43.5,933,1.0,19.0,0,qwen3-80b,history_5,403,597.1
20,5,5,61.7,41.7,894,1.0,20.25,0,qwen3-80b,history_5,403,1210.3
21,5,5,69.2,41.3,885,1.0,21.5,0,qwen3-80b,history_5,403,609.1
