step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,67.0,42.9,551,1.0,0.75,0,dqn,rl,0,0
1,2,2,112.9,60.7,520,1.0,1.25,1,dqn,rl,0,0
2,2,2,100.0,58.2,499,1.0,1.75,0,dqn,rl,0,0
3,2,2,116.4,59.8,513,1.0,2.25,0,dqn,rl,0,0
4,2,2,106.7,60.5,519,1.0,2.75,0,dqn,rl,0,0
5,2,2,125.2,66.6,571,0.9999,3.25,0,dqn,rl,0,0
6,3,3,117.8,61.8,795,1.0,4.0,1,dqn,rl,0,0
7,4,4,93.6,54.4,933,1.0,5.0,1,dqn,rl,0,0
8,4,4,91.3,53.3,913,1.0,6.0,0,dqn,rl,0,0
9,4,4,82.5,49.5,848,1.0,7.0,0,dqn,rl,0,0
10,4,4,92.5,51.9,890,1.0,8.0,0,dqn,rl,0,0
11,4,4,97.0,51.9,889,1.0,9.0,0,dqn,rl,0,0
12,4,4,73.0,44.8,768,1.0,10.0,0,dqn,rl,0,0
13,4,4,72.5,45.6,782,1.0,11.0,0,dqn,rl,0,0
14,4,4,75.0,45.1,774,1.0,12.0,0,dqn,rl,0,0
15,4,4,74.8,46.1,790,1.0,13.0,0,dqn,rl,0,0
16,4,4,77.6,46.7,800,1.0,14.0,0,dqn,rl,0,0
17,4,4,95.1,52.3,896,1.0,15.0,0,dqn,rl,0,0
18,4,4,92.8,53.5,917,1.0,16.0,0,dqn,rl,0,0
19,4,4,97.3,54.4,933,1.0,17.0,0,dqn,rl,0,0
20,4,4,89.1,52.1,894,1.0,18.0,0,dqn,rl,0,0
21,4,4,89.8,51.6,885,1.0,19.0,0,dqn,rl,0,0
22,4,4,80.9,47.7,818,1.0,20.0,0,dqn,rl,0,0
23,4,4,74.3,46.3,793,1.0,21.0,0,dqn,rl,0,0
24,4,4,75.2,46.0,789,1.0,22.0,0,dqn,rl,0,0
25,4,4,78.4,47.2,809,1.0,23.0,0,dqn,rl,0,0
26,4,4,77.3,47.1,808,1.0,24.0,0,dqn,rl,0,0
27,4,4,83.5,50.2,860,1.0,25.0,0,dqn,rl,0,0
28,4,4,67.2,43.7,750,1.0,26.0,0,dqn,rl,0,0
29,3,3,106.8,58.4,751,1.0,26.75,1,dqn,rl,0,0
30,4,4,80.4,48.0,823,1.0,27.75,1,dqn,rl,0,0
31,4,4,81.6,46.2,792,1.0,28.75,0,dqn,rl,0,0
